epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2213,1.39553,2.74938,1.26572,0.90798,0.62656,0.81297,0.51161,0.68757,2.48443,0.95714,0.00024,0.00024,0.00024
2,70.3954,1.21666,1.57725,1.15745,0.00322,0.98413,0.84467,0.55916,0.7914,2.59755,0.97612,0.0004901,0.0004901,0.0004901
3,106.457,1.13684,1.391,1.12853,0.8744,0.11058,0.35087,0.15499,1.02309,2.82028,1.13325,0.000729904,0.000729904,0.000729904
4,143.808,1.23568,1.39043,1.175,0.0431,0.01587,0.01301,0.00521,2.28406,3.65852,2.85686,0.000959412,0.000959412,0.000959412
5,179.151,1.19224,1.30819,1.16679,0.53277,0.28571,0.26463,0.07952,1.66414,3.05909,1.79333,0.00117862,0.00117862,0.00117862
6,215.02,1.26516,1.34154,1.21945,0.43208,0.2381,0.24981,0.11119,1.55013,2.61899,1.49834,0.00138754,0.00138754,0.00138754
7,250.896,1.29572,1.27722,1.22029,0.24393,0.39683,0.2158,0.10975,1.25593,3.02444,1.42505,0.00158616,0.00158616,0.00158616
8,286.085,1.18849,1.17925,1.20313,0.45703,0.65079,0.51196,0.28341,1.90383,2.04248,1.91593,0.0017228,0.0017228,0.0017228
9,320.325,1.19293,1.11829,1.20904,0.6458,0.7619,0.67037,0.40603,1.22414,1.71331,1.27856,0.0016832,0.0016832,0.0016832
10,353.662,1.20534,1.11503,1.17713,0.84468,0.57143,0.7144,0.50991,1.51368,1.71074,1.33993,0.0016436,0.0016436,0.0016436
11,388.237,1.18514,1.04727,1.15925,0.73165,0.77778,0.78524,0.50227,1.05355,1.2945,1.17128,0.001604,0.001604,0.001604
12,422.018,1.13135,0.96791,1.1773,0.82071,0.77778,0.83688,0.56357,0.99537,1.22004,1.16093,0.0015644,0.0015644,0.0015644
13,456.567,1.13961,0.96246,1.16011,0.95672,0.85714,0.92509,0.6436,1.06043,1.08435,1.14285,0.0015248,0.0015248,0.0015248
14,489.659,1.13163,0.90946,1.1683,0.88003,0.81512,0.88248,0.60558,1.0502,1.06661,1.15246,0.0014852,0.0014852,0.0014852
15,523.359,1.20736,0.94261,1.17294,0.7486,0.85714,0.85687,0.54949,0.94244,0.97071,1.09139,0.0014456,0.0014456,0.0014456
16,557.483,1.04901,0.85877,1.12077,0.92686,0.84127,0.89727,0.63201,0.90099,0.96678,1.07692,0.001406,0.001406,0.001406
17,591.514,1.10579,0.84837,1.12564,0.91592,0.8254,0.92369,0.68536,0.80255,0.92066,1.06849,0.0013664,0.0013664,0.0013664
18,626.353,1.03072,0.79883,1.11833,0.78481,0.93651,0.93096,0.65881,0.85746,0.82655,1.07743,0.0013268,0.0013268,0.0013268
19,660.085,1.11815,0.82528,1.17185,0.82525,0.92063,0.92529,0.64837,0.84665,0.78813,1.03794,0.0012872,0.0012872,0.0012872
20,695.896,1.01991,0.75707,1.1017,0.83261,0.94748,0.92444,0.66741,0.81098,0.77272,1.02258,0.0012476,0.0012476,0.0012476
21,731.505,1.0598,0.78356,1.10637,0.86386,0.95238,0.94178,0.67227,0.76787,0.73599,1.03459,0.001208,0.001208,0.001208
22,765.946,0.97508,0.73392,1.08067,0.88433,0.92063,0.91913,0.68264,0.78741,0.68636,1.02904,0.0011684,0.0011684,0.0011684
23,800.749,0.99568,0.72895,1.10722,0.92558,0.93651,0.97002,0.69985,0.80246,0.70704,1.02494,0.0011288,0.0011288,0.0011288
24,836.626,0.95208,0.71951,1.0872,0.98331,0.93512,0.95718,0.72699,0.79889,0.68239,1.01118,0.0010892,0.0010892,0.0010892
25,873.151,0.91175,0.69324,1.05553,0.96207,0.95238,0.94098,0.73483,0.86084,0.66792,1.03885,0.0010496,0.0010496,0.0010496
26,909.655,0.9207,0.66804,1.04399,0.91708,0.95238,0.96075,0.74009,0.82957,0.64543,1.02458,0.00101,0.00101,0.00101
27,945.793,0.94995,0.69751,1.10004,0.90611,0.91919,0.95917,0.77124,0.7763,0.60034,1.00413,0.0009704,0.0009704,0.0009704
28,982.411,0.93705,0.65358,1.0699,0.91766,0.88454,0.94286,0.75513,0.73185,0.61229,0.97578,0.0009308,0.0009308,0.0009308
29,1019.22,0.90295,0.64855,1.07237,0.9165,0.87302,0.93002,0.7383,0.723,0.64933,0.99032,0.0008912,0.0008912,0.0008912
30,1056.65,0.87612,0.63242,1.03625,0.96648,0.91551,0.94777,0.74791,0.7776,0.58286,1.0215,0.0008516,0.0008516,0.0008516
31,1090.26,0.89952,0.61324,1.04932,0.98318,0.92791,0.97549,0.75965,0.69364,0.64089,0.98562,0.000812,0.000812,0.000812
32,1127.08,0.85614,0.59527,1.02786,0.98328,0.93328,0.9764,0.75306,0.7589,0.54969,0.99919,0.0007724,0.0007724,0.0007724
33,1162.77,0.85888,0.59167,1.03673,0.9524,0.93651,0.95098,0.75569,0.68818,0.56649,0.98695,0.0007328,0.0007328,0.0007328
34,1196.06,0.89515,0.61771,1.04519,0.96237,0.95238,0.95693,0.76127,0.69614,0.56231,0.98178,0.0006932,0.0006932,0.0006932
35,1229.85,0.87488,0.60583,1.06599,0.98157,0.96825,0.97907,0.76768,0.67187,0.52427,0.96142,0.0006536,0.0006536,0.0006536
36,1262.77,0.84754,0.5736,1.02244,0.96821,0.96679,0.97902,0.76886,0.74357,0.57625,0.98862,0.000614,0.000614,0.000614
37,1296.45,0.78593,0.53753,1.01389,0.952,0.95238,0.948,0.76277,0.83026,0.59372,1.03767,0.0005744,0.0005744,0.0005744
38,1342.2,0.83442,0.58556,1.05352,0.9631,0.95238,0.9535,0.7629,0.71195,0.49216,1.00344,0.0005348,0.0005348,0.0005348
39,1383.01,0.84946,0.55345,1.035,0.98042,0.96825,0.96435,0.76201,0.76993,0.49907,1.00782,0.0004952,0.0004952,0.0004952
40,1421.36,0.75725,0.52746,0.97969,0.97784,0.96825,0.98325,0.771,0.70012,0.49815,0.99588,0.0004556,0.0004556,0.0004556
41,1455.61,0.71153,0.56655,0.94929,0.98353,0.9482,0.98155,0.77226,0.76226,0.52594,0.99943,0.000416,0.000416,0.000416
42,1489.06,0.67936,0.50694,0.93902,0.96086,0.95238,0.98059,0.76823,0.74228,0.54753,1.00289,0.0003764,0.0003764,0.0003764
43,1529.71,0.68455,0.50816,0.9406,0.93766,0.96825,0.97916,0.76992,0.74069,0.52841,1.0023,0.0003368,0.0003368,0.0003368
44,1578.68,0.67463,0.48231,0.95181,0.93632,0.96825,0.97912,0.78661,0.7762,0.50458,1.01988,0.0002972,0.0002972,0.0002972
45,1627.59,0.6441,0.45744,0.94335,0.95315,0.96873,0.98354,0.77692,0.76392,0.56681,1.00226,0.0002576,0.0002576,0.0002576
46,1679.04,0.62436,0.44712,0.93221,0.98385,0.96721,0.98433,0.7826,0.72323,0.5246,0.99034,0.000218,0.000218,0.000218
47,1718.17,0.64053,0.44702,0.92762,0.98376,0.96148,0.98376,0.79188,0.69349,0.50309,0.98518,0.0001784,0.0001784,0.0001784
48,1761.8,0.61041,0.43884,0.91446,0.95245,0.95387,0.98297,0.78641,0.68051,0.489,0.98826,0.0001388,0.0001388,0.0001388
49,1800.49,0.5992,0.42885,0.91777,0.93755,0.98413,0.98215,0.78905,0.6681,0.46424,0.9903,9.92e-05,9.92e-05,9.92e-05
50,1836.69,0.61544,0.43947,0.93778,0.93721,0.98413,0.98186,0.78761,0.66213,0.45129,0.98773,5.96e-05,5.96e-05,5.96e-05
