min_activity_duration_s,dist_threshold,idle_window,fsm_min_dwell_seconds,enable_fsm,override_travelling_only,accuracy_percent,cycles_per_hr,productivity_lcy_hr,run_folder
1.0,0.05,20,1.0,True,True,51.43,188.36,287.90,Run_00001
1.0,0.05,20,1.0,True,False,51.52,192.72,294.57,Run_00002
1.0,0.05,20,1.0,False,True,52.20,258.90,395.77,Run_00003
1.0,0.05,20,1.0,False,False,52.34,262.17,400.77,Run_00004
1.0,0.05,20,2.0,True,True,49.74,152.72,233.41,Run_00005
1.0,0.05,20,2.0,True,False,49.80,152.36,232.86,Run_00006
1.0,0.05,20,2.0,False,True,52.20,258.90,395.77,Run_00007
1.0,0.05,20,2.0,False,False,52.34,262.17,400.77,Run_00008
1.0,0.05,20,3.0,True,True,47.81,124.36,190.07,Run_00009
1.0,0.05,20,3.0,True,False,47.65,126.18,192.85,Run_00010
1.0,0.05,20,3.0,False,True,52.20,258.90,395.77,Run_00011
1.0,0.05,20,3.0,False,False,52.34,262.17,400.77,Run_00012
1.0,0.05,30,1.0,True,True,51.29,188.72,288.46,Run_00013
1.0,0.05,30,1.0,True,False,51.54,189.45,289.57,Run_00014
1.0,0.05,30,1.0,False,True,51.96,258.90,395.77,Run_00015
1.0,0.05,30,1.0,False,False,52.15,258.90,395.77,Run_00016
1.0,0.05,30,2.0,True,True,49.54,152.36,232.86,Run_00017
1.0,0.05,30,2.0,True,False,49.79,151.99,232.30,Run_00018
1.0,0.05,30,2.0,False,True,51.96,258.90,395.77,Run_00019
1.0,0.05,30,2.0,False,False,52.15,258.90,395.77,Run_00020
1.0,0.05,30,3.0,True,True,47.78,125.45,191.74,Run_00021
1.0,0.05,30,3.0,True,False,48.07,126.54,193.40,Run_00022
1.0,0.05,30,3.0,False,True,51.96,258.90,395.77,Run_00023
1.0,0.05,30,3.0,False,False,52.15,258.90,395.77,Run_00024
1.0,0.05,40,1.0,True,True,51.12,189.08,289.01,Run_00025
1.0,0.05,40,1.0,True,False,51.46,189.81,290.13,Run_00026
1.0,0.05,40,1.0,False,True,51.70,258.90,395.77,Run_00027
1.0,0.05,40,1.0,False,False,52.02,259.26,396.32,Run_00028
1.0,0.05,40,2.0,True,True,49.45,151.99,232.30,Run_00029
1.0,0.05,40,2.0,True,False,49.77,151.63,231.74,Run_00030
1.0,0.05,40,2.0,False,True,51.70,258.90,395.77,Run_00031
1.0,0.05,40,2.0,False,False,52.02,259.26,396.32,Run_00032
