day,resolve_step,resolve_clock,offset_step,offset_clock,steps_ahead,cev,scenario_id,activity_planned,planned_power_kW,planned_charging,soe_cev_planned_kWh,soe_mcs_planned_kWh,changed_from_prior_resolve
1,1,08:00,1,08:00,0,1,,Digging,4.7925,false,13.601875,250.0,
1,1,08:00,2,08:15,1,1,,Digging,4.7925,false,12.403749999999977,250.0,
1,1,08:00,3,08:30,2,1,,Charging,-2.6645352591003757e-15,true,14.303749999999978,247.89473684210526,
1,1,08:00,4,08:45,3,1,,Digging,4.7925,false,13.105624999999979,247.8947368421053,
1,1,08:00,5,09:00,4,1,,Digging,4.7925,false,11.907499999999978,247.8947368421053,
1,1,08:00,6,09:15,5,1,,Charging,0.0,true,13.807499999999978,245.78947368421055,
1,1,08:00,7,09:30,6,1,,Charging,0.0,true,14.8,244.68975069252076,
1,1,08:00,8,09:45,7,1,,Traveling,4.7101,false,13.622475000000001,244.68975069252076,
1,1,08:00,9,10:00,8,1,,Loading/Swinging,3.1586,false,12.832825000000001,244.68975069252076,
1,1,08:00,10,10:15,9,1,,Digging,4.792499999999997,false,11.634700000000002,244.68975069252076,
1,1,08:00,11,10:30,10,1,,Digging,4.7925000000000075,false,10.436575000000001,244.68975069252076,
1,1,08:00,12,10:45,11,1,,Charging,5.329070518200751e-15,true,12.336575,242.58448753462602,
1,1,08:00,13,11:00,12,1,,Digging,4.7925,false,11.138449999999999,242.58448753462602,
1,1,08:00,14,11:15,13,1,,Traveling,4.7101000000000015,false,9.960924999999998,242.58448753462602,
1,1,08:00,15,11:30,14,1,,Digging,4.7925,false,8.762799999999999,242.58448753462602,
1,1,08:00,16,11:45,15,1,,Digging,4.7925,false,7.5646749999999985,242.58448753462602,
1,1,08:00,17,12:00,16,1,,Charging,0.0,true,9.464674999999998,240.47922437673128,
1,1,08:00,18,12:15,17,1,,Charging,0.0,true,11.364674999999998,238.37396121883654,
1,1,08:00,19,12:30,18,1,,,0.0,false,11.364674999999998,238.37396121883654,
1,1,08:00,20,12:45,19,1,,,0.0,false,11.364674999999998,238.83710939398355,
1,1,08:00,21,13:00,20,1,,,0.0,false,11.364674999999998,239.30025756913057,
1,1,08:00,22,13:15,21,1,,,0.0,false,11.364674999999998,239.76340574427758,
1,1,08:00,23,13:30,22,1,,,0.0,false,11.364674999999998,240.2265539194246,
1,1,08:00,24,13:45,23,1,,,0.0,false,11.364674999999998,240.6897020945716,
1,1,08:00,25,14:00,24,1,,Digging,4.7925,false,10.166549999999997,241.1528502697186,
1,1,08:00,26,14:15,25,1,,Digging,4.7925,false,8.968424999999996,241.61599844486562,
1,1,08:00,27,14:30,26,1,,Traveling,4.710099999999922,false,7.790900000000016,242.07914662001264,
1,1,08:00,28,14:45,27,1,,Digging,4.792500000000054,false,6.592775000000002,242.54229479515965,
1,1,08:00,29,15:00,28,1,,Idle,0.0,false,6.592775000000002,243.00544297030666,
1,1,08:00,30,15:15,29,1,,Loading/Swinging,3.1586,false,5.803125000000002,243.46859114545367,
1,1,08:00,31,15:30,30,1,,Loading/Swinging,3.1586,false,5.013475000000002,243.93173932060068,
1,1,08:00,32,15:45,31,1,,Loading/Swinging,3.158599999999968,false,4.223825000000007,244.3948874957477,
1,1,08:00,33,16:00,32,1,,Traveling,4.71010000000001,false,3.0463000000000044,244.3948874957477,
1,1,08:00,34,16:15,33,1,,Charging,0.0,true,4.946299999999997,242.28962433785296,
1,1,08:00,35,16:30,34,1,,Loading/Swinging,3.1585999999999887,false,4.156649999999996,242.28962433785296,
1,1,08:00,36,16:45,35,1,,Loading/Swinging,3.1586,false,3.3669999999999964,242.28962433785296,
1,1,08:00,37,17:00,36,1,,,0.0,false,3.3669999999999964,242.28962433785296,
1,1,08:00,38,17:15,37,1,,,0.0,false,3.3669999999999964,242.28962433785296,
1,1,08:00,39,17:30,38,1,,,0.0,false,3.366999999999991,242.28962433785296,
1,1,08:00,40,17:45,39,1,,,0.0,false,3.366999999999991,242.28962433785296,
1,1,08:00,41,18:00,40,1,,,0.0,false,3.366999999999991,242.28962433785296,
1,1,08:00,42,18:15,41,1,,,0.0,false,3.366999999999991,242.28962433785296,
1,1,08:00,43,18:30,42,1,,,0.0,false,3.3669999999999907,242.28962433785296,
1,1,08:00,44,18:45,43,1,,Charging,0.0,true,5.266999999999991,240.18436117995822,
1,1,08:00,45,19:00,44,1,,Charging,0.0,true,7.166999999999991,238.07909802206348,
1,1,08:00,46,19:15,45,1,,,0.0,false,7.166999999999991,238.07909802206348,
1,1,08:00,47,19:30,46,1,,Charging,0.0,true,9.066999999999991,235.97383486416874,
1,1,08:00,48,19:45,47,1,,Charging,0.0,true,10.966999999999992,233.868571706274,
1,1,08:00,49,20:00,48,1,,Charging,0.0,true,11.00000000000001,233.83200660932107,
1,1,08:00,50,20:15,49,1,,Charging,0.0,true,12.900000000000011,231.72674345142633,
1,1,08:00,51,20:30,50,1,,Charging,0.0,true,14.8,229.6214802935316,
1,1,08:00,52,20:45,51,1,,,0.0,false,14.8,229.6214802935316,
1,1,08:00,53,21:00,52,1,,,0.0,false,14.8,230.0846284686786,
1,1,08:00,54,21:15,53,1,,,0.0,false,14.8,230.5477766438256,
1,1,08:00,55,21:30,54,1,,,0.0,false,14.8,231.01092481897263,
1,1,08:00,56,21:45,55,1,,,0.0,false,14.8,231.47407299411964,
1,1,08:00,57,22:00,56,1,,,0.0,false,14.8,231.93722116926665,
1,1,08:00,58,22:15,57,1,,,0.0,false,14.8,232.40036934441366,
1,1,08:00,59,22:30,58,1,,,0.0,false,14.8,232.86351751956067,
1,1,08:00,60,22:45,59,1,,,0.0,false,14.8,233.32666569470769,
1,1,08:00,61,23:00,60,1,,,0.0,false,14.8,233.7898138698547,
1,1,08:00,62,23:15,61,1,,,0.0,false,14.8,234.2529620450017,
1,1,08:00,63,23:30,62,1,,,0.0,false,14.8,234.71611022014872,
1,1,08:00,64,23:45,63,1,,,0.0,false,14.8,235.17925839529573,
1,1,08:00,65,00:00,64,1,,,0.0,false,14.8,235.64240657044274,
1,1,08:00,66,00:15,65,1,,,0.0,false,14.8,236.10555474558976,
1,1,08:00,67,00:30,66,1,,,0.0,false,14.8,236.56870292073677,
1,1,08:00,68,00:45,67,1,,,0.0,false,14.8,237.03185109588378,
1,1,08:00,69,01:00,68,1,,,0.0,false,14.8,237.4949992710308,
1,1,08:00,70,01:15,69,1,,,0.0,false,14.8,237.9581474461778,
1,1,08:00,71,01:30,70,1,,,0.0,false,14.8,238.42129562132482,
1,1,08:00,72,01:45,71,1,,,0.0,false,14.8,238.88444379647183,
1,1,08:00,73,02:00,72,1,,,0.0,false,14.8,239.34759197161884,
1,1,08:00,74,02:15,73,1,,,0.0,false,14.8,239.81074014676585,
1,1,08:00,75,02:30,74,1,,,0.0,false,14.8,240.27388832191286,
1,1,08:00,76,02:45,75,1,,,0.0,false,14.8,240.73703649705988,
1,1,08:00,77,03:00,76,1,,,0.0,false,14.8,241.2001846722069,
1,1,08:00,78,03:15,77,1,,,0.0,false,14.8,241.6633328473539,
1,1,08:00,79,03:30,78,1,,,0.0,false,14.8,242.1264810225009,
1,1,08:00,80,03:45,79,1,,,0.0,false,14.8,242.58962919764792,
1,1,08:00,81,04:00,80,1,,,0.0,false,14.8,243.05277737279494,
1,1,08:00,82,04:15,81,1,,,0.0,false,14.8,243.51592554794195,
1,1,08:00,83,04:30,82,1,,,0.0,false,14.8,243.97907372308896,
1,1,08:00,84,04:45,83,1,,,0.0,false,14.8,244.44222189823597,
1,1,08:00,85,05:00,84,1,,,0.0,false,14.8,244.90537007338298,
1,1,08:00,86,05:15,85,1,,,0.0,false,14.8,245.36851824853,
1,1,08:00,87,05:30,86,1,,,0.0,false,14.8,245.831666423677,
1,1,08:00,88,05:45,87,1,,,0.0,false,14.8,246.29481459882402,
1,1,08:00,89,06:00,88,1,,,0.0,false,14.8,246.75796277397103,
1,1,08:00,90,06:15,89,1,,,0.0,false,14.8,247.22111094911804,
1,1,08:00,91,06:30,90,1,,,0.0,false,14.8,247.68425912426505,
1,1,08:00,92,06:45,91,1,,,0.0,false,14.8,248.14740729941207,
1,1,08:00,93,07:00,92,1,,,0.0,false,14.8,248.61055547455908,
1,1,08:00,94,07:15,93,1,,,0.0,false,14.8,249.0737036497061,
1,1,08:00,95,07:30,94,1,,,0.0,false,14.8,249.536851824853,
1,1,08:00,96,07:45,95,1,,,0.0,false,14.8,250.0,
1,2,08:15,2,08:15,0,1,,Charging,-3.3217872896784684e-13,true,14.800000000000214,248.58099722991676,true
1,2,08:15,3,08:30,1,1,,Digging,4.7925,false,13.601875000000213,248.58099722991676,true
1,2,08:15,4,08:45,2,1,,Digging,4.7925,false,12.403750000000214,248.58099722991676,false
1,2,08:15,5,09:00,3,1,,Charging,0.0,true,14.303750000000214,246.47573407202202,true
1,2,08:15,6,09:15,4,1,,Digging,4.792500000000407,false,13.105624999999941,246.47573407202222,true
1,2,08:15,7,09:30,5,1,,Traveling,4.710100000000068,false,11.928099999999924,246.47573407202222,true
1,2,08:15,8,09:45,6,1,,Charging,2.56459853353861e-13,true,13.828099999999822,244.37047091412748,true
1,2,08:15,9,10:00,7,1,,Digging,4.792500000000089,false,12.6299749999998,244.37047091412748,true
1,2,08:15,10,10:15,8,1,,Digging,4.7925,false,11.431849999999798,244.78466066482005,false
1,2,08:15,11,10:30,9,1,,Digging,4.792500000000004,false,10.233724999999797,245.25878242256368,false
1,2,08:15,12,10:45,10,1,,Digging,4.7924999999993885,false,9.03559999999995,245.73290418030732,true
1,2,08:15,13,11:00,11,1,,Idle,5.459083185499481e-13,false,9.035599999999814,246.20702593805095,true
1,2,08:15,14,11:15,12,1,,Traveling,4.710100000000002,false,7.858074999999813,246.68114769579458,false
1,2,08:15,15,11:30,13,1,,Digging,4.7925,false,6.659949999999813,247.1552694535382,false
1,2,08:15,16,11:45,14,1,,Digging,4.7925,false,5.461824999999813,247.62939121128184,false
1,2,08:15,17,12:00,15,1,,,0.0,false,5.461824999999814,248.10351296902547,true
1,2,08:15,18,12:15,16,1,,,0.0,false,5.461824999999814,248.5776347267691,true
1,2,08:15,19,12:30,17,1,,,0.0,false,5.461824999999814,249.05175648451274,false
1,2,08:15,20,12:45,18,1,,,0.0,false,5.461824999999814,249.52587824225637,false
1,2,08:15,21,13:00,19,1,,,0.0,false,5.461824999999814,250.0,false
1,2,08:15,22,13:15,20,1,,,0.0,false,5.4618249999998145,250.0,false
1,2,08:15,23,13:30,21,1,,Charging,0.0,true,7.361824999999814,247.89473684210526,true
