day,step,clock,cev,p_dig_kW,p_load_kW,p_trav_kW,p_idle_kW,activity_executed,soe_cev_kWh,soe_mcs_kWh,infeasible_flag
1,1,08:00,1,5.3659,0.0,0.0,0.0,Digging,13.458525000000002,250.0,false
1,2,08:15,1,0.0,0.0,0.0,0.061,Charging,14.8,248.51360110803324,false
1,3,08:30,1,4.7809,0.0,0.0,0.0,Digging,13.604775,248.51360110803324,false
1,4,08:45,1,4.7843,0.0,0.0,0.0,Digging,12.4087,248.51360110803324,false
1,5,09:00,1,0.0,0.0,0.0,0.0,Charging,14.408699999832008,246.40833795031534,false
1,6,09:15,1,4.2026,0.0,0.0,0.0,Digging,13.358049999832009,246.40833795031534,false
1,7,09:30,1,0.0,0.0,5.3364,0.0,Traveling,12.02394999983201,246.40833795031534,false
1,8,09:45,1,0.0,0.0,0.0,1.3131,Charging,13.69567499983202,244.3030747924206,false
1,9,10:00,1,4.4919,0.0,0.0,0.0,Digging,12.57269999983202,244.3030747924206,false
1,10,10:15,1,4.7653,0.0,0.0,0.0,Digging,11.381374999832019,244.3030747924206,false
1,11,10:30,1,4.9351,0.0,0.0,0.0,Digging,10.14759999983202,244.3030747924206,false
1,12,10:45,1,0.0,0.0,0.0,0.0,Charging,12.14759999983202,242.19781163452586,false
1,13,11:00,1,4.8905,0.0,0.0,0.0,Digging,10.924974999832019,242.19781163452586,false
1,14,11:15,1,0.0,0.0,4.6176,0.0,Traveling,9.770574999832018,242.19781163452586,false
1,15,11:30,1,5.1226,0.0,0.0,0.0,Digging,8.489924999832018,242.19781163452586,false
1,16,11:45,1,5.2098,0.0,0.0,0.0,Digging,7.187474999832018,242.19781163452586,false
1,17,12:00,1,0.0,0.0,0.0,0.0,Charging,9.18747499983202,240.09254847663112,false
1,18,12:15,1,0.0,0.0,0.0,0.0,Charging,11.18747499983202,237.98728531873638,false
1,19,12:30,1,0.0,0.0,0.0,0.0,,11.18747499983202,237.98728531873638,false
1,20,12:45,1,0.0,0.0,0.0,0.0,,11.18747499983202,238.45272148533033,false
1,21,13:00,1,0.0,0.0,0.0,0.0,,11.18747499983202,238.91815765192428,false
1,22,13:15,1,0.0,0.0,0.0,0.0,,11.18747499983202,239.38359381851822,false
1,23,13:30,1,0.0,0.0,0.0,0.0,,11.18747499983202,239.84902998511217,false
1,24,13:45,1,0.0,0.0,0.0,0.0,,11.18747499983202,240.3144661517061,false
1,25,14:00,1,0.0,2.2701,0.0,0.0,Loading/Swinging,10.61994999983202,240.77990231830006,false
1,26,14:15,1,0.0,2.2047,0.0,0.0,Loading/Swinging,10.06877499983202,241.245338484894,false
1,27,14:30,1,0.0,0.0,5.1579,0.0,Traveling,8.77929999983202,241.71077465148795,false
1,28,14:45,1,4.7843,0.0,0.0,0.0,Digging,7.583224999832019,242.1762108180819,false
1,29,15:00,1,0.0,0.0,0.0,0.0264,Idle,7.57662499983202,242.64164698467584,false
1,30,15:15,1,0.0,3.7992,0.0,0.0,Loading/Swinging,6.62682499983202,243.1070831512698,false
1,31,15:30,1,0.0,3.7658,0.0,0.0,Loading/Swinging,5.68537499983202,243.57251931786374,false
1,32,15:45,1,0.0,2.5796,0.0,0.0,Loading/Swinging,5.04047499983202,244.03795548445768,false
1,33,16:00,1,0.0,0.0,4.2765,0.0,Traveling,3.9713499998320203,244.03795548445768,false
1,34,16:15,1,0.0,0.0,0.0,0.0,Charging,5.462323684219368,242.46850950089205,false
1,35,16:30,1,4.2026,0.0,0.0,0.0,Digging,4.411673684219368,242.46850950089205,false
1,36,16:45,1,0.0,2.9596,0.0,0.0,Loading/Swinging,3.671773684219368,242.46850950089205,false
1,37,17:00,1,0.0,0.0,0.0,0.0,Charging,5.671773684219367,240.36324634299731,false
1,38,17:15,1,0.0,0.0,0.0,0.0,Charging,7.671773684219367,238.25798318510257,false
1,39,17:30,1,0.0,0.0,0.0,0.0,Charging,9.671773684219367,236.15272002720783,false
1,40,17:45,1,0.0,0.0,0.0,0.0,Charging,11.069906648198982,234.6810011177556,false
1,41,18:00,1,0.0,0.0,0.0,0.0,Charging,13.069906648198982,232.57573795986087,false
1,42,18:15,1,0.0,0.0,0.0,0.0,Charging,14.8,230.65873701603704,false
1,43,18:30,1,0.0,0.0,0.0,0.0,,14.8,230.65873701603704,false
1,44,18:45,1,0.0,0.0,0.0,0.0,,14.8,230.65873701603704,false
1,45,19:00,1,0.0,0.0,0.0,0.0,,14.8,230.65873701603704,false
1,46,19:15,1,0.0,0.0,0.0,0.0,,14.8,230.65873701603704,false
1,47,19:30,1,0.0,0.0,0.0,0.0,,14.8,230.65873701603704,false
1,48,19:45,1,0.0,0.0,0.0,0.0,,14.8,230.65873701603704,false
1,49,20:00,1,0.0,0.0,0.0,0.0,,14.8,230.65873701603704,false
1,50,20:15,1,0.0,0.0,0.0,0.0,,14.8,230.65873701603704,false
1,51,20:30,1,0.0,0.0,0.0,0.0,,14.8,230.65873701603704,false
1,52,20:45,1,0.0,0.0,0.0,0.0,,14.8,230.65873701603704,false
1,53,21:00,1,0.0,0.0,0.0,0.0,,14.8,231.12417318263098,false
1,54,21:15,1,0.0,0.0,0.0,0.0,,14.8,231.58960934922493,false
1,55,21:30,1,0.0,0.0,0.0,0.0,,14.8,232.05504551581888,false
1,56,21:45,1,0.0,0.0,0.0,0.0,,14.8,232.52048168241282,false
1,57,22:00,1,0.0,0.0,0.0,0.0,,14.8,232.98591784900677,false
1,58,22:15,1,0.0,0.0,0.0,0.0,,14.8,233.4513540156007,false
1,59,22:30,1,0.0,0.0,0.0,0.0,,14.8,233.91679018219466,false
1,60,22:45,1,0.0,0.0,0.0,0.0,,14.8,234.3822263487886,false
1,61,23:00,1,0.0,0.0,0.0,0.0,,14.8,234.3822263487886,false
1,62,23:15,1,0.0,0.0,0.0,0.0,,14.8,234.84766251538255,false
1,63,23:30,1,0.0,0.0,0.0,0.0,,14.8,235.10604266899418,false
1,64,23:45,1,0.0,0.0,0.0,0.0,,14.8,235.10604266899418,false
1,65,00:00,1,0.0,0.0,0.0,0.0,,14.8,235.57147883558812,false
1,66,00:15,1,0.0,0.0,0.0,0.0,,14.8,236.03691500218207,false
1,67,00:30,1,0.0,0.0,0.0,0.0,,14.8,236.50235116877602,false
1,68,00:45,1,0.0,0.0,0.0,0.0,,14.8,236.96778733536996,false
1,69,01:00,1,0.0,0.0,0.0,0.0,,14.8,237.4332235019639,false
1,70,01:15,1,0.0,0.0,0.0,0.0,,14.8,237.89865966855785,false
1,71,01:30,1,0.0,0.0,0.0,0.0,,14.8,238.3640958351518,false
1,72,01:45,1,0.0,0.0,0.0,0.0,,14.8,238.82953200174575,false
1,73,02:00,1,0.0,0.0,0.0,0.0,,14.8,239.2949681683397,false
1,74,02:15,1,0.0,0.0,0.0,0.0,,14.8,239.76040433493364,false
1,75,02:30,1,0.0,0.0,0.0,0.0,,14.8,240.22584050152759,false
1,76,02:45,1,0.0,0.0,0.0,0.0,,14.8,240.69127666812153,false
1,77,03:00,1,0.0,0.0,0.0,0.0,,14.8,241.15671283471548,false
1,78,03:15,1,0.0,0.0,0.0,0.0,,14.8,241.62214900130942,false
1,79,03:30,1,0.0,0.0,0.0,0.0,,14.8,242.08758516790337,false
1,80,03:45,1,0.0,0.0,0.0,0.0,,14.8,242.55302133449732,false
1,81,04:00,1,0.0,0.0,0.0,0.0,,14.8,243.01845750109126,false
1,82,04:15,1,0.0,0.0,0.0,0.0,,14.8,243.4838936676852,false
1,83,04:30,1,0.0,0.0,0.0,0.0,,14.8,243.94932983427915,false
1,84,04:45,1,0.0,0.0,0.0,0.0,,14.8,244.4147660008731,false
1,85,05:00,1,0.0,0.0,0.0,0.0,,14.8,244.88020216746705,false
1,86,05:15,1,0.0,0.0,0.0,0.0,,14.8,245.345638334061,false
1,87,05:30,1,0.0,0.0,0.0,0.0,,14.8,245.81107450065494,false
1,88,05:45,1,0.0,0.0,0.0,0.0,,14.8,246.27651066724889,false
1,89,06:00,1,0.0,0.0,0.0,0.0,,14.8,246.74194683384246,false
1,90,06:15,1,0.0,0.0,0.0,0.0,,14.8,247.2073830004364,false
1,91,06:30,1,0.0,0.0,0.0,0.0,,14.8,247.67281916703027,false
1,92,06:45,1,0.0,0.0,0.0,0.0,,14.8,248.13825533362422,false
1,93,07:00,1,0.0,0.0,0.0,0.0,,14.8,248.60369150021813,false
1,94,07:15,1,0.0,0.0,0.0,0.0,,14.8,249.06912766681208,false
1,95,07:30,1,0.0,0.0,0.0,0.0,,14.8,249.53456383340605,false
1,96,07:45,1,0.0,0.0,0.0,0.0,,14.8,250.0,false
