Time_Period,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,250.0,250.0
4,248.0902493074791,247.89473684210915
5,248.0902493074791,247.89473684210915
6,245.98498614958436,247.89473684210915
7,245.98498614958436,245.7894736842144
8,245.98498614958436,245.7894736842144
9,245.98498614958433,243.68421052631967
10,244.5302770083101,243.68421052631967
11,244.5302770083101,243.68421052631967
12,244.5302770083101,243.68421052631967
13,242.42501385041535,241.57894736842493
14,242.42501385041535,241.57894736842493
15,242.42501385041535,241.9938004683823
16,242.42501385041535,242.41432250390156
17,242.42501385041535,242.84461636574525
18,240.9955387082664,243.27491022758895
19,238.89027555037165,243.71452557382827
20,238.89027555037165,244.1541409200676
21,239.34046024681015,244.59589746515482
22,239.79064494324865,245.03765401024205
23,240.24082963968715,245.47941055532928
24,240.69101433612565,245.47941055532928
25,241.14119903256415,243.37414739743454
26,241.59138372900264,243.37414739743454
27,242.04156842544114,243.37414739743454
28,242.49175312187964,243.37414739743454
29,242.94193781831814,243.37414739743454
30,243.39212251475664,241.81679929368428
31,243.84230721119513,241.81679929368428
32,244.29266955426738,241.81679929368428
33,244.74303189733962,241.81679929368428
34,244.74303189733962,241.25477373795172
35,243.1849156305829,241.25477373795172
36,243.1849156305829,241.25477373795172
37,243.1849156305829,241.25477373795172
38,243.1527112235701,239.14951058005698
39,241.04744806567535,237.04424742216224
40,239.0546832006705,234.9389842642675
41,236.94942004277576,232.83372110637276
42,235.05984257029678,230.72845794847802
43,232.95457941240204,229.6989343767384
44,231.05957102452697,229.6989343767384
45,231.05957102452697,229.6989343767384
46,231.05957102452697,229.6989343767384
47,231.05957102452697,229.6989343767384
48,231.05957102452697,229.6989343767384
49,231.05957102452697,229.6989343767384
50,231.05957102452697,229.6989343767384
51,231.05957102452697,229.6989343767384
52,231.05957102452697,229.6989343767384
53,231.05957102452697,229.6989343767384
54,231.50993336759922,230.16032223181253
55,231.96029571067146,230.62171008688665
56,232.4106580537437,231.08309794196077
57,232.86102039681595,231.5444857970349
58,233.3113827398882,232.00587365210902
59,233.76174508296043,232.46726150718314
60,234.21210742603267,232.92864936225726
61,234.66246976910492,233.39003721733138
62,234.68768033554363,233.8514250724055
63,235.13804267861588,234.31281292747963
64,235.58840502168812,234.77420078255375
65,235.58840502168812,235.23558863762793
66,236.03876736476036,235.6969764927021
67,236.4891297078326,236.15836434777628
68,236.93949205090485,236.61975220285046
69,237.3898543939771,237.08114005792464
70,237.84021673704933,237.54252791299882
71,238.29057908012157,238.003915768073
72,238.74094142319382,238.46530362314718
73,239.19130376626606,238.92669147822136
74,239.6416661093383,239.38807933329554
75,240.09202845241055,239.84946718836972
76,240.5423907954828,240.3108550434439
77,240.99275313855503,240.77224289851807
78,241.44311548162727,241.23363075359225
79,241.89347782469952,241.69501860866643
80,242.34384016777176,242.1564064637406
81,242.794202510844,242.6177943188148
82,243.24456485391624,243.07918217388897
83,243.6949271969885,243.54057002896315
84,244.14528954006073,244.00195788403732
85,244.59565188313297,244.4633457391115
86,245.04601422620522,244.92473359418568
87,245.49637656927746,245.38612144925986
88,245.9467389123497,245.84750930433404
89,246.39710125542194,246.30889715940822
90,246.84746359849427,246.77028501448072
91,247.297825941566,247.2316728695549
92,247.74818828463833,247.69306072462905
93,248.19855062771066,248.15444857970323
94,248.648912970783,248.61583643477744
95,249.09927531385532,249.0772242898516
96,249.54963765692767,249.5386121449258
97,250.0,250.0
