Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A1S_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.4919,Digging,Traveling,0.0,0.0,5.1226,Digging,Traveling,0.0
2,08:15,0.0,0.0,5.4411,Digging,Idle,5.392210526316336,1.348052631579084,0.0264,Charging,Serving CEV,1.348052631579084
3,08:30,8.0,2.0,0.2481,Charging,Serving CEV,0.0,1.348052631579084,5.1226,Digging,Idle,-0.651947368420916
4,08:45,0.0,2.0,5.4411,Digging,Idle,0.0,1.348052631579084,4.4919,Digging,Idle,-0.651947368420916
5,09:00,0.0,2.0,4.5629,Digging,Idle,8.0,3.348052631579084,0.0,Charging,Serving CEV,1.3480526315790842
6,09:15,0.0,2.0,4.5726,Traveling,Idle,0.0,3.348052631579084,4.2026,Digging,Idle,1.3480526315790842
7,09:30,8.0,4.0,0.2481,Charging,Serving CEV,0.0,3.348052631579084,4.4502,Traveling,Idle,-0.6519473684209158
8,09:45,7.999999999999972,5.999999999999993,0.0,Charging,Serving CEV,8.0,5.348052631579084,0.1325,Charging,Serving CEV,-0.6519473684209087
9,10:00,0.0,5.999999999999993,4.7809,Digging,Idle,0.0,5.348052631579084,4.6773,Digging,Traveling,-0.6519473684209087
10,10:15,0.0,5.999999999999993,4.5629,Digging,Idle,0.0,5.348052631579084,3.4832,Digging,Charging (grid),-0.6519473684209087
11,10:30,0.0,5.999999999999993,4.2026,Digging,Idle,0.0,5.348052631579084,5.4411,Digging,Charging (grid),-0.6519473684209087
12,10:45,8.0,7.999999999999993,0.0,Charging,Serving CEV,0.0,5.348052631579084,4.9351,Digging,Charging (grid),-2.6519473684209087
13,11:00,0.0,7.999999999999993,4.9634,Digging,Idle,0.0,5.348052631579084,0.5059,Idle,Charging (grid),-2.6519473684209087
14,11:15,0.0,7.999999999999993,5.3956,Traveling,Idle,0.0,5.348052631579084,4.6176,Traveling,Charging (grid),-2.6519473684209087
15,11:30,0.0,7.999999999999993,5.2098,Digging,Idle,0.0,5.348052631579084,5.2098,Digging,Charging (grid),-2.6519473684209087
16,11:45,0.0,7.999999999999993,4.6773,Digging,Idle,0.0,5.348052631579084,4.8544,Digging,Charging (grid),-2.6519473684209087
17,12:00,8.0,9.999999999999993,0.0,Charging,Serving CEV,0.0,5.348052631579084,0.0,,Charging (grid),-4.651947368420909
18,12:15,8.0,11.999999999999993,0.0,Charging,Serving CEV,0.0,5.348052631579084,0.0,,Charging (grid),-6.651947368420909
19,12:30,0.0,11.999999999999993,0.0,,Traveling,0.0,5.348052631579084,0.0,,Charging (grid),-6.651947368420909
20,12:45,0.0,11.999999999999993,0.0,,Charging (grid),0.0,5.348052631579084,0.0,,Charging (grid),-6.651947368420909
21,13:00,0.0,11.999999999999993,0.0,,Charging (grid),0.0,5.348052631579084,0.0,,Charging (grid),-6.651947368420909
22,13:15,0.0,11.999999999999993,0.0,,Charging (grid),0.0,5.348052631579084,0.0,,Traveling,-6.651947368420909
23,13:30,0.0,11.999999999999993,0.0,,Charging (grid),5.979999999999995,6.8430526315790825,0.0,Charging,Serving CEV,-5.15694736842091
24,13:45,0.0,11.999999999999993,0.0,,Charging (grid),7.685263157894732,8.764368421052765,0.0,Charging,Serving CEV,-3.2356315789472276
25,14:00,0.0,11.999999999999993,4.5629,Digging,Charging (grid),0.0,8.764368421052765,4.9351,Digging,Idle,-3.2356315789472276
26,14:15,0.0,11.999999999999993,5.4411,Digging,Charging (grid),0.0,8.764368421052765,4.8544,Digging,Idle,-3.2356315789472276
27,14:30,0.0,11.999999999999993,4.6483,Traveling,Charging (grid),7.8107756232687,10.71706232686994,0.0,Charging,Serving CEV,-1.2829376731300535
28,14:45,0.0,11.999999999999993,3.4361,Loading/Swinging,Charging (grid),0.0,10.71706232686994,4.7175,Traveling,Idle,-1.2829376731300535
29,15:00,0.0,11.999999999999993,0.0,Idle,Charging (grid),0.0,10.71706232686994,3.4369,Loading/Swinging,Idle,-1.2829376731300535
30,15:15,0.0,11.999999999999993,2.9596,Loading/Swinging,Charging (grid),0.0,10.71706232686994,3.8487,Loading/Swinging,Idle,-1.2829376731300535
31,15:30,0.0,11.999999999999993,3.4369,Loading/Swinging,Charging (grid),0.0,10.71706232686994,2.6102,Loading/Swinging,Idle,-1.2829376731300535
32,15:45,0.0,11.999999999999993,3.4369,Loading/Swinging,Charging (grid),8.0,12.71706232686994,0.5059,Charging,Serving CEV,0.7170623268699465
33,16:00,0.0,11.999999999999993,4.617,Traveling,Traveling,0.0,12.71706232686994,4.3319,Loading/Swinging,Idle,0.7170623268699465
34,16:15,8.0,13.999999999999993,0.0262,Charging,Serving CEV,0.0,12.71706232686994,4.5506,Traveling,Idle,-1.2829376731300535
35,16:30,0.0,13.999999999999993,3.203,Loading/Swinging,Idle,0.0,12.71706232686994,3.0868,Loading/Swinging,Idle,-1.2829376731300535
36,16:45,0.0,13.999999999999993,2.4016,Loading/Swinging,Idle,0.0,12.71706232686994,3.203,Loading/Swinging,Idle,-1.2829376731300535
37,17:00,5.799411961722543,15.449852990430628,0.0,Charging,Serving CEV,1.1885907566700682,13.014210016037456,0.0,Charging,Serving CEV,-2.435642974393172
38,17:15,0.0,15.449852990430628,0.0,,Idle,8.0,15.014210016037456,0.0,Charging,Serving CEV,-0.435642974393172
39,17:30,0.0,15.449852990430628,0.0,,Idle,8.0,17.014210016037456,0.0,Charging,Serving CEV,1.564357025606828
40,17:45,8.0,17.449852990430628,0.0,Charging,Serving CEV,7.0953373285963215,18.788044348186535,0.0,Charging,Serving CEV,1.3381913577559068
41,18:00,8.0,19.449852990430628,0.0,Charging,Serving CEV,8.0,20.788044348186535,0.0,Charging,Serving CEV,1.3381913577559068
42,18:15,8.0,21.449852990430628,0.0,Charging,Serving CEV,8.0,22.788044348186535,0.0,Charging,Serving CEV,1.3381913577559068
43,18:30,8.0,23.449852990430628,0.0,Charging,Serving CEV,6.784455930073871,24.484158330705004,0.0,Charging,Serving CEV,1.0343053402743756
44,18:45,8.0,25.449852990430628,0.0,Charging,Serving CEV,0.0,24.484158330705004,0.0,,Traveling,-0.9656946597256244
45,19:00,0.0,25.449852990430628,0.0,,Idle,0.0,24.484158330705004,0.0,,Idle,-0.9656946597256244
46,19:15,0.0,25.449852990430628,0.0,,Traveling,0.0,24.484158330705004,0.0,,Idle,-0.9656946597256244
47,19:30,0.0,25.449852990430628,0.0,,Idle,0.0,24.484158330705004,0.0,,Idle,-0.9656946597256244
48,19:45,0.0,25.449852990430628,0.0,,Idle,0.0,24.484158330705004,0.0,,Idle,-0.9656946597256244
49,20:00,0.0,25.449852990430628,0.0,,Idle,0.0,24.484158330705004,0.0,,Idle,-0.9656946597256244
50,20:15,0.0,25.449852990430628,0.0,,Idle,0.0,24.484158330705004,0.0,,Idle,-0.9656946597256244
51,20:30,0.0,25.449852990430628,0.0,,Idle,0.0,24.484158330705004,0.0,,Idle,-0.9656946597256244
52,20:45,0.0,25.449852990430628,0.0,,Idle,0.0,24.484158330705004,0.0,,Idle,-0.9656946597256244
53,21:00,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.484158330705004,0.0,,Charging (grid),-0.9656946597256244
