Time_Period,CEV_1_A1S_kWh,CEV_1_A2S_kWh
1,14.8,14.8
2,13.566225000000001,13.614375
3,12.515574999999963,12.2729
4,11.464924999999962,11.0593
5,10.324199999999962,13.0593
6,11.004580263191219,11.8643
7,9.82725526319122,10.7428
8,8.776605263191364,12.616324999999854
9,7.569680263191364,14.616324999999854
10,6.4467052631913635,13.281599999999854
11,8.380980263191363,11.946874999999853
12,10.374380263191362,10.750799999999852
13,12.308655263190253,12.750799999999852
14,11.244105263190253,11.879999999999853
15,10.064730263190253,10.717924999999854
16,8.869730263190252,9.594949999999853
17,7.635955263190253,8.530399999999853
18,9.635955263190255,8.530399999999853
19,11.635955263190255,8.530399999999853
20,11.635955263190255,8.530399999999853
21,11.635955263190255,8.530399999999853
22,11.635955263190255,8.530399999999853
23,11.635955263190255,8.530399999999853
24,11.635955263190255,8.530399999999853
25,11.635955263190255,10.358658936466211
26,11.035555263190254,9.285983936466211
27,9.700830263190253,8.641083936466211
28,8.557680263190253,7.528533936466212
29,7.905130263190253,6.914658936466211
30,7.839405263190254,8.91465893646621
31,6.980180263190253,8.26975893646621
32,5.915630263190254,7.035983936466211
33,5.315230263190253,6.484808936466211
34,4.050455263190253,8.469558936466212
35,5.0216365650952515,7.317908936466212
36,4.0342115650952515,6.330483936466212
37,3.0720365650952512,5.247508936466212
38,3.4172612334160397,5.302762687554411
39,5.399091514030735,7.302762687554411
40,7.399091514030735,9.302762687554411
41,9.399091514030735,11.302762687554411
42,11.084258341366805,13.302762687554411
43,13.084258341366805,14.8
44,14.8,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
