Time_Period,CEV_1_A0_kWh,CEV_1_A1S_kWh,CEV_1_A2S_kWh
1,14.8,14.8,14.8
2,13.55915,13.586400000000001,13.586400000000001
3,12.352225,14.8,12.445675000000001
4,14.352225,13.677025,11.381125
5,13.157225,12.604349999999986,13.381125
6,11.8225,14.604349999999986,14.8
7,10.645175,13.363499999999986,13.519350000000001
8,12.645175,12.225849999999985,12.36495
9,14.579449999999992,14.225849999999955,14.36495
10,13.276999999999992,13.030849999999955,13.292275
11,12.081774999999991,11.808224999999954,12.1693
12,10.89044999999999,11.257049999999953,11.5244
13,12.773224999999991,9.922324999999953,11.5244
14,11.632499999999991,9.922324999999953,10.355075
15,10.49484999999999,8.800824999999953,9.318475
16,9.29984999999999,8.155924999999954,8.75095
17,8.05899999999999,6.960699999999954,7.934575
18,10.05899999999999,6.960699999999954,7.934575
19,12.05899999999999,6.960699999999954,7.934575
20,12.05899999999999,6.960699999999954,7.934575
21,12.05899999999999,6.960699999999954,9.934574999999999
22,12.05899999999999,6.960699999999954,11.108747892897577
23,12.05899999999999,6.960699999999954,12.134210746893956
24,12.05899999999999,8.06117368421053,14.134210746893956
25,12.05899999999999,10.003254016620499,14.8
26,10.72427499999999,8.6617790166205,13.593075
27,9.382799999999989,7.3270540166205,12.38615
28,8.203424999999989,9.1473540166205,11.096675000000001
29,7.215999999999989,8.0097040166205,9.755200000000002
30,7.215999999999989,6.8144790166205,11.755200000000002
31,6.356774999999988,5.7418040166205,10.559125000000002
32,5.616874999999988,5.0418040166205,9.217650000000003
33,4.675424999999988,7.0418040166205,11.211050000000002
34,3.5628749999999885,6.2410540166205,10.439350000000001
35,5.497149999999989,5.171929016620499,9.3017
36,4.762999999999989,4.355554016620499,8.5618
37,4.023099999999989,3.6079790166204995,7.09365
38,5.472952990430624,5.607979016620499,9.09365
39,5.472952990430624,7.283790578072606,11.09365
40,5.472952990430624,9.283790578072606,13.09365
41,7.472952990430624,11.283790578072606,14.8
42,9.472952990430624,13.283790578072606,14.8
43,11.472952990430624,14.8,14.8
44,13.472952990430624,14.8,14.8
45,14.8,14.8,14.8
46,14.8,14.8,14.8
47,14.8,14.8,14.8
48,14.8,14.8,14.8
49,14.8,14.8,14.8
50,14.8,14.8,14.8
51,14.8,14.8,14.8
52,14.8,14.8,14.8
53,14.8,14.8,14.8
54,14.8,14.8,14.8
55,14.8,14.8,14.8
56,14.8,14.8,14.8
57,14.8,14.8,14.8
58,14.8,14.8,14.8
59,14.8,14.8,14.8
60,14.8,14.8,14.8
61,14.8,14.8,14.8
62,14.8,14.8,14.8
63,14.8,14.8,14.8
64,14.8,14.8,14.8
65,14.8,14.8,14.8
66,14.8,14.8,14.8
67,14.8,14.8,14.8
68,14.8,14.8,14.8
69,14.8,14.8,14.8
70,14.8,14.8,14.8
71,14.8,14.8,14.8
72,14.8,14.8,14.8
73,14.8,14.8,14.8
74,14.8,14.8,14.8
75,14.8,14.8,14.8
76,14.8,14.8,14.8
77,14.8,14.8,14.8
78,14.8,14.8,14.8
79,14.8,14.8,14.8
80,14.8,14.8,14.8
81,14.8,14.8,14.8
82,14.8,14.8,14.8
83,14.8,14.8,14.8
84,14.8,14.8,14.8
85,14.8,14.8,14.8
86,14.8,14.8,14.8
87,14.8,14.8,14.8
88,14.8,14.8,14.8
89,14.8,14.8,14.8
90,14.8,14.8,14.8
91,14.8,14.8,14.8
92,14.8,14.8,14.8
93,14.8,14.8,14.8
94,14.8,14.8,14.8
95,14.8,14.8,14.8
96,14.8,14.8,14.8
97,14.8,14.8,14.8
