Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh
1,250.0,250.0
2,250.0,250.0
3,250.0,248.58099722991676
4,247.89473684210526,248.58099722991676
5,247.89473684210526,248.58099722991676
6,247.89473684210526,246.47573407202202
7,247.89473684210526,246.47573407202202
8,245.78947368421052,244.37047091412728
9,243.68421052631578,244.37047091412728
10,243.68421052631578,244.37047091412728
11,243.68421052631578,244.37047091412728
12,243.68421052631578,244.37047091412728
13,241.57894736842104,242.46423822715064
14,241.57894736842104,242.46423822715064
15,241.57894736842104,242.46423822715064
16,241.57894736842104,242.46423822715064
17,241.57894736842104,242.46423822715064
18,239.4736842105263,240.64426155416206
19,237.36842105263156,238.53899839626732
20,237.36842105263156,238.53899839626732
21,237.83840910416308,239.00353851495132
22,238.30839715569456,239.46807863363532
23,238.77838520722608,239.9326187523193
24,239.24837325875757,240.3971588710033
25,239.71836131028908,240.8616989896873
26,240.18834936182057,241.3262391083713
27,240.6583374133521,241.7910203872313
28,241.12832546488357,242.2558016660913
29,241.59831351641506,242.72058294495127
30,242.06830156794658,243.18613811577802
31,242.53828961947806,243.65467495690595
32,243.00827767100958,244.12321179803388
33,243.47826572254107,244.5917486391618
34,243.47826572254107,244.5917486391618
35,241.37300256464633,242.48648548126707
36,241.37300256464633,242.48648548126707
37,241.37300256464633,242.48648548126707
38,239.84684152208777,242.34016846405595
39,239.84684152208777,240.2349053061612
40,239.84684152208777,238.12964214826647
41,237.74157836419303,236.25368653421387
42,235.6363152062983,234.24715788232191
43,233.53105204840355,232.14189472442717
44,231.4257888905088,230.25304166178438
45,229.32052573261407,230.25304166178438
46,229.32052573261407,230.25304166178438
47,229.32052573261407,230.25304166178438
48,229.32052573261407,230.25304166178438
49,229.32052573261407,230.25304166178438
50,229.32052573261407,230.25304166178438
51,229.32052573261407,230.25304166178438
52,229.32052573261407,230.25304166178438
53,229.32052573261407,230.25304166178438
54,229.7905137841456,230.7215785029123
55,230.26050183567708,231.19011534404024
56,230.73048988720856,231.65865218516817
57,231.20047793874008,232.1271890262961
58,231.67046599027157,232.59572586742402
59,232.14045404180308,233.06426270855195
60,232.61044209333457,233.53279954967988
61,233.08043014486609,234.0013363908078
62,233.55041819639757,234.06974740165086
63,234.02040624792906,234.5382842427788
64,234.49039429946058,235.0068210839067
65,234.96038235099206,235.0068210839067
66,235.43037040252358,235.47535792503461
67,235.90035845405507,235.94389476616254
68,236.37034650558655,236.41243160729047
69,236.84033455711807,236.8809684484184
70,237.31032260864956,237.34950528954633
71,237.78031066018104,237.81804213067426
72,238.25029871171256,238.2865789718022
73,238.72028676324405,238.75511581293011
74,239.19027481477553,239.22365265405804
75,239.66026286630705,239.69218949518597
76,240.13025091783854,240.1607263363139
77,240.60023896937005,240.62926317744183
78,241.07022702090154,241.09780001856976
79,241.54021507243303,241.56633685969769
80,242.01020312396454,242.0348737008256
81,242.48019117549603,242.50341054195354
82,242.95017922702752,242.97194738308147
83,243.42016727855903,243.4404842242094
84,243.89015533009052,243.90902106533733
85,244.360143381622,244.37755790646526
86,244.83013143315353,244.84609474759318
87,245.300119484685,245.3146315887211
88,245.77010753621653,245.78316842984904
89,246.24009558774802,246.25170527097697
90,246.7100836392795,246.7202421121046
91,247.18007169081102,247.18877895323251
92,247.6500597423425,247.6573157943604
93,248.120047793874,248.12585263548831
94,248.5900358454055,248.59438947661621
95,249.060023896937,249.06292631774414
96,249.53001194846848,249.53146315887207
97,250.0,250.0
