Time_Period,Clock,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A1S_cum_kWh
1,08:00,0.0,0.0,4.9634,Digging,Traveling,0.0,0.0,5.2098,Digging,Idle,0.0
2,08:15,4.358842105263168,1.089710526315792,0.0264,Charging,Serving CEV,0.0,0.0,4.9351,Digging,Traveling,-1.089710526315792
3,08:30,0.0,1.089710526315792,4.78,Digging,Idle,0.0,0.0,4.78,Digging,Idle,-1.089710526315792
4,08:45,0.0,1.089710526315792,5.4411,Digging,Idle,0.0,0.0,4.7809,Digging,Idle,-1.089710526315792
5,09:00,7.999999999999998,3.0897105263157916,0.0,Charging,Serving CEV,8.0,2.0,0.4689,Charging,Serving CEV,-1.0897105263157916
6,09:15,0.0,3.0897105263157916,4.8277,Digging,Idle,8.0,4.0,0.0,Charging,Serving CEV,0.9102894736842084
7,09:30,0.0,3.0897105263157916,4.7746,Traveling,Idle,0.0,4.0,3.7534,Traveling,Idle,0.9102894736842084
8,09:45,8.0,5.089710526315791,0.4689,Charging,Serving CEV,8.0,6.0,0.4689,Charging,Serving CEV,0.9102894736842089
9,10:00,0.0,5.089710526315791,4.2907,Digging,Idle,0.0,6.0,4.6773,Digging,Idle,0.9102894736842089
10,10:15,0.0,5.089710526315791,4.7809,Digging,Idle,0.0,6.0,4.8905,Digging,Idle,0.9102894736842089
11,10:30,0.0,5.089710526315791,5.3659,Digging,Idle,0.0,6.0,4.7653,Digging,Idle,0.9102894736842089
12,10:45,7.924166204985427,7.0707520775621475,0.4689,Charging,Serving CEV,8.0,8.0,0.2629,Charging,Serving CEV,0.9292479224378525
13,11:00,0.0,7.0707520775621475,5.3659,Digging,Idle,0.0,8.0,3.0868,Loading/Swinging,Traveling,0.9292479224378525
14,11:15,0.0,7.0707520775621475,4.486,Traveling,Idle,0.0,8.0,4.6176,Traveling,Charging (grid),0.9292479224378525
15,11:30,0.0,7.0707520775621475,3.0868,Loading/Swinging,Idle,0.0,8.0,4.8277,Digging,Charging (grid),0.9292479224378525
16,11:45,0.0,7.0707520775621475,2.4555,Loading/Swinging,Idle,0.0,8.0,5.1226,Digging,Charging (grid),0.9292479224378525
17,12:00,7.628517568153452,8.977881469600511,0.0,Charging,Serving CEV,0.0,8.0,0.0,,Charging (grid),-0.9778814696005114
18,12:15,6.248183285892574,10.539927291073655,0.0,Charging,Serving CEV,0.0,8.0,0.0,,Charging (grid),-2.5399272910736546
19,12:30,0.0,10.539927291073655,0.0,,Traveling,0.0,8.0,0.0,,Charging (grid),-2.5399272910736546
