Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A1S_minus_A0_cum_kWh,A2S_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.2026,Digging,Traveling,0.0,0.0,4.8905,Digging,Traveling,0.0,0.0,5.1226,Digging,Idle,0.0,0.0
2,08:15,0.0,0.0,4.78,Digging,Idle,0.0,0.0,4.8277,Digging,Idle,0.0,0.0,4.9634,Digging,Idle,0.0,0.0
3,08:30,8.0,2.0,0.5059,Charging,Serving CEV,1.829647544582258e-13,4.574118861455645e-14,4.4919,Digging,Idle,0.0,0.0,4.2582,Digging,Idle,-1.9999999999999543,-2.0
4,08:45,0.0,2.0,4.78,Digging,Idle,0.0,4.574118861455645e-14,5.2098,Digging,Idle,0.0,0.0,4.7809,Digging,Idle,-1.9999999999999543,-2.0
5,09:00,0.0,2.0,4.2026,Digging,Idle,8.0,2.0000000000000457,0.0262,Charging,Serving CEV,0.0,0.0,0.1325,Idle,Traveling,4.574118861455645e-14,-2.0
6,09:15,0.0,2.0,3.7534,Traveling,Idle,-1.0658141036401503e-14,2.000000000000043,3.7534,Traveling,Idle,7.999999998698295,1.9999999996745736,0.2629,Charging,Serving CEV,4.3076653355456074e-14,-3.2542635253207663e-10
7,09:30,8.0,4.0,0.0,Charging,Serving CEV,7.999473684210348,3.9998684210526303,0.0,Charging,Serving CEV,0.0,1.9999999996745736,4.7095,Traveling,Idle,-0.00013157894736970377,-2.0000000003254264
8,09:45,7.999999999999972,5.999999999999993,0.4689,Charging,Serving CEV,7.578975069252105,5.894612188365657,0.7188,Charging,Serving CEV,0.0,1.9999999996745736,5.4411,Digging,Idle,-0.10538781163433608,-4.00000000032542
9,10:00,0.0,5.999999999999993,4.5629,Digging,Idle,0.0,5.894612188365657,4.8544,Digging,Traveling,-2.5505007463786987e-11,1.9999999996681974,3.4832,Digging,Idle,-0.10538781163433608,-4.000000000331795
10,10:15,0.0,5.999999999999993,4.8277,Digging,Idle,0.0,5.894612188365657,4.7843,Digging,Charging (grid),0.0,1.9999999996681974,4.9351,Digging,Idle,-0.10538781163433608,-4.000000000331795
