day,step,clock,cev,p_dig_kW,p_load_kW,p_trav_kW,p_idle_kW,activity_executed,soe_cev_kWh,soe_mcs_kWh,infeasible_flag
1,1,08:00,1,4.917169885385958,0.0,0.0,0.0,Digging,13.57070752865351,250.0,false
1,2,08:15,1,4.967090118906024,0.0,0.0,0.0,Digging,12.328934998927005,250.0,false
1,3,08:30,1,4.8671498426615125,0.0,0.0,0.0,Digging,11.112147538261627,250.0,false
1,4,08:45,1,4.846747622549963,0.0,0.0,0.0,Digging,9.900460632624137,250.0,false
1,5,09:00,1,0.0,0.0,0.0,0.0,Charging,11.900460632624155,247.89473684210523,false
1,6,09:15,1,0.0,0.0,4.568434181178208,0.0,Traveling,10.758352087329602,247.89473684210523,false
1,7,09:30,1,4.717690298720717,0.0,0.0,0.0,Digging,9.578929512649422,247.89473684210523,false
1,8,09:45,1,0.0,0.0,0.0,0.0,Charging,11.578929512649422,245.7894736842105,false
1,9,10:00,1,0.0,0.0,0.0,0.0,Charging,13.578929512649422,243.68421052631575,false
1,10,10:15,1,4.7305259843610505,0.0,0.0,0.0,Digging,12.39629801655916,243.68421052631575,false
1,11,10:30,1,4.788023817481726,0.0,0.0,0.0,Digging,11.199292062188729,243.68421052631575,false
1,12,10:45,1,4.880658634713983,0.0,0.0,0.0,Digging,9.979127403510233,243.68421052631575,false
1,13,11:00,1,0.0,0.0,0.0,0.0,Charging,11.97912740351039,241.57894736842084,false
1,14,11:15,1,0.0,0.0,4.910243966195298,0.0,Traveling,10.751566411961566,241.57894736842084,false
1,15,11:30,1,4.777776117160995,0.0,0.0,0.0,Digging,9.557122382671317,241.57894736842084,false
1,16,11:45,1,4.752285683117001,0.0,0.0,0.0,Digging,8.369050961892066,241.57894736842084,false
1,17,12:00,1,0.0,0.0,0.0,0.0,Charging,10.237932797625515,239.61170333080668,false
1,18,12:15,1,0.0,0.0,0.0,0.0,Charging,11.608942377423194,238.16853535207227,false
1,19,12:30,1,0.0,0.0,0.0,0.0,,11.608942377423194,238.16853535207227,false
1,20,12:45,1,0.0,0.0,0.0,0.0,,11.608942377423194,238.60349026535226,false
1,21,13:00,1,0.0,0.0,0.0,0.0,,11.608942377423194,239.04239571406066,false
1,22,13:15,1,0.0,0.0,0.0,0.0,,11.608942377423194,239.48130116276906,false
1,23,13:30,1,0.0,0.0,0.0,0.0,,11.608942377423194,239.92020661147745,false
1,24,13:45,1,0.0,0.0,0.0,0.0,,11.608942377423194,240.35911206018585,false
1,25,14:00,1,4.552603911696518,0.0,0.0,0.0,Digging,10.470791399499065,240.79801750889422,false
1,26,14:15,1,0.0,3.3212694210733544,0.0,0.0,Loading/Swinging,9.640474044230727,241.23692295760262,false
