Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A1S_minus_A0_cum_kWh,A2S_minus_A0_cum_kWh
1,08:00,0.0,0.0,5.3659,Digging,Traveling,0.0,0.0,4.7809,Digging,Traveling,0.0,0.0,5.2098,Digging,Traveling,0.0,0.0
2,08:15,0.0,0.0,4.6773,Digging,Idle,0.0,0.0,4.2582,Digging,Idle,0.0,0.0,4.6773,Digging,Idle,0.0,0.0
3,08:30,8.0,2.0,0.0,Charging,Serving CEV,-1.616484723854228e-13,-4.04121180963557e-14,4.7425,Digging,Idle,0.0,0.0,4.5629,Digging,Idle,-2.0000000000000404,-2.0
4,08:45,0.0,2.0,4.9634,Digging,Idle,1.0658141036401503e-13,-1.3766765505351941e-14,4.8905,Digging,Idle,8.000000000236344,2.000000000059086,0.0262,Charging,Serving CEV,-2.0000000000000138,5.908606937055083e-11
5,09:00,0.0,2.0,4.5629,Digging,Idle,8.0,1.9999999999999862,1.3131,Charging,Serving CEV,6.817052631330145,3.7042631578916225,0.0,Charging,Serving CEV,-1.3766765505351941e-14,1.7042631578916225
6,09:15,0.0,2.0,4.2765,Traveling,Idle,0.0,1.9999999999999862,4.5506,Traveling,Idle,0.0,3.7042631578916225,4.9351,Digging,Idle,-1.3766765505351941e-14,1.7042631578916225
7,09:30,8.0,4.0,0.1325,Charging,Serving CEV,8.000000000000096,4.000000000000011,0.0,Charging,Serving CEV,0.0,3.7042631578916225,4.5721,Traveling,Idle,1.0658141036401503e-14,-0.2957368421083775
8,09:45,7.999999999999972,5.999999999999993,0.061,Charging,Serving CEV,8.0,6.000000000000011,0.0,Charging,Serving CEV,8.0,5.7042631578916225,0.0264,Charging,Serving CEV,1.7763568394002505e-14,-0.29573684210837037
9,10:00,0.0,5.999999999999993,4.7653,Digging,Idle,0.0,6.000000000000011,4.78,Digging,Traveling,0.0,5.7042631578916225,3.0004,Loading/Swinging,Traveling,1.7763568394002505e-14,-0.29573684210837037
10,10:15,0.0,5.999999999999993,4.7843,Digging,Idle,0.0,6.000000000000011,4.78,Digging,Charging (grid),0.0,5.7042631578916225,4.2907,Digging,Charging (grid),1.7763568394002505e-14,-0.29573684210837037
