Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0,250.0
2,250.0,250.0,250.0
3,250.0,250.0,250.0
4,247.89473684210526,250.0,250.0
5,247.89473684210526,247.91961218836565,247.89473684210526
6,247.89473684210526,246.66497885989216,247.89473684210526
7,247.89473684210526,246.66497885989216,245.78947368421052
8,245.78947368421052,246.66497885989216,245.78947368421052
9,243.68421052631578,244.77392078022703,243.68421052631578
10,243.68421052631578,244.77392078022703,243.68421052631578
11,243.68421052631578,244.77392078022703,243.68421052631578
12,243.68421052631578,244.77392078022703,244.12782737340873
13,241.57894736842104,242.6686576223323,244.57201880575656
14,241.57894736842104,242.6686576223323,245.01763046260473
15,241.57894736842104,242.6686576223323,245.4632421194529
16,241.57894736842104,242.6686576223323,245.92212435130284
17,241.57894736842104,242.6686576223323,246.38100658315278
18,239.4736842105263,240.56339446443755,246.83988881500272
19,237.36842105263156,238.4581313065428,247.29877104685266
20,237.36842105263156,238.4581313065428,247.7576532787026
21,237.83840910416308,238.90468641636565,248.21653551055255
22,238.30839715569456,239.3512415261885,248.6754177424025
23,238.77838520722608,239.79779663601133,248.6754177424025
24,239.24837325875757,240.24435174583417,246.57015458450775
25,239.71836131028908,240.690906855657,244.464891426613
26,240.18834936182057,241.13746196547984,244.464891426613
27,240.6583374133521,241.58628365506476,244.464891426613
28,241.12832546488357,242.03605215905412,244.464891426613
29,241.59831351641506,242.48582066304348,244.464891426613
30,242.06830156794658,242.93558916703284,242.35962826871827
31,242.53828961947806,243.3853576710222,242.35962826871827
32,243.00827767100958,243.83896876202832,242.35962826871827
33,243.47826572254107,244.29318311557674,241.5049181115737
34,243.47826572254107,244.29318311557674,241.5049181115737
35,241.37300256464633,242.9108011308502,241.5049181115737
36,241.37300256464633,242.9108011308502,241.5049181115737
37,241.37300256464633,242.9108011308502,241.5049181115737
38,239.84684152208777,240.80553797295545,239.39965495367895
39,239.84684152208777,238.7002748150607,237.2943917957842
40,239.84684152208777,236.59501165716597,235.18912863788947
41,237.74157836419303,234.48974849927123,233.08386547999473
42,235.6363152062983,233.19333647076652,230.9786023221
43,233.53105204840355,231.15630552489836,229.64056869250146
44,231.4257888905088,231.15630552489836,229.64056869250146
45,229.32052573261407,231.15630552489836,229.64056869250146
46,229.32052573261407,231.15630552489836,229.64056869250146
47,229.32052573261407,231.15630552489836,229.64056869250146
48,229.32052573261407,231.15630552489836,229.64056869250146
49,229.32052573261407,231.15630552489836,229.64056869250146
50,229.32052573261407,231.15630552489836,229.64056869250146
51,229.32052573261407,231.15630552489836,229.64056869250146
52,229.32052573261407,231.15630552489836,229.64056869250146
53,229.32052573261407,231.15630552489836,229.64056869250146
54,229.7905137841456,231.61051987844678,230.10328304039916
55,230.26050183567708,232.0647342319952,230.56599738829686
56,230.73048988720856,232.51894858554363,231.02871173619457
57,231.20047793874008,232.97316293909205,231.49142608409227
58,231.67046599027157,233.42737729264047,231.95414043198997
59,232.14045404180308,233.8815916461889,232.41685477988767
60,232.61044209333457,234.33580599973732,232.87956912778537
61,233.08043014486609,234.79002035328574,233.34228347568308
62,233.55041819639757,234.79002035328574,233.80499782358078
63,234.02040624792906,235.24423470683416,234.26771217147848
64,234.49039429946058,235.4651406864506,234.73042651937618
65,234.96038235099206,235.4651406864506,235.1931408672738
66,235.43037040252358,235.91935503999903,235.6558552151715
67,235.90035845405507,236.37356939354746,236.1185695630692
68,236.37034650558655,236.82778374709588,236.5812839109669
69,236.84033455711807,237.2819981006443,237.0439982588646
70,237.31032260864956,237.73621245419272,237.5067126067623
71,237.78031066018104,238.19042680774115,237.96942695466
72,238.25029871171256,238.64464116128957,238.4321413025577
73,238.72028676324405,239.098855514838,238.8948556504554
74,239.19027481477553,239.55306986838642,239.3575699983531
75,239.66026286630705,240.00728422193484,239.82028434625082
76,240.13025091783854,240.46149857548326,240.28299869414852
77,240.60023896937005,240.91571292903168,240.74571304204622
78,241.07022702090154,241.3699272825801,241.20842738994392
79,241.54021507243303,241.82414163612853,241.67114173784162
80,242.01020312396454,242.27835598967695,242.13385608573932
81,242.48019117549603,242.73257034322538,242.59657043363703
82,242.95017922702752,243.1867846967738,243.05928478153473
83,243.42016727855903,243.64099905032222,243.52199912943243
84,243.89015533009052,244.09521340387064,243.98471347733013
85,244.360143381622,244.54942775741907,244.44742782522783
86,244.83013143315353,245.0036421109675,244.91014217312554
87,245.300119484685,245.4578564645159,245.37285652102324
88,245.77010753621653,245.91207081806434,245.83557086892094
89,246.24009558774802,246.36628517161276,246.29828521681864
90,246.7100836392795,246.82049952516107,246.76099956471614
91,247.18007169081102,247.2747138787095,247.22371391261385
92,247.6500597423425,247.72892823225789,247.68642826051152
93,248.120047793874,248.1831425858063,248.14914260840922
94,248.5900358454055,248.6373569393547,248.6118569563069
95,249.060023896937,249.09157129290315,249.0745713042046
96,249.53001194846848,249.54578564645155,249.5372856521023
97,250.0,250.0,250.0
