Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A1S_minus_A0_cum_kWh
1,08:00,0.0,0.0,5.257171176668226,Digging,Traveling,0.0,0.0,5.257171176668226,Digging,Traveling,0.0
2,08:15,0.0,0.0,5.262850991206029,Digging,Idle,4.807022291231248,1.201755572807812,0.0,Charging,Serving CEV,1.201755572807812
3,08:30,7.999999999999999,1.9999999999999998,0.0,Charging,Serving CEV,0.0,1.201755572807812,5.262850991206029,Digging,Idle,-0.7982444271921878
4,08:45,0.0,1.9999999999999998,5.271603006483285,Digging,Idle,0.0,1.201755572807812,5.271603006483285,Digging,Idle,-0.7982444271921878
5,09:00,0.0,1.9999999999999998,5.243515152625685,Digging,Idle,7.999999999999697,3.2017555728077363,0.0,Charging,Serving CEV,1.2017555728077365
6,09:15,8.0,4.0,0.0,Charging,Serving CEV,0.0,3.2017555728077363,5.243515152625685,Digging,Idle,-0.7982444271922637
7,09:30,4.178947368421149,5.044736842105287,0.0,Charging,Serving CEV,7.999999999997618,5.201755572807141,0.0,Charging,Serving CEV,0.15701873070185357
8,09:45,0.0,5.044736842105287,5.49978473139018,Traveling,Idle,0.0,5.201755572807141,5.49978473139018,Traveling,Idle,0.15701873070185357
9,10:00,0.0,5.044736842105287,3.5344967171927126,Loading/Swinging,Idle,0.0,5.201755572807141,5.2255121995057054,Digging,Idle,0.15701873070185357
10,10:15,0.0,5.044736842105287,5.2255121995057054,Digging,Idle,0.0,5.201755572807141,5.383467569679832,Digging,Idle,0.15701873070185357
11,10:30,0.0,5.044736842105287,5.383467569679832,Digging,Idle,0.0,5.201755572807141,5.303736440506365,Digging,Idle,0.15701873070185357
12,10:45,8.0,7.044736842105287,0.0,Charging,Serving CEV,8.000000000000002,7.201755572807141,0.0,Charging,Serving CEV,0.15701873070185357
13,11:00,0.0,7.044736842105287,5.303736440506365,Digging,Idle,0.0,7.201755572807141,5.363790768841857,Digging,Idle,0.15701873070185357
14,11:15,0.0,7.044736842105287,5.55402949032208,Traveling,Idle,0.0,7.201755572807141,5.55402949032208,Traveling,Idle,0.15701873070185357
15,11:30,0.0,7.044736842105287,5.363790768841857,Digging,Idle,0.0,7.201755572807141,5.352952653995257,Digging,Idle,0.15701873070185357
16,11:45,0.0,7.044736842105287,5.352952653995257,Digging,Idle,0.0,7.201755572807141,5.318711569052477,Digging,Idle,0.15701873070185357
