Metric,A0,A2S
Total_Cost_USD,462.93,76.73
Total_Energy_Cost_USD,8.97,9.41
Total_CO2_Cost_USD,0.33,0.37
NC_demand_charge_USD,39.24,46.94
OP_demand_charge_USD,-0.0,0.0
Missed_Work_Penalty_USD,394.39,0.0
Travel_Labour_USD,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,27.79,29.69
Total_CO2_Emissions_kg,6.64,7.49
NCD_Peak_kW,1.95,2.33
OPD_Peak_kW,-0.0,0.0
Missed_Work_hour,0.2,0.0
MCS_Transit_hour,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,14.03,11041.98
