Time_Period,CEV_1_A1S_kWh,CEV_1_A2S_kWh
1,14.8,14.8
2,13.485707205832945,13.485707205832945
3,14.687462778640757,12.169994458031438
4,13.37175003083925,10.852093706410393
5,12.05384927921843,12.852093706410393
6,14.053849279218353,11.541214918253972
7,12.742970491061932,13.541214918253972
8,14.742970491061337,12.166268735406428
9,13.368024308213792,14.166268735406428
10,12.061646258337365,12.85989068553
11,10.715779365917408,11.514023793110043
12,9.389845255790817,10.188089682983453
13,11.389845255790817,8.847141990773032
14,10.048897563580352,10.847141990773036
15,8.660390190999832,9.458634618192516
16,7.322152027501018,8.1203964546937
17,5.992474135237899,6.790718562430582
18,7.992474135237917,8.790718562430582
19,9.146922413934838,10.790718562430582
20,11.146922413934838,10.790718562430582
21,11.146922413934838,10.790718562430582
22,11.146922413934838,10.790718562430582
23,11.146922413934838,10.790718562430582
24,11.146922413934838,10.790718562430582
25,11.146922413934838,10.790718562430582
26,10.263298234636661,9.479699230683796
27,9.380011545791278,8.596075051385618
28,7.999753370653352,7.2158168762476915
29,6.688734038906565,5.895571711720127
30,6.688734038906565,7.895571711720127
31,5.784002223052539,7.012285022874744
32,4.873604082257823,6.107553207020718
33,3.5533589177302582,8.107553207020718
34,5.462639004329987,7.197155066226002
35,7.362150578719476,5.821574214983722
36,5.986569727477196,4.929168829975
37,5.094164342468473,4.042972951937745
38,7.094164342468473,6.042972951937745
39,9.094164342468474,8.042972951937745
40,9.100307139870083,10.042972951937745
41,11.09998383474368,12.042972951937745
42,13.09998383474368,14.042972951937745
43,14.8,14.8
44,14.8,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
