Time_Period,MCS_1_A0_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,250.0,250.0
4,247.89473684210526,250.0
5,247.8947368421053,250.0
6,247.8947368421053,247.89473684210526
7,245.78947368421055,245.78947368421052
8,244.68975069252076,245.78947368421052
9,244.68975069252076,245.78947368421052
10,244.68975069252076,245.78947368421052
11,244.68975069252076,245.78947368421092
12,244.68975069252076,243.68421052631618
13,242.58448753462602,241.57894736844074
14,242.58448753462602,241.57894736844074
15,242.58448753462602,241.94921414665936
16,242.58448753462602,242.31948092487798
17,242.58448753462602,242.6897477030966
18,240.47922437673128,243.06001448131522
19,238.37396121883654,243.43028125953379
20,238.37396121883654,243.8005480377524
21,238.83710939398355,244.17081481597103
22,239.30025756913057,244.54108159418965
23,239.76340574427758,244.91134837240827
24,240.2265539194246,245.2816151506269
25,240.6897020945716,245.6518819288455
26,241.1528502697186,246.02214870706413
27,241.61599844486562,246.39241548528275
28,242.07914662001264,246.76268226350138
29,242.54229479515965,246.76268226350138
30,243.00544297030666,244.65741910560664
31,243.46859114545367,244.65741910560664
32,243.93173932060068,244.65741910560664
33,244.3948874957477,244.65741910560664
34,244.3948874957477,242.5521559477119
35,242.28962433785296,242.5521559477119
36,242.28962433785296,242.5521559477119
37,242.28962433785296,242.5521559477119
38,242.28962433785296,240.44689278981716
39,242.28962433785296,238.34162963192242
40,242.28962433785296,236.23636647402768
41,242.28962433785296,234.13110331613294
42,242.28962433785296,233.33723429794452
43,242.28962433785296,233.33723429794452
44,242.28962433785296,233.33723429794452
45,240.18436117995822,233.33723429794452
46,238.07909802206348,233.33723429794452
47,238.07909802206348,233.33723429794452
48,235.97383486416874,233.33723429794452
49,233.868571706274,233.33723429794452
50,233.83200660932107,233.33723429794452
51,231.72674345142633,233.33723429794452
52,229.6214802935316,233.33723429794452
53,229.6214802935316,233.33723429794452
54,230.0846284686786,233.71593351844578
55,230.5477766438256,234.09463273894704
56,231.01092481897263,234.4733319594483
57,231.47407299411964,234.85203117994956
58,231.93722116926665,235.23073040045082
59,232.40036934441366,235.60942962095208
60,232.86351751956067,235.98812884145335
61,233.32666569470769,236.3668280619546
62,233.7898138698547,236.74552728245587
63,234.2529620450017,237.12422650295713
64,234.71611022014872,237.5029257234584
65,235.17925839529573,237.88162494395965
66,235.64240657044274,238.2603241644609
67,236.10555474558976,238.63902338496217
68,236.56870292073677,239.01772260546343
69,237.03185109588378,239.3964218259647
70,237.4949992710308,239.77512104646596
71,237.9581474461778,240.15382026696722
72,238.42129562132482,240.53251948746848
73,238.88444379647183,240.91121870796974
74,239.34759197161884,241.289917928471
75,239.81074014676585,241.66861714897226
76,240.27388832191286,242.04731636947352
77,240.73703649705988,242.42601558997478
78,241.2001846722069,242.80471481047604
79,241.6633328473539,243.1834140309773
80,242.1264810225009,243.56211325147856
81,242.58962919764792,243.94081247197983
82,243.05277737279494,244.3195116924811
83,243.51592554794195,244.69821091298235
84,243.97907372308896,245.0769101334836
85,244.44222189823597,245.45560935398487
86,244.90537007338298,245.83430857448613
87,245.36851824853,246.2130077949874
88,245.831666423677,246.59170701548865
89,246.29481459882402,246.9704062359899
90,246.75796277397103,247.34910545649117
91,247.22111094911804,247.72780467699243
92,247.68425912426505,248.1065038974937
93,248.14740729941207,248.48520311799496
94,248.61055547455908,248.86390233849622
95,249.0737036497061,249.24260155899748
96,249.536851824853,249.62130077949874
97,250.0,250.0
