Time_Period,Clock,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A1S_cum_kWh
1,08:00,0.0,0.0,4.256430114614043,Digging,Traveling,0.0,0.0,4.256430114614043,Digging,Traveling,0.0
2,08:15,4.480452752225307,1.1201131880563266,0.0,Charging,Serving CEV,0.0,0.0,4.206509881093977,Digging,Idle,-1.1201131880563266
3,08:30,0.0,1.1201131880563266,4.206509881093977,Digging,Idle,0.0,0.0,4.306450157338489,Digging,Idle,-1.1201131880563266
4,08:45,-3.262296953954317e-13,1.1201131880562452,4.306450157338489,Digging,Idle,0.0,0.0,4.326852377450038,Digging,Idle,-1.1201131880562452
5,09:00,3.400536717242328e-13,1.1201131880563302,4.326852377450038,Digging,Idle,8.0,2.0,0.0,Charging,Serving CEV,0.8798868119436698
6,09:15,0.0,1.1201131880563302,3.9136394459863433,Traveling,Idle,8.00000000000001,4.000000000000003,0.0,Charging,Serving CEV,2.8798868119436722
7,09:30,4.816159854598763,2.324153151706021,0.0,Charging,Serving CEV,0.0,4.000000000000003,3.9136394459863433,Traveling,Idle,1.6758468482939817
8,09:45,0.0,2.324153151706021,4.306290298720717,Digging,Idle,0.0,4.000000000000003,4.306290298720717,Digging,Idle,1.6758468482939817
9,10:00,8.00000000000074,4.324153151706206,0.0,Charging,Serving CEV,0.0,4.000000000000003,4.31912598436105,Digging,Idle,-0.32415315170620307
10,10:15,-0.0,4.324153151706206,4.31912598436105,Digging,Idle,-1.5010215292932116e-12,3.9999999999996274,4.376623817481726,Digging,Idle,-0.3241531517065783
11,10:30,0.0,4.324153151706206,4.376623817481726,Digging,Idle,8.0,5.999999999999627,0.0,Charging,Serving CEV,1.6758468482934212
12,10:45,8.000000000004325,6.3241531517072875,0.0,Charging,Serving CEV,7.999999999926631,7.999999999981284,0.0,Charging,Serving CEV,1.6758468482739968
13,11:00,0.0,6.3241531517072875,4.292941365286017,Digging,Idle,0.0,7.999999999981284,4.292941365286017,Digging,Traveling,1.6758468482739968
14,11:15,0.0,6.3241531517072875,3.7036155424053945,Traveling,Idle,0.0,7.999999999981284,3.7036155424053945,Traveling,Charging (grid),1.6758468482739968
15,11:30,0.0,6.3241531517072875,4.3663761171609945,Digging,Idle,0.0,7.999999999981284,4.3663761171609945,Digging,Charging (grid),1.6758468482739968
16,11:45,0.0,6.3241531517072875,4.340885683117001,Digging,Idle,0.0,7.999999999981284,4.340885683117001,Digging,Charging (grid),1.6758468482739968
17,12:00,8.0,8.324153151707288,0.0,Charging,Serving CEV,0.0,7.999999999981284,0.0,,Charging (grid),-0.32415315172600323
18,12:15,2.571737700839918,8.967087576917267,0.0,Charging,Serving CEV,0.0,7.999999999981284,0.0,,Charging (grid),-0.9670875769359828
19,12:30,0.0,8.967087576917267,0.0,,Traveling,0.0,7.999999999981284,0.0,,Charging (grid),-0.9670875769359828
20,12:45,0.0,8.967087576917267,0.0,,Charging (grid),0.0,7.999999999981284,0.0,,Charging (grid),-0.9670875769359828
21,13:00,0.0,8.967087576917267,0.0,,Charging (grid),0.0,7.999999999981284,0.0,,Charging (grid),-0.9670875769359828
22,13:15,0.0,8.967087576917267,0.0,,Charging (grid),0.0,7.999999999981284,0.0,,Charging (grid),-0.9670875769359828
23,13:30,0.0,8.967087576917267,0.0,,Charging (grid),0.0,7.999999999981284,0.0,,Charging (grid),-0.9670875769359828
24,13:45,0.0,8.967087576917267,0.0,,Charging (grid),0.0,7.999999999981284,0.0,,Charging (grid),-0.9670875769359828
25,14:00,0.0,8.967087576917267,4.141203911696517,Digging,Charging (grid),0.0,7.999999999981284,4.141203911696517,Digging,Charging (grid),-0.9670875769359828
26,14:15,0.0,8.967087576917267,2.744213452885372,Loading/Swinging,Charging (grid),0.0,7.999999999981284,2.744213452885372,Loading/Swinging,Charging (grid),-0.9670875769359828
27,14:30,0.0,8.967087576917267,3.690791118152906,Traveling,Charging (grid),0.0,7.999999999981284,3.690791118152906,Traveling,Charging (grid),-0.9670875769359828
28,14:45,0.0,8.967087576917267,2.6164500557693224,Loading/Swinging,Charging (grid),0.0,7.999999999981284,2.6164500557693224,Loading/Swinging,Traveling,-0.9670875769359828
29,15:00,0.0,8.967087576917267,0.0,Idle,Charging (grid),8.0,9.999999999981284,0.0,Charging,Serving CEV,1.0329124230640172
30,15:15,0.0,8.967087576917267,2.723497397448102,Loading/Swinging,Charging (grid),0.0,9.999999999981284,2.723497397448102,Loading/Swinging,Idle,1.0329124230640172
31,15:30,0.0,8.967087576917267,4.31906856733142,Digging,Charging (grid),0.0,9.999999999981284,2.70780882638865,Loading/Swinging,Idle,1.0329124230640172
32,15:45,0.0,8.967087576917267,2.70780882638865,Loading/Swinging,Charging (grid),0.0,9.999999999981284,4.31906856733142,Digging,Idle,1.0329124230640172
33,16:00,0.0,8.967087576917267,3.7421103612071507,Traveling,Traveling,8.0,11.999999999981284,0.0,Charging,Serving CEV,3.032912423064017
34,16:15,2.603954532460455,9.618076210032381,0.0,Charging,Serving CEV,0.0,11.999999999981284,3.7421103612071507,Traveling,Idle,2.381923789948903
35,16:30,0.0,9.618076210032381,2.6878760823838697,Loading/Swinging,Idle,0.0,11.999999999981284,2.6878760823838697,Loading/Swinging,Idle,2.381923789948903
36,16:45,0.0,9.618076210032381,2.7771065973062488,Loading/Swinging,Idle,0.0,11.999999999981284,2.7771065973062488,Loading/Swinging,Idle,2.381923789948903
37,17:00,8.0,11.618076210032381,0.0,Charging,Serving CEV,8.0,13.999999999981284,0.0,Charging,Serving CEV,2.381923789948903
38,17:15,8.0,13.618076210032381,0.0,Charging,Serving CEV,8.0,15.999999999981284,0.0,Charging,Serving CEV,2.381923789948903
39,17:30,8.0,15.618076210032381,0.0,Charging,Serving CEV,8.0,17.999999999981284,0.0,Charging,Serving CEV,2.381923789948903
40,17:45,8.0,17.61807621003238,0.0,Charging,Serving CEV,8.0,19.999999999981284,0.0,Charging,Serving CEV,2.381923789948903
41,18:00,5.281668371649574,18.938493302944774,0.0,Charging,Serving CEV,3.016702269116012,20.754175567260287,0.0,Charging,Serving CEV,1.8156822643155124
42,18:15,7.722017454123707,20.8689976664757,0.0,Charging,Serving CEV,0.0,20.754175567260287,0.0,,Traveling,-0.11482209921541298
43,18:30,0.0,20.8689976664757,0.0,,Traveling,0.0,20.754175567260287,0.0,,Idle,-0.11482209921541298
44,18:45,0.0,20.8689976664757,0.0,,Idle,0.0,20.754175567260287,0.0,,Idle,-0.11482209921541298
45,19:00,0.0,20.8689976664757,0.0,,Idle,0.0,20.754175567260287,0.0,,Idle,-0.11482209921541298
46,19:15,0.0,20.8689976664757,0.0,,Idle,0.0,20.754175567260287,0.0,,Idle,-0.11482209921541298
47,19:30,0.0,20.8689976664757,0.0,,Idle,0.0,20.754175567260287,0.0,,Idle,-0.11482209921541298
48,19:45,0.0,20.8689976664757,0.0,,Idle,0.0,20.754175567260287,0.0,,Idle,-0.11482209921541298
49,20:00,0.0,20.8689976664757,0.0,,Idle,0.0,20.754175567260287,0.0,,Idle,-0.11482209921541298
50,20:15,0.0,20.8689976664757,0.0,,Idle,0.0,20.754175567260287,0.0,,Idle,-0.11482209921541298
51,20:30,0.0,20.8689976664757,0.0,,Idle,0.0,20.754175567260287,0.0,,Idle,-0.11482209921541298
52,20:45,0.0,20.8689976664757,0.0,,Idle,0.0,20.754175567260287,0.0,,Idle,-0.11482209921541298
53,21:00,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
54,21:15,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
55,21:30,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
56,21:45,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
57,22:00,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
58,22:15,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
59,22:30,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
60,22:45,0.0,20.8689976664757,0.0,,Idle,0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
61,23:00,0.0,20.8689976664757,0.0,,Idle,0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
62,23:15,0.0,20.8689976664757,0.0,,Idle,0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
63,23:30,0.0,20.8689976664757,0.0,,Idle,0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
64,23:45,0.0,20.8689976664757,0.0,,Idle,0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
65,00:00,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
66,00:15,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
67,00:30,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
68,00:45,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
69,01:00,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
70,01:15,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
71,01:30,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
72,01:45,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.754175567260287,0.0,,Charging (grid),-0.11482209921541298
