day,step,clock,status,objective,gap_percent,solve_time_s
1,1,08:00,OPTIMAL,68.5412632026014,0.9869052069627191,14.2430419921875
1,2,08:15,OPTIMAL,63.34890935052129,0.9872130974717344,13.227265357971191
1,3,08:30,OPTIMAL,63.50080868835054,0.9369229876391287,7.83853816986084
1,4,08:45,OPTIMAL,63.7586044645414,0.9908135022846098,13.244065046310425
1,5,09:00,OPTIMAL,63.717419577887235,0.9951198832508943,16.296674728393555
1,6,09:15,OPTIMAL,63.27319728977571,0.6828078790405249,8.24854326248169
1,7,09:30,OPTIMAL,63.191421644964684,0.5917895025319851,5.613901853561401
1,8,09:45,OPTIMAL,63.22569263110342,0.7728075283885827,8.73132038116455
1,9,10:00,OPTIMAL,63.22568063109998,0.8851833664452677,1.5548346042633057
1,10,10:15,OPTIMAL,58.213312436142736,0.9663710563481701,2.18681263923645
1,11,10:30,OPTIMAL,58.04956450708439,3.533173804835777e-5,0.7494485378265381
1,12,10:45,OPTIMAL,57.91830437267194,0.1888831925048325,0.5252528190612793
1,13,11:00,OPTIMAL,57.798368508833775,0.10597556511167872,1.193512201309204
1,14,11:15,OPTIMAL,57.666524294447356,0.07913129139738179,0.7351324558258057
1,15,11:30,OPTIMAL,57.51257931257999,0.07818408863697505,1.2650363445281982
1,16,11:45,OPTIMAL,57.39553655705512,0.20824701686113747,0.9808988571166992
1,17,12:00,OPTIMAL,57.252072554995785,6.114196250739146e-5,0.6704986095428467
1,18,12:15,OPTIMAL,57.12055284312871,0.09225175390333928,0.653294563293457
1,19,12:30,OPTIMAL,56.988854237885434,0.10944334559916656,0.46413373947143555
1,20,12:45,OPTIMAL,56.85735138571456,0.015190863432187979,0.5369687080383301
1,21,13:00,OPTIMAL,56.7260416242501,0.055824953280213016,0.5690653324127197
1,22,13:15,OPTIMAL,56.5949221207699,0.02260479340063424,0.275925874710083
1,23,13:30,OPTIMAL,51.59491212076991,0.005141551258140141,0.22183513641357422
1,24,13:45,OPTIMAL,51.578384582503766,6.466990144485883e-7,0.2370767593383789
1,25,14:00,OPTIMAL,51.53233179210779,1.8043292332441565e-6,0.24750137329101562
1,26,14:15,OPTIMAL,51.55475652270862,0.0,0.1619739532470703
1,27,14:30,OPTIMAL,51.53082280705115,0.01258820452850478,0.18818974494934082
1,28,14:45,OPTIMAL,51.48640360808595,0.31416484833789615,0.12225627899169922
1,29,15:00,OPTIMAL,51.554247101644336,2.833094633399061e-5,0.09387636184692383
1,30,15:15,OPTIMAL,51.53101265485085,2.328056148298399e-5,0.1565403938293457
1,31,15:30,OPTIMAL,51.53628668169884,1.189609257353474e-5,0.1560673713684082
1,32,15:45,OPTIMAL,51.53118985458586,2.133780378656655e-5,0.13166475296020508
1,33,16:00,OPTIMAL,51.484256720070526,0.0,0.12035417556762695
1,34,16:15,OPTIMAL,51.50167699130631,5.70450979960963e-7,0.07450103759765625
1,35,16:30,OPTIMAL,51.55757565792247,0.14536287395473213,0.07253527641296387
1,36,16:45,OPTIMAL,51.57418357028887,0.0,0.12694764137268066
1,37,17:00,OPTIMAL,51.59319888184528,0.07113276148132823,0.08542704582214355
1,38,17:15,OPTIMAL,51.58990387790873,0.0,0.08490848541259766
1,39,17:30,OPTIMAL,51.542984743393525,0.0,0.0939631462097168
1,40,17:45,OPTIMAL,51.496066608878266,8.462758075069778e-7,0.06389498710632324
1,41,18:00,OPTIMAL,51.454260646624476,0.0,0.07127141952514648
1,42,18:15,OPTIMAL,51.407382197734684,0.0,0.0795280933380127
1,43,18:30,OPTIMAL,51.36053035909348,0.0,0.07498526573181152
1,44,18:45,OPTIMAL,51.36052935909356,0.0,0.053153038024902344
1,45,19:00,OPTIMAL,46.36052935909356,0.0,0.010161399841308594
1,46,19:15,OPTIMAL,46.36052935909356,0.0,0.009859800338745117
1,47,19:30,OPTIMAL,46.36052935909356,0.0,0.009650468826293945
1,48,19:45,OPTIMAL,46.36052935909356,0.0,0.009365081787109375
1,49,20:00,OPTIMAL,46.36052935909356,0.0,0.009750127792358398
1,50,20:15,OPTIMAL,46.36052935909356,0.0,0.009238004684448242
1,51,20:30,OPTIMAL,46.36052935909356,0.0,0.009173870086669922
1,52,20:45,OPTIMAL,46.36052935909356,0.0,0.008685588836669922
1,53,21:00,OPTIMAL,46.36052935909356,0.0,0.008686065673828125
1,54,21:15,OPTIMAL,46.16537860594381,0.0,0.00858306884765625
1,55,21:30,OPTIMAL,45.9702035204548,0.0,0.008242607116699219
1,56,21:45,OPTIMAL,45.774915732089006,0.0,0.008090972900390625
1,57,22:00,OPTIMAL,45.57929272622747,0.0,0.007913589477539062
1,58,22:15,OPTIMAL,45.383444427267975,0.0,0.007788896560668945
1,59,22:30,OPTIMAL,45.18710006896734,0.0,0.007470846176147461
1,60,22:45,OPTIMAL,44.99039862383087,0.0,0.007225990295410156
1,61,23:00,OPTIMAL,44.79353186927131,0.0,0.007044792175292969
1,62,23:15,OPTIMAL,44.67127348498784,0.0,0.007094144821166992
1,63,23:30,OPTIMAL,44.47442002462548,0.0,0.007039070129394531
1,64,23:45,OPTIMAL,44.27744032262787,0.0,0.006872653961181641
1,65,00:00,OPTIMAL,44.27744032262787,0.0,0.006511211395263672
1,66,00:15,OPTIMAL,44.141772757075316,0.0,0.006628513336181641
1,67,00:30,OPTIMAL,44.0070325883975,0.0,0.006554603576660156
1,68,00:45,OPTIMAL,43.87224109588788,0.0,0.006482601165771484
1,69,01:00,OPTIMAL,43.73744875797064,0.0,0.006210803985595703
1,70,01:15,OPTIMAL,43.60271058440574,0.0,0.006063699722290039
1,71,01:30,OPTIMAL,43.46787985745449,0.0,0.005986213684082031
1,72,01:45,OPTIMAL,43.33297020425384,0.0,0.005673646926879883
1,73,02:00,OPTIMAL,43.19805156950156,0.0,0.00555109977722168
1,74,02:15,OPTIMAL,43.063164276308484,0.0,0.005385160446166992
1,75,02:30,OPTIMAL,42.92826512671196,0.0,0.005276203155517578
1,76,02:45,OPTIMAL,42.79329360411765,0.0,0.005129814147949219
1,77,03:00,OPTIMAL,42.65834787853281,0.0,0.0051708221435546875
1,78,03:15,OPTIMAL,42.52337212588419,0.0,0.005044460296630859
1,79,03:30,OPTIMAL,42.38829589324856,0.0,0.004927158355712891
1,80,03:45,OPTIMAL,42.25315487482662,0.0,0.004713535308837891
1,81,04:00,OPTIMAL,42.11798328999659,0.0,0.0046350955963134766
1,82,04:15,OPTIMAL,41.982848341147644,0.0,0.005407094955444336
1,83,04:30,OPTIMAL,41.84796723570072,0.0,0.005303144454956055
1,84,04:45,OPTIMAL,41.71309543209169,0.0,0.005251884460449219
1,85,05:00,OPTIMAL,41.57823442691886,0.0,0.004895210266113281
1,86,05:15,OPTIMAL,41.443311854859935,0.0,0.004868745803833008
1,87,05:30,OPTIMAL,41.308491874014216,0.0,0.004635810852050781
1,88,05:45,OPTIMAL,41.173597068549924,0.0,0.004443168640136719
1,89,06:00,OPTIMAL,41.03864559617962,0.0,0.004252195358276367
1,90,06:15,OPTIMAL,40.841877429389974,0.0,0.004266500473022461
1,91,06:30,OPTIMAL,40.64531625865054,0.0,0.004114866256713867
1,92,06:45,OPTIMAL,40.4488575808625,0.0,0.004153013229370117
1,93,07:00,OPTIMAL,40.252564516010516,0.0,0.004683494567871094
1,94,07:15,OPTIMAL,40.05648670539971,0.0,0.004438638687133789
1,95,07:30,OPTIMAL,39.86099045901165,0.0,0.005623817443847656
1,96,07:45,OPTIMAL,39.66586501151727,0.0,0.00014519691467285156
