Time_Period,Clock,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A1S_cum_kWh
1,08:00,0.0,0.0,5.328569885385958,Digging,Traveling,0.0,0.0,5.328569885385958,Digging,Traveling,0.0
2,08:15,4.7432314583010164,1.1858078645752541,0.0,Charging,Serving CEV,0.0,0.0,5.378490118906024,Digging,Idle,-1.1858078645752541
3,08:30,0.0,1.1858078645752541,5.378490118906024,Digging,Idle,0.0,0.0,5.278549842661512,Digging,Idle,-1.1858078645752541
4,08:45,0.0,1.1858078645752541,5.278549842661512,Digging,Idle,0.0,0.0,5.258147622549963,Digging,Idle,-1.1858078645752541
5,09:00,8.000000000008018,3.1858078645772587,0.0,Charging,Serving CEV,7.999999999999999,1.9999999999999998,0.0,Charging,Serving CEV,-1.185807864577259
6,09:15,0.0,3.1858078645772587,3.6884694210733544,Loading/Swinging,Idle,8.0,4.0,0.0,Charging,Serving CEV,0.8141921354227413
7,09:30,1.1794483848997576e-12,3.1858078645775536,5.625765818821791,Traveling,Idle,5.519744704740481,5.3799361761851205,0.0,Charging,Serving CEV,2.194128311607567
8,09:45,8.0,5.185807864577553,0.0,Charging,Serving CEV,0.0,5.3799361761851205,5.625765818821791,Traveling,Traveling,0.19412831160756738
9,10:00,0.0,5.185807864577553,5.258147622549963,Digging,Traveling,0.0,5.3799361761851205,5.278709701279284,Digging,Charging (grid),0.19412831160756738
10,10:15,0.0,5.185807864577553,5.278709701279284,Digging,Charging (grid),0.0,5.3799361761851205,5.265874015638951,Digging,Charging (grid),0.19412831160756738
11,10:30,0.0,5.185807864577553,5.265874015638951,Digging,Charging (grid),0.0,5.3799361761851205,5.208376182518275,Digging,Charging (grid),0.19412831160756738
12,10:45,0.0,5.185807864577553,5.208376182518275,Digging,Charging (grid),0.0,5.3799361761851205,0.0,Idle,Charging (grid),0.19412831160756738
13,11:00,0.0,5.185807864577553,0.0,Idle,Charging (grid),0.0,5.3799361761851205,5.2920586347139835,Digging,Charging (grid),0.19412831160756738
14,11:15,0.0,5.185807864577553,5.684243966195298,Traveling,Charging (grid),0.0,5.3799361761851205,5.684243966195298,Traveling,Charging (grid),0.19412831160756738
15,11:30,0.0,5.185807864577553,5.2920586347139835,Digging,Charging (grid),0.0,5.3799361761851205,5.218623882839006,Digging,Charging (grid),0.19412831160756738
16,11:45,0.0,5.185807864577553,5.218623882839006,Digging,Charging (grid),0.0,5.3799361761851205,5.244114316883,Digging,Charging (grid),0.19412831160756738
17,12:00,0.0,5.185807864577553,0.0,,Charging (grid),0.0,5.3799361761851205,0.0,,Charging (grid),0.19412831160756738
18,12:15,0.0,5.185807864577553,0.0,,Charging (grid),0.0,5.3799361761851205,0.0,,Charging (grid),0.19412831160756738
19,12:30,0.0,5.185807864577553,0.0,,Charging (grid),0.0,5.3799361761851205,0.0,,Charging (grid),0.19412831160756738
20,12:45,0.0,5.185807864577553,0.0,,Charging (grid),0.0,5.3799361761851205,0.0,,Charging (grid),0.19412831160756738
21,13:00,0.0,5.185807864577553,0.0,,Traveling,0.0,5.3799361761851205,0.0,,Traveling,0.19412831160756738
22,13:15,5.635102772919123,6.594583557807334,0.0,Charging,Serving CEV,8.0,7.3799361761851205,0.0,Charging,Serving CEV,0.7853526183777868
23,13:30,7.703415643530582,8.520437468689979,0.0,Charging,Serving CEV,8.0,9.37993617618512,0.0,Charging,Serving CEV,0.8594987074951419
24,13:45,7.594557071393126,10.41907673653826,0.0,Charging,Serving CEV,8.0,11.37993617618512,0.0,Charging,Serving CEV,0.9608594396468604
25,14:00,0.0,10.41907673653826,5.244114316883,Digging,Idle,0.0,11.37993617618512,5.4437960883034835,Digging,Idle,0.9608594396468604
26,14:15,0.0,10.41907673653826,5.4437960883034835,Digging,Idle,0.0,11.37993617618512,3.6884694210733544,Loading/Swinging,Idle,0.9608594396468604
27,14:30,6.908613212228227,12.146230039595316,0.0,Charging,Serving CEV,0.0,11.37993617618512,5.691956608521258,Traveling,Idle,-0.7662938634101959
28,14:45,0.0,12.146230039595316,5.691956608521258,Traveling,Idle,0.0,11.37993617618512,5.265931432668581,Digging,Idle,-0.7662938634101959
29,15:00,0.0,12.146230039595316,3.6254141027008595,Loading/Swinging,Idle,8.0,13.37993617618512,0.0,Charging,Serving CEV,1.233706136589804
30,15:15,5.969200053274425,13.638530052913923,0.0,Charging,Serving CEV,0.0,13.37993617618512,3.6254141027008595,Loading/Swinging,Idle,-0.25859387672880274
31,15:30,0.0,13.638530052913923,3.594048752299888,Loading/Swinging,Idle,0.0,13.37993617618512,3.594048752299888,Loading/Swinging,Idle,-0.25859387672880274
32,15:45,0.14419868382754425,13.67457972387081,0.0,Charging,Serving CEV,6.456076724627889,14.993955357342093,0.0,Charging,Serving CEV,1.3193756334712834
33,16:00,0.0,13.67457972387081,3.6424966421309874,Loading/Swinging,Idle,0.0,14.993955357342093,3.6424966421309874,Loading/Swinging,Idle,1.3193756334712834
34,16:15,0.0,13.67457972387081,3.545385959874134,Loading/Swinging,Idle,0.0,14.993955357342093,5.583605517104224,Traveling,Idle,1.3193756334712834
35,16:30,0.0,13.67457972387081,5.583605517104224,Traveling,Idle,0.0,14.993955357342093,3.545385959874134,Loading/Swinging,Idle,1.3193756334712834
