Metric,A1S,A2S
Total_Cost_USD,133.62,152.7
Total_Energy_Cost_USD,37.5,36.8
Total_CO2_Cost_USD,1.6,1.53
NC_demand_charge_USD,44.51,44.37
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0
Travel_Labour_USD,50.0,70.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,118.09,117.6
Total_CO2_Emissions_kg,32.05,30.51
NCD_Peak_kW,2.21,2.21
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.0,0.0
MCS_Transit_hour,2.5,3.5
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,327.48,32743.62
