Time_Period,CEV_1_A1S_kWh,CEV_1_A2S_kWh
1,14.8,14.8
2,13.539540057307022,13.539540057307022
3,14.684629470667419,12.25411999785401
4,13.399209411214455,11.01867007648103
5,12.163759489883699,13.01867007648103
6,14.109091605794495,11.793421265206048
7,12.883842794519513,13.793421265206048
8,14.472429326604237,12.686729174616943
9,13.365737236015132,14.686729174616943
10,12.205017086654774,13.526009025256585
11,11.037879094474249,12.655024314719908
12,9.841992185733385,11.487886322539383
13,11.841992185733385,13.487886322539383
14,10.599787868376394,12.291999413798521
15,9.322190885278745,11.014402430700873
16,8.451206174742069,9.772198113343881
17,7.611749123391639,8.581435054763384
18,9.61174912339164,8.581435054763384
19,11.61174912339164,8.581435054763384
20,11.61174912339164,8.581435054763384
21,11.61174912339164,8.581435054763384
22,11.61174912339164,8.581435054763384
23,11.61174912339164,8.581435054763384
24,11.61174912339164,8.581435054763384
25,11.61174912339164,10.305807861084524
26,10.787974747241696,9.127790019526024
27,10.05667306830719,8.049613063677766
28,8.775219764046561,6.768159759417138
29,7.584456705466064,5.601050475751428
30,7.584456705466064,7.601050475751428
31,6.804599685403131,6.761593424400998
32,6.021268014152609,5.937819048251054
33,4.843250172594109,7.937819048251054
34,3.715477931146221,7.206517369316548
35,5.715477931146221,6.078745127868659
36,4.637300975297963,5.298888107805727
37,3.470191691632253,4.5155564365552046
38,5.4701916916322535,6.5155564365552046
39,7.4701916916322535,8.515556436555205
40,9.185779384650935,10.515556436555205
41,11.09548529554469,12.515556436555205
42,13.09548529554469,14.515556436555205
43,14.8,14.8
44,14.8,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
98,13.670483748831044,13.670483748831044
99,12.525056803887054,12.525056803887054
100,11.266362665373975,11.266362665373983
101,10.500991325621793,10.041893310540003
102,12.500991325621793,12.041893310540003
103,11.276521970385899,14.041893310540003
104,12.210656738400859,12.89073981116435
105,14.210656738400857,11.714762394823655
106,13.059503239025204,10.523404892030563
107,11.88352582268451,12.523404892030563
108,10.6744671361667,11.314346205512752
109,12.674467136166683,10.117623136462864
110,11.48310963337359,12.117623136462864
111,10.286386564323703,10.97126380111009
112,9.14002722897093,9.824751328541524
113,7.993514756402362,8.601482680166642
114,9.993514756402362,10.601482680166642
115,11.471578170715667,11.881321127739763
116,11.471578170715667,13.881321127739763
117,11.471578170715667,14.8
118,11.471578170715667,14.8
119,11.471578170715667,14.8
120,11.471578170715667,14.8
121,11.471578170715667,14.8
122,10.200333878374963,13.528755707659297
123,8.97706523000008,12.271471472331717
124,7.719780994672501,14.27147147232965
125,6.439663903193762,12.991354380850911
126,6.439663903193762,12.22598304109873
127,5.626891953933396,11.413211091838363
128,4.214181615252931,10.000500753157898
129,4.214181615252931,12.000500753157898
130,3.5234910900365364,11.309810227941503
131,5.055921521577025,10.467530974139514
132,4.213642267775035,9.722569103192376
133,3.4686803968278968,8.93329661708132
134,5.396385242272219,10.93329661708132
135,7.29492709251199,12.93329661708132
136,9.29492709251199,14.8
137,11.29492709251199,14.8
138,13.29492709251199,14.8
139,14.8,14.8
