Time_Period,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,248.75178119518395,250.0
4,248.75178119518395,250.0
5,248.75178119518395,250.0
6,246.6465180372871,247.89473684210526
7,246.6465180372871,245.78947368421052
8,246.6465180372871,244.3369092882262
9,244.54125487939237,244.3369092882262
10,244.54125487939237,244.77685409754346
11,245.03294939119996,245.23035800503007
12,245.52703257450918,245.57506454491013
13,246.0236569677766,246.03470132719943
14,246.5231854667282,246.49623645513645
15,247.0028290062904,246.9624697025306
16,247.47067516900444,247.44088510714678
17,247.97915834335333,247.92166673900192
18,248.49078656073118,248.4193307291175
19,248.9767435652443,248.91699471923306
20,249.48837178262215,249.41465870934863
21,250.0,249.9123226994642
22,250.0,249.9123226994642
23,248.54099001432175,247.80705954156946
24,246.51251685567323,245.70179638367472
25,244.5140154429705,243.59653322577998
26,244.5140154429705,243.59653322577998
27,244.5140154429705,243.59653322577998
28,242.40875228507576,243.59653322577998
29,242.40875228507576,243.59653322577998
30,242.40875228507576,241.49127006788524
31,242.40875228507576,241.49127006788524
32,241.07614131850545,241.49127006788524
33,239.0410155799039,239.81720712989727
34,239.0410155799039,239.81720712989727
35,239.0410155799039,239.81720712989727
36,239.0410155799039,239.81720712989727
37,239.0410155799039,237.71194397200253
38,238.46350057794493,235.6066808141078
39,236.38863294646907,233.50141765621305
40,234.3925733481257,231.3961544983183
41,232.28731019023095,229.29089134042357
42,230.18204703233621,228.0186357149767
43,228.40344629097478,228.0186357149767
44,228.40344629097478,228.0186357149767
45,228.40344629097478,228.0186357149767
46,228.40344629097478,228.0186357149767
47,228.40344629097478,228.0186357149767
48,228.40344629097478,228.0186357149767
49,228.40344629097478,228.0186357149767
50,228.40344629097478,228.0186357149767
51,228.40344629097478,228.0186357149767
52,228.40344629097478,228.0186357149767
53,228.40344629097478,228.0186357149767
54,228.91507450835263,228.51821217599996
55,229.42670272573048,229.01778863702322
56,229.93833094310833,229.51736509804647
57,230.44995916048617,230.01694155906972
58,230.96158737786402,230.51651802009297
59,231.47321559524187,231.01609448111623
60,231.98484381261972,231.51567094213948
61,232.49647202999756,232.01524740316273
62,232.6046406091529,232.51482386418598
63,233.11626882653076,233.01440032520924
64,233.6278970439086,233.5139767862325
65,233.6278970439086,234.0135532472558
66,234.13952526128645,234.5131297082791
67,234.6511534786643,235.01270616930242
68,235.16278169604215,235.51228263032573
69,235.67440991342,236.01185909134904
70,236.18603813079784,236.51143555237235
71,236.6976663481757,237.01101201339566
72,237.20929456555353,237.51058847441897
73,237.72092278293138,238.01016493544228
74,238.23255100030923,238.50974139646559
75,238.74417921768708,239.0093178574889
76,239.25580743506492,239.5088943185122
77,239.76743565244277,240.00847077953551
78,240.27906386982062,240.50804724055882
79,240.79069208719847,241.00762370158213
80,241.3023203045763,241.50720016260544
81,241.81394852195416,242.00677662362875
82,242.325576739332,242.50635308465206
83,242.83720495670985,243.00592954567537
84,243.3488331740877,243.50550600669868
85,243.86046139146555,244.005082467722
86,244.3720896088434,244.5046589287453
87,244.88371782622124,245.0042353897686
88,245.3953460435991,245.50381185079192
89,245.90697426097694,246.00338831181523
90,246.41860247835498,246.50296477283683
91,246.93023069573172,247.00254123386014
92,247.44185891310977,247.50211769488342
93,247.95348713048782,248.00169415590673
94,248.46511534786586,248.50127061693004
95,248.9767435652439,249.00084707795338
96,249.48837178262195,249.50042353897666
97,250.0,250.0
