Time_Period,MCS_1_A0_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,248.67243767313022,250.0
4,248.6724376731308,250.0
5,248.6724376731308,247.89473684210526
6,246.56717451523605,247.89473684210526
7,246.56717451523605,246.3105068254168
8,246.56717451523605,246.3105068254168
9,244.4619113573413,246.3105068254168
10,244.4619113573413,246.3105068254168
11,244.78466066481974,244.20524366752207
12,245.2587824225634,244.20524366752207
13,245.73290418030706,244.68920421014266
14,246.20702593805072,245.17316475276326
15,246.68114769579438,245.66248305250048
16,247.15526945353804,246.15263527608516
17,247.6293912112817,246.6501308973758
18,248.10351296902536,247.1531293064164
19,248.57763472676902,247.65747429898573
20,249.05175648451268,248.16181929155508
21,249.52587824225634,248.66616428412442
22,250.0,248.66616428412442
23,250.0,246.56090112622968
24,247.89473684210526,244.45563796833494
25,245.78947368421052,242.3503748104402
26,245.78947368421052,242.3503748104402
27,245.78947368421052,242.3503748104402
28,245.78947368421052,242.3503748104402
29,243.68421052631578,242.3503748104402
30,243.68421052631578,240.24511165254546
31,243.68421052631578,240.24511165254546
32,243.68421052631578,240.24511165254546
33,243.68421052631578,240.24511165254546
34,241.57894736842104,238.36110277891515
35,241.57894736842104,238.36110277891515
36,241.57894736842104,238.36110277891515
37,241.57894736842104,238.36110277891515
38,239.4736842105263,236.2558396210204
39,237.36842105263156,234.15057646312567
40,235.26315789473682,232.04531330523093
41,235.26315789473682,229.9400501473362
42,233.15789473684208,227.83478698944145
43,231.05263157894734,226.0397921680499
44,231.05263157894734,226.0397921680499
45,229.13864265927918,226.0397921680499
46,229.13864265927918,226.0397921680499
47,229.13864265927918,226.0397921680499
48,229.13864265927918,226.0397921680499
49,229.13864265927918,226.0397921680499
50,229.13864265927918,226.0397921680499
51,229.13864265927918,226.0397921680499
52,229.13864265927918,226.0397921680499
53,229.13864265927918,226.0397921680499
54,229.61276441702285,226.58434234604877
55,230.0868861747665,227.12889252404764
56,230.56100793251017,227.67344270204651
57,231.03512969025383,228.2179928800454
58,231.50925144799749,228.76254305804426
59,231.98337320574115,229.30709323604313
60,232.4574949634848,229.851643414042
61,232.93161672122847,230.39619359204087
62,233.40573847897213,230.94074377003975
63,233.87986023671579,231.48529394803862
64,234.35398199445945,232.0298441260375
65,234.8281037522031,232.5743943040363
66,235.30222550994677,233.11894448203518
67,235.77634726769043,233.66349466003405
68,236.25046902543409,234.20804483803292
69,236.72459078317775,234.7525950160318
70,237.1987125409214,235.29714519403066
71,237.67283429866507,235.84169537202953
72,238.14695605640873,236.3862455500284
73,238.6210778141524,236.93079572802728
74,239.09519957189605,237.47534590602615
75,239.5693213296397,238.01989608402502
76,240.04344308738337,238.5644462620239
77,240.51756484512703,239.10899644002276
78,240.9916866028707,239.65354661802164
79,241.46580836061435,240.1980967960205
80,241.939930118358,240.74264697401938
81,242.41405187610167,241.28719715201825
82,242.88817363384533,241.83174733001712
83,243.362295391589,242.376297508016
84,243.83641714933265,242.92084768601487
85,244.3105389070763,243.46539786401374
86,244.78466066481997,244.0099480420126
87,245.25878242256363,244.55449822001148
88,245.7329041803073,245.09904839801035
89,246.20702593805095,245.64359857600923
90,246.6811476957946,246.18814875400793
91,247.15526945353827,246.7326989320068
92,247.62939121128193,247.2772491100056
93,248.1035129690256,247.82179928800448
94,248.57763472676925,248.36634946600336
95,249.0517564845129,248.91089964400223
96,249.52587824225634,249.45544982200113
97,250.0,250.0
