Time_Period,CEV_1_A0_kWh,CEV_1_A2S_kWh
1,14.8,14.8
2,13.70824543769611,13.70824543769611
3,14.8,12.637656020593942
4,13.729410582897302,11.561898622237647
5,12.653653184541007,10.893702640606877
6,14.653653184541007,12.810828186489754
7,13.592801632208923,11.862338615452185
8,12.644312061171355,10.801487063120101
9,14.644312061171355,11.415401138312848
10,13.606019748687816,10.377108825829309
11,12.537691525233447,12.2552376296319
12,11.46390679821242,11.18690940617753
13,11.46390679821242,12.81600790897864
14,10.370331476983388,11.742223181957613
15,9.434120853352693,10.806012558326918
16,8.345442517763155,9.712437237097888
17,7.266451613807503,8.62375890150835
18,7.266451613807503,8.62375890150835
19,7.266451613807503,8.62375890150835
20,7.266451613807503,8.62375890150835
21,7.266451613807503,8.62375890150835
22,7.266451613807503,8.62375890150835
23,7.266451613807503,8.62375890150835
24,9.266451613807503,8.62375890150835
25,11.266451613807503,10.219430834959764
26,10.181179790413042,9.140439931004112
27,9.140028958451303,8.055168107609651
28,8.190714150867276,7.105853300025623
29,10.190714150867276,6.418649222061985
30,9.522518169236506,8.418649222061985
31,8.835314091272869,7.724467144006551
32,8.141132013217435,7.06713431943851
33,7.483799188649393,6.025983487476772
34,9.483799188649392,8.025983487476772
35,8.514883382390796,7.057067681218175
36,7.827512136211937,6.369696435039317
37,7.155564334412081,5.697748633239461
38,9.15556433441208,7.697748633239461
39,11.15556433441208,9.69774863323946
40,13.15556433441208,11.69774863323946
41,13.15556433441208,13.69774863323946
42,14.8,14.8
43,14.8,14.8
44,14.8,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
