Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.7784182492155605,Digging,Traveling,0.0,0.0,4.7784182492155605,Digging,Idle,0.0
2,08:15,5.04473684210517,1.2611842105262925,0.0,Charging,Serving CEV,0.0,0.0,4.89124233159133,Digging,Traveling,-1.2611842105262925
3,08:30,-2.1227464230832993e-12,1.2611842105257618,4.89124233159133,Digging,Idle,1.8187010776768773,0.4546752694192193,0.0,Charging,Serving CEV,-0.8065089411065425
4,08:45,0.0,1.2611842105257618,4.7144295934251765,Digging,Idle,0.0,0.4546752694192193,4.7144295934251765,Digging,Idle,-0.8065089411065425
5,09:00,7.999999999999997,3.2611842105257614,0.0,Charging,Serving CEV,0.0,0.4546752694192193,3.0399839265230844,Loading/Swinging,Idle,-2.806508941106542
6,09:15,0.0,3.2611842105257614,4.654806209328332,Digging,Idle,0.0,0.4546752694192193,4.852241715849725,Traveling,Idle,-2.806508941106542
7,09:30,0.0,3.2611842105257614,4.852241715849725,Traveling,Idle,7.689649230983065,2.3770875771649855,0.0,Charging,Serving CEV,-0.8840966333607758
8,09:45,8.0,5.261184210525761,0.0,Charging,Serving CEV,0.0,2.3770875771649855,3.20118368814545,Loading/Swinging,Traveling,-2.884096633360776
9,10:00,0.0,5.261184210525761,4.564569249934158,Digging,Traveling,0.0,2.3770875771649855,4.654806209328332,Digging,Charging (grid),-2.884096633360776
10,10:15,0.0,5.261184210525761,4.900287106182524,Digging,Charging (grid),0.0,2.3770875771649855,3.1732716877782643,Loading/Swinging,Charging (grid),-2.884096633360776
11,10:30,0.0,5.261184210525761,4.878461091915892,Digging,Charging (grid),0.0,2.3770875771649855,4.564569249934158,Digging,Charging (grid),-2.884096633360776
12,10:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,2.3770875771649855,0.0,Idle,Idle,-2.884096633360776
13,11:00,0.0,5.261184210525761,4.785701284916126,Digging,Charging (grid),0.0,2.3770875771649855,4.518842494522781,Traveling,Charging (grid),-2.884096633360776
14,11:15,0.0,5.261184210525761,4.518842494522781,Traveling,Charging (grid),0.0,2.3770875771649855,4.900287106182524,Digging,Charging (grid),-2.884096633360776
15,11:30,0.0,5.261184210525761,4.818886657641851,Digging,Charging (grid),0.0,2.3770875771649855,4.878461091915892,Digging,Charging (grid),-2.884096633360776
16,11:45,0.0,5.261184210525761,4.7273636158226084,Digging,Charging (grid),0.0,2.3770875771649855,3.3206687017278322,Loading/Swinging,Traveling,-2.884096633360776
17,12:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.40005867103175063,2.477102244922923,0.0,Charging,Serving CEV,-2.784081965602838
18,12:15,0.0,5.261184210525761,0.0,Idle,Charging (grid),8.0,4.477102244922923,0.0,Charging,Serving CEV,-0.7840819656028382
19,12:30,0.0,5.261184210525761,0.0,Idle,Charging (grid),8.0,6.477102244922923,0.0,Charging,Serving CEV,1.2159180343971618
20,12:45,0.0,5.261184210525761,0.0,Idle,Charging (grid),0.0,6.477102244922923,0.0,Idle,Idle,1.2159180343971618
21,13:00,0.0,5.261184210525761,0.0,Idle,Charging (grid),2.3980305771065717,7.076609889199566,0.0,Charging,Serving CEV,1.8154256786738046
22,13:15,0.0,5.261184210525761,0.0,Idle,Traveling,8.0,9.076609889199567,0.0,Charging,Serving CEV,3.8154256786738054
23,13:30,8.0,7.261184210525761,0.0,Charging,Serving CEV,8.0,11.076609889199567,0.0,Charging,Serving CEV,3.8154256786738054
24,13:45,8.0,9.261184210525762,0.0,Charging,Serving CEV,0.0,11.076609889199567,0.0,Idle,Idle,1.8154256786738046
25,14:00,0.0,9.261184210525762,4.832512706422161,Digging,Idle,0.0,11.076609889199567,4.785701284916126,Digging,Idle,1.8154256786738046
26,14:15,0.0,9.261184210525762,5.0089966721530494,Digging,Idle,0.0,11.076609889199567,4.5712592303361115,Traveling,Idle,1.8154256786738046
27,14:30,0.0,9.261184210525762,4.5712592303361115,Traveling,Idle,0.0,11.076609889199567,4.818886657641851,Digging,Idle,1.8154256786738046
