day,resolve_step,resolve_clock,offset_step,offset_clock,steps_ahead,cev,scenario_id,activity_planned,planned_power_kW,planned_charging,soe_cev_planned_kWh,soe_mcs_planned_kWh,changed_from_prior_resolve
1,1,08:00,1,08:00,0,1,1,Digging,4.4313713049676124,false,13.692157173758098,250.0,
1,1,08:00,1,08:00,0,1,2,Digging,4.641664059058393,false,13.639583985235403,250.0,
1,1,08:00,1,08:00,0,1,3,Digging,4.8310843906017515,false,13.592228902349563,250.0,
1,1,08:00,1,08:00,0,1,4,Digging,5.135016893683636,false,13.516245776579092,250.0,
1,1,08:00,1,08:00,0,1,5,Digging,4.842684573303308,false,13.589328856674173,250.0,
1,1,08:00,2,08:15,1,1,1,Digging,4.4313713049676124,false,12.584314347516187,250.0,
1,1,08:00,2,08:15,1,1,2,Digging,4.641664059058393,false,12.479167970470797,250.0,
1,1,08:00,2,08:15,1,1,3,Digging,4.8310843906017515,false,12.38445780469911,250.0,
1,1,08:00,2,08:15,1,1,4,Digging,5.135016893683636,false,12.232491553158155,250.0,
1,1,08:00,2,08:15,1,1,5,Idle,0.0,false,13.589328856674143,250.0,
1,1,08:00,3,08:30,2,1,1,Digging,4.4313713049676124,false,11.476471521274284,250.00000000000003,
1,1,08:00,3,08:30,2,1,2,Digging,4.641664059058393,false,11.3187519557062,250.00000000000003,
1,1,08:00,3,08:30,2,1,3,Charging,0.0,true,14.28445780469911,247.8947368421053,
1,1,08:00,3,08:30,2,1,4,Digging,5.135016893683636,false,10.948737329737247,250.00000000000003,
1,1,08:00,3,08:30,2,1,5,Digging,4.842684573303308,false,12.378657713348316,250.0,
1,1,08:00,4,08:45,3,1,1,Digging,4.431371304967865,false,10.368628695032317,250.0,
1,1,08:00,4,08:45,3,1,2,Digging,4.641664059058392,false,10.158335940941601,250.0,
1,1,08:00,4,08:45,3,1,3,Digging,4.8310843906017515,false,13.076686707048673,247.8947368421053,
1,1,08:00,4,08:45,3,1,4,Digging,5.135016893683636,false,9.664983106316338,250.00000000000003,
1,1,08:00,4,08:45,3,1,5,Digging,4.842684573303309,false,11.167986570022489,250.0,
1,1,08:00,5,09:00,4,1,1,Charging,0.0,true,12.268628695032318,247.89473684210526,
1,1,08:00,5,09:00,4,1,2,Charging,0.0,true,12.058335940941602,247.89473684210526,
1,1,08:00,5,09:00,4,1,3,Digging,4.8310843906019,false,11.868915609398197,248.3590007498827,
1,1,08:00,5,09:00,4,1,4,Idle,2.315474045427595e-8,false,9.664983100527653,250.0,
1,1,08:00,5,09:00,4,1,5,Digging,4.842684573303308,false,9.957315426696661,250.0,
1,1,08:00,6,09:15,5,1,1,Traveling,4.243751818771461,false,11.207690740339451,247.89473684210526,
1,1,08:00,6,09:15,5,1,2,Charging,2.6645352591003757e-15,true,13.9583359409416,245.78947368421052,
1,1,08:00,6,09:15,5,1,3,Traveling,4.623425256627666,false,10.71305929524128,248.8232646576601,
1,1,08:00,6,09:15,5,1,4,Traveling,5.131577253224518,false,8.382088787221523,250.0,
1,1,08:00,6,09:15,5,1,5,Charging,0.0,true,11.857315426696662,247.89473684210526,
1,1,08:00,7,09:30,6,1,1,Digging,4.4313713049676124,false,10.099847914097548,247.89473684210526,
1,1,08:00,7,09:30,6,1,2,Idle,0.0,false,13.9583359409416,245.78947368421052,
1,1,08:00,7,09:30,6,1,3,Digging,4.831084390602307,false,9.505288197590703,249.2875285654375,
1,1,08:00,7,09:30,6,1,4,Digging,5.135016893683636,false,7.098334563800615,250.0,
1,1,08:00,7,09:30,6,1,5,Charging,0.0,true,13.757315426696662,245.78947368421052,
1,1,08:00,8,09:45,7,1,1,Digging,4.4313713049676124,false,8.992005087855645,247.89473684210526,
1,1,08:00,8,09:45,7,1,2,Traveling,4.591486500528445,false,12.810464315809488,246.23909212084462,
1,1,08:00,8,09:45,7,1,3,Idle,0.0,false,9.505288197590703,249.7517924732149,
1,1,08:00,8,09:45,7,1,4,Charging,0.0,true,8.998334563800615,247.89473684210526,
1,1,08:00,8,09:45,7,1,5,Traveling,5.094011139090458,false,12.483812641924047,245.78947368421052,
1,1,08:00,9,10:00,8,1,1,Digging,4.431371304967614,false,7.884162261613742,247.89473684210526,
