day,step,clock,cev,p_dig_kW,p_load_kW,p_trav_kW,p_idle_kW,activity_executed,soe_cev_kWh,soe_mcs_kWh,infeasible_flag
1,1,08:00,1,4.8905,0.0,0.0,0.0,Digging,13.577375,250.0,false
1,2,08:15,1,4.9634,0.0,0.0,0.0,Digging,12.336525,250.0,false
1,3,08:30,1,4.2026,0.0,0.0,0.0,Digging,11.285875,250.0,false
1,4,08:45,1,5.4411,0.0,0.0,0.0,Digging,9.925600000000001,250.0,false
1,5,09:00,1,0.0,0.0,0.0,0.0,Charging,11.925600000000001,247.89473684210526,false
1,6,09:15,1,0.0,0.0,4.486,0.0,Traveling,10.804100000000002,247.89473684210526,false
1,7,09:30,1,0.0,0.0,0.0,0.0,Charging,12.804099999998504,245.7894736842121,false
1,8,09:45,1,0.0,0.0,0.0,0.1325,Charging,14.770974999998504,243.68421052631737,false
1,9,10:00,1,4.7425,0.0,0.0,0.0,Digging,13.585349999998504,243.68421052631737,false
1,10,10:15,1,0.0,2.8,0.0,0.0,Loading/Swinging,12.885349999998505,243.68421052631737,false
1,11,10:30,1,4.7809,0.0,0.0,0.0,Digging,11.690124999998504,243.68421052631737,false
1,12,10:45,1,0.0,0.0,0.0,0.0,Charging,13.690124999998504,241.57894736842263,false
1,13,11:00,1,4.9351,0.0,0.0,0.0,Digging,12.456349999998505,241.57894736842263,false
1,14,11:15,1,0.0,0.0,4.5721,0.0,Traveling,11.313324999998505,241.57894736842263,false
1,15,11:30,1,4.4919,0.0,0.0,0.0,Digging,10.190349999998505,241.57894736842263,false
1,16,11:45,1,4.2582,0.0,0.0,0.0,Digging,9.125799999998504,242.02138176107132,false
1,17,12:00,1,0.0,0.0,0.0,0.0,,9.125799999998504,242.46648666018714,false
1,18,12:15,1,0.0,0.0,0.0,0.0,,9.125799999998504,242.91519657540582,false
1,19,12:30,1,0.0,0.0,0.0,0.0,,9.125799999998504,243.3639064906245,false
