Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A1S_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.7809,Digging,Traveling,0.0,0.0,5.2098,Digging,Traveling,0.0
2,08:15,0.0,0.0,4.8905,Digging,Idle,0.0,0.0,4.2026,Digging,Idle,0.0
3,08:30,8.0,2.0,0.0,Charging,Serving CEV,-2.287753314966236e-12,-5.71938328741559e-13,4.2026,Digging,Idle,-2.000000000000572
4,08:45,0.0,2.0,4.2582,Digging,Idle,1.2652101588628284e-11,2.5910870684155122e-12,5.1226,Digging,Idle,-1.999999999997409
5,09:00,0.0,2.0,4.4919,Digging,Idle,8.0,2.0000000000025913,0.0,Charging,Serving CEV,2.5912605394751154e-12
6,09:15,0.0,2.0,4.486,Traveling,Idle,3.4416842105152794,2.860421052631411,0.0,Charging,Serving CEV,0.8604210526314109
7,09:30,8.0,4.0,1.3131,Charging,Serving CEV,0.0,2.860421052631411,5.3364,Traveling,Idle,-1.1395789473685891
8,09:45,7.999999999999972,5.999999999999993,0.4689,Charging,Serving CEV,8.0,4.860421052631411,0.5059,Charging,Serving CEV,-1.139578947368582
9,10:00,0.0,5.999999999999993,4.9351,Digging,Idle,0.0,4.860421052631411,4.8544,Digging,Idle,-1.139578947368582
10,10:15,0.0,5.999999999999993,4.2026,Digging,Idle,0.0,4.860421052631411,2.6102,Loading/Swinging,Idle,-1.139578947368582
11,10:30,0.0,5.999999999999993,4.9634,Digging,Idle,0.0,4.860421052631411,4.5629,Digging,Idle,-1.139578947368582
12,10:45,8.0,7.999999999999993,0.2629,Charging,Serving CEV,8.0,6.860421052631411,0.0,Charging,Serving CEV,-1.139578947368582
13,11:00,0.0,7.999999999999993,5.2098,Digging,Idle,0.0,6.860421052631411,4.9634,Digging,Idle,-1.139578947368582
14,11:15,0.0,7.999999999999993,4.617,Traveling,Idle,0.0,6.860421052631411,5.3364,Traveling,Idle,-1.139578947368582
15,11:30,0.0,7.999999999999993,4.9351,Digging,Idle,0.0,6.860421052631411,3.7992,Loading/Swinging,Idle,-1.139578947368582
16,11:45,0.0,7.999999999999993,4.4919,Digging,Idle,0.0,6.860421052631411,4.7809,Digging,Idle,-1.139578947368582
17,12:00,8.0,9.999999999999993,0.0,Charging,Serving CEV,8.0,8.86042105263141,0.0,Charging,Serving CEV,-1.139578947368582
18,12:15,8.0,11.999999999999993,0.0,Charging,Serving CEV,7.992648199446685,10.858583102493082,0.0,Charging,Serving CEV,-1.141416897506911
19,12:30,0.0,11.999999999999993,0.0,,Traveling,0.0,10.858583102493082,0.0,,Traveling,-1.141416897506911
20,12:45,0.0,11.999999999999993,0.0,,Charging (grid),0.0,10.858583102493082,0.0,,Charging (grid),-1.141416897506911
21,13:00,0.0,11.999999999999993,0.0,,Charging (grid),0.0,10.858583102493082,0.0,,Charging (grid),-1.141416897506911
22,13:15,0.0,11.999999999999993,0.0,,Charging (grid),0.0,10.858583102493082,0.0,,Charging (grid),-1.141416897506911
23,13:30,0.0,11.999999999999993,0.0,,Charging (grid),0.0,10.858583102493082,0.0,,Charging (grid),-1.141416897506911
24,13:45,0.0,11.999999999999993,0.0,,Charging (grid),0.0,10.858583102493082,0.0,,Charging (grid),-1.141416897506911
25,14:00,0.0,11.999999999999993,4.7843,Digging,Charging (grid),0.0,10.858583102493082,4.8544,Digging,Charging (grid),-1.141416897506911
26,14:15,0.0,11.999999999999993,4.7653,Digging,Charging (grid),0.0,10.858583102493082,4.7653,Digging,Charging (grid),-1.141416897506911
27,14:30,0.0,11.999999999999993,5.3364,Traveling,Charging (grid),0.0,10.858583102493082,4.5721,Traveling,Charging (grid),-1.141416897506911
28,14:45,0.0,11.999999999999993,3.1344,Loading/Swinging,Charging (grid),0.0,10.858583102493082,3.8487,Loading/Swinging,Charging (grid),-1.141416897506911
29,15:00,0.0,11.999999999999993,0.4689,Idle,Charging (grid),0.0,10.858583102493082,0.0,Idle,Charging (grid),-1.141416897506911
30,15:15,0.0,11.999999999999993,2.4016,Loading/Swinging,Charging (grid),0.0,10.858583102493082,4.78,Digging,Charging (grid),-1.141416897506911
31,15:30,0.0,11.999999999999993,3.1344,Loading/Swinging,Charging (grid),0.0,10.858583102493082,2.9596,Loading/Swinging,Charging (grid),-1.141416897506911
32,15:45,0.0,11.999999999999993,3.203,Loading/Swinging,Charging (grid),0.0,10.858583102493082,3.0004,Loading/Swinging,Charging (grid),-1.141416897506911
33,16:00,0.0,11.999999999999993,4.7175,Traveling,Traveling,0.0,10.858583102493082,4.617,Traveling,Traveling,-1.141416897506911
34,16:15,8.0,13.999999999999993,0.0,Charging,Serving CEV,8.0,12.858583102493082,0.0,Charging,Serving CEV,-1.141416897506911
35,16:30,0.0,13.999999999999993,3.1344,Loading/Swinging,Idle,0.0,12.858583102493082,4.78,Digging,Idle,-1.141416897506911
36,16:45,0.0,13.999999999999993,2.8,Loading/Swinging,Idle,0.0,12.858583102493082,3.4369,Loading/Swinging,Idle,-1.141416897506911
37,17:00,5.799411961722543,15.449852990430628,0.0,Charging,Serving CEV,0.07091325266070739,12.87631141565826,0.0,Charging,Serving CEV,-2.573541574772369
38,17:15,0.0,15.449852990430628,0.0,,Idle,7.996267723544175,14.875378346544302,0.0,Charging,Serving CEV,-0.574474643886326
39,17:30,0.0,15.449852990430628,0.0,,Idle,7.579143804023994,16.770164297550302,0.0,Charging,Serving CEV,1.320311307119674
40,17:45,8.0,17.449852990430628,0.0,Charging,Serving CEV,8.0,18.770164297550302,0.0,Charging,Serving CEV,1.320311307119674
41,18:00,8.0,19.449852990430628,0.0,Charging,Serving CEV,8.0,20.770164297550302,0.0,Charging,Serving CEV,1.320311307119674
42,18:15,8.0,21.449852990430628,0.0,Charging,Serving CEV,6.758992431367159,22.459912405392092,0.0,Charging,Serving CEV,1.0100594149614643
43,18:30,8.0,23.449852990430628,0.0,Charging,Serving CEV,7.64426355624383,24.37097829445305,0.0,Charging,Serving CEV,0.9211253040224214
44,18:45,8.0,25.449852990430628,0.0,Charging,Serving CEV,0.0,24.37097829445305,0.0,,Traveling,-1.0788746959775786
45,19:00,0.0,25.449852990430628,0.0,,Idle,0.0,24.37097829445305,0.0,,Idle,-1.0788746959775786
46,19:15,0.0,25.449852990430628,0.0,,Traveling,0.0,24.37097829445305,0.0,,Idle,-1.0788746959775786
47,19:30,0.0,25.449852990430628,0.0,,Idle,0.0,24.37097829445305,0.0,,Idle,-1.0788746959775786
48,19:45,0.0,25.449852990430628,0.0,,Idle,0.0,24.37097829445305,0.0,,Idle,-1.0788746959775786
49,20:00,0.0,25.449852990430628,0.0,,Idle,0.0,24.37097829445305,0.0,,Idle,-1.0788746959775786
50,20:15,0.0,25.449852990430628,0.0,,Idle,0.0,24.37097829445305,0.0,,Idle,-1.0788746959775786
51,20:30,0.0,25.449852990430628,0.0,,Idle,0.0,24.37097829445305,0.0,,Idle,-1.0788746959775786
52,20:45,0.0,25.449852990430628,0.0,,Idle,0.0,24.37097829445305,0.0,,Idle,-1.0788746959775786
53,21:00,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
54,21:15,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
55,21:30,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
56,21:45,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
57,22:00,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
58,22:15,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
59,22:30,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
60,22:45,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
61,23:00,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
62,23:15,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
63,23:30,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
64,23:45,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Idle,-1.0788746959775786
65,00:00,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
66,00:15,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
67,00:30,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
68,00:45,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
69,01:00,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
70,01:15,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
71,01:30,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
72,01:45,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
73,02:00,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
74,02:15,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
75,02:30,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
76,02:45,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
77,03:00,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
78,03:15,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
79,03:30,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
80,03:45,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
81,04:00,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
82,04:15,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
83,04:30,0.0,25.449852990430628,0.0,,Charging (grid),0.0,24.37097829445305,0.0,,Charging (grid),-1.0788746959775786
