Time_Period,CEV_1_A0_kWh,CEV_1_A1S_kWh
1,14.8,14.8
2,13.727325,13.577375
3,12.676675,12.43665
4,14.676675,11.836249999999996
5,13.4429,10.622649999999997
6,12.37835,12.622649999999997
7,11.201025,11.479499999999996
8,13.201025,10.238650000000332
9,14.8,9.367850000000292
10,13.608675000000002,11.325586842105318
11,12.374900000000002,13.292461842105318
12,11.234175000000002,11.957736842105318
13,12.905900000000003,10.817011842105035
14,11.625250000000003,12.817011842105035
15,10.445875000000003,11.747886842105036
16,9.249800000000002,10.556561842105037
17,8.109075000000002,9.333936842105036
18,10.109075000000002,11.333936842105036
19,12.109075000000002,11.333936842105036
20,12.109075000000002,11.333936842105036
21,12.109075000000002,11.333936842105036
22,12.109075000000002,11.333936842105036
23,12.109075000000002,11.333936842105036
24,12.109075000000002,11.333936842105036
25,12.109075000000002,11.333936842105036
26,10.902150000000002,10.210961842105036
27,9.761425000000003,9.015736842105035
28,8.578800000000003,7.872586842105035
29,7.926250000000003,6.821936842105035
30,7.911000000000003,6.821936842105035
31,7.094625000000003,5.962711842105034
32,6.011650000000003,5.2126118421050345
33,5.195275000000003,4.3535868421050345
34,4.0522500000000035,6.3535868421050345
35,5.723975000000004,5.284461842105035
36,4.923225000000004,4.343011842105035
37,3.455075000000004,3.380836842105035
38,4.9049279904306395,5.380836842105035
39,4.9049279904306395,7.295745429362894
40,4.9049279904306395,9.295745429362894
41,6.9049279904306395,11.089697608980902
42,8.90492799043064,13.089697608980902
43,10.90492799043064,14.8
44,12.90492799043064,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
