Time_Period,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,248.65529085872583,250.0
4,248.65529085872583,250.0
5,248.65529085872586,247.89473684210526
6,246.55002770083112,246.32257617728533
7,246.55002770083112,246.32257617728533
8,246.55002770083112,246.32257617728533
9,244.4447645429364,244.2173130193906
10,244.4447645429364,244.2173130193906
11,244.89570637119112,244.64683487025727
12,245.35356333417297,245.07711995945945
13,245.813313700253,245.51541069664222
14,246.27591986521452,245.953701433825
15,246.73852603017605,246.39199217100776
16,247.20113219513757,246.83443626310103
17,247.6686391925685,247.2768803551943
18,248.1361461899994,247.71932444728756
19,248.59747900770725,248.16176853938083
20,249.0649860051382,248.16176853938083
21,249.53249300256905,246.0565053814861
22,250.0,244.8205339152781
23,250.0,243.74109933212404
24,248.8416066481994,241.6358361742293
25,246.79731156145206,240.8981195502891
26,246.79731156145206,240.8981195502891
27,246.79731156145206,240.8981195502891
28,244.69204840355732,240.8981195502891
29,244.69204840355732,240.8981195502891
30,244.69204840355732,238.79285639239436
31,244.69204840355732,238.79285639239436
32,244.69204840355732,238.79285639239436
33,242.58678524566258,236.68759323449962
34,242.58678524566258,236.68759323449962
35,242.58678524566258,236.68759323449962
36,242.58678524566258,236.68759323449962
37,242.58678524566258,236.68759323449962
38,240.48152208776784,234.58233007660488
39,238.71750991781826,232.47706691871014
40,236.61224675992352,230.3718037608154
41,234.50698360202878,228.48111124003978
42,232.40172044413404,228.48111124003978
43,230.7217100043253,228.48111124003978
44,230.7217100043253,228.48111124003978
45,230.7217100043253,228.48111124003978
46,230.7217100043253,228.48111124003978
47,230.7217100043253,228.48111124003978
48,230.7217100043253,228.48111124003978
49,230.7217100043253,228.48111124003978
50,230.7217100043253,228.48111124003978
51,230.7217100043253,228.48111124003978
52,230.7217100043253,228.48111124003978
53,230.7217100043253,228.48111124003978
54,231.18921700175625,228.97017689367524
55,231.6567239991872,229.4592425473107
56,232.12423099661814,229.94830820094617
57,232.59173799404908,230.43737385458164
58,233.05924499148003,230.9264395082171
59,233.52675198891097,231.41550516185256
60,233.99425898634192,231.90457081548803
61,234.46176598377286,232.3936364691235
62,234.46176598377286,232.88270212275896
63,234.9292729812038,233.37176777639442
64,235.03977608220976,233.86083343002988
65,235.03977608220976,234.34989908366532
66,235.5072830796407,234.83896473730078
67,235.97479007707165,235.32803039093625
68,236.4422970745026,235.8170960445717
69,236.90980407193354,236.30616169820718
70,237.37731106936448,236.79522735184264
71,237.84481806679543,237.2842930054781
72,238.31232506422637,237.77335865911357
73,238.77983206165732,238.26242431274903
74,239.24733905908826,238.7514899663845
75,239.7148460565192,239.24055562001996
76,240.18235305395015,239.72962127365543
77,240.6498600513811,240.2186869272909
78,241.11736704881204,240.70775258092635
79,241.584874046243,241.19681823456182
80,242.05238104367393,241.68588388819728
81,242.51988804110488,242.17494954183275
82,242.98739503853582,242.6640151954682
83,243.45490203596677,243.15308084910367
84,243.9224090333977,243.64214650273914
85,244.38991603082866,244.1312121563746
86,244.8574230282596,244.62027781001007
87,245.32493002569055,245.10934346364553
88,245.7924370231215,245.598409117281
89,246.25994402055244,246.08747477091646
90,246.72745101798338,246.57654042455178
91,247.19495801541433,247.06560607818724
92,247.66246501284527,247.55467173182268
93,248.12997201027622,248.04373738545814
94,248.59747900770716,248.5328030390936
95,249.0649860051381,249.02186869272907
96,249.53249300256905,249.51093434636454
97,250.0,250.0
