Metric,A1S,A2S
Total_Cost_USD,567.75,69.02
Total_Energy_Cost_USD,7.93,8.17
Total_CO2_Cost_USD,0.32,0.33
NC_demand_charge_USD,39.5,40.51
OP_demand_charge_USD,0.0,0.0
Missed_Work_Penalty_USD,500.0,0.0
Travel_Labour_USD,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0
Total_Grid_Energy_kWh,26.24,26.46
Total_CO2_Emissions_kg,6.39,6.69
NCD_Peak_kW,1.96,2.01
OPD_Peak_kW,0.0,0.0
Missed_Work_hour,0.25,0.0
MCS_Transit_hour,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0
Infeasible_windows,0,0
Solve_time_s,87.01,9189.35
