Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0,250.0
2,250.0,250.0,250.0
3,250.0,248.51360110803324,250.0
4,247.89473684210526,248.51360110803324,250.0
5,247.89473684210526,248.51360110803324,247.8947368421029
6,247.89473684210526,248.51360110802764,247.8947368421029
7,247.89473684210526,248.5136011080275,245.95375319357947
8,245.78947368421052,246.4083379501327,245.95375319357947
9,243.68421052631578,244.30307479223796,245.95375319357947
10,243.68421052631578,244.30307479223796,245.95375319357947
11,243.68421052631578,244.771088741585,245.95375319357947
12,243.68421052631578,245.2418546425815,243.84918068716036
13,241.57894736842104,245.712620543578,241.74391752926562
14,241.57894736842104,246.1833864445745,241.74391752926562
15,241.57894736842104,246.654152345571,242.16859313894062
16,241.57894736842104,247.1308373205753,242.5943325005349
17,241.57894736842104,247.60942080080684,243.02007186212919
18,239.4736842105263,248.0897563586007,243.44581122372347
19,237.36842105263156,248.5589933266184,243.87155058531772
20,237.36842105263156,249.03932888441227,244.297289946912
21,237.83840910416308,249.51966444220614,244.72302930850628
22,238.30839715569456,250.0,245.14876867010057
23,238.77838520722608,250.0,245.57450803169485
24,239.24837325875757,247.89473684210526,245.57450803169485
25,239.71836131028908,245.81814404432743,243.4692448738001
26,240.18834936182057,245.81814404432743,243.4692448738001
27,240.6583374133521,245.81814404432743,243.4692448738001
28,241.12832546488357,244.14120571512458,243.4692448738001
29,241.59831351641506,244.14120571512458,243.4692448738001
30,242.06830156794658,242.56021354962556,241.36398171590537
31,242.53828961947806,242.56021354962556,241.36398171590537
32,243.00827767100958,242.56021354962556,241.36398171590537
33,243.47826572254107,240.51619374670167,239.25871855801063
34,243.47826572254107,240.51619374670167,239.25871855801063
35,241.37300256464633,240.51619374670167,239.25871855801063
36,241.37300256464633,240.51619374670167,239.25871855801063
37,241.37300256464633,240.51619374670167,239.25871855801063
38,239.84684152208777,238.93837207427939,237.1534554001159
39,239.84684152208777,236.91615216230161,235.04819224222115
40,239.84684152208777,234.81088900440687,232.9429290843264
41,237.74157836419303,232.70562584651213,230.83766592643167
42,235.6363152062983,230.92840196376304,229.15816825019638
43,233.53105204840355,230.92840196376304,229.15816825019638
44,231.4257888905088,230.92840196376304,229.15816825019638
45,229.32052573261407,230.92840196376304,229.15816825019638
46,229.32052573261407,230.92840196376304,229.15816825019638
47,229.32052573261407,230.92840196376304,229.15816825019638
48,229.32052573261407,230.92840196376304,229.15816825019638
49,229.32052573261407,230.92840196376304,229.15816825019638
50,229.32052573261407,230.92840196376304,229.15816825019638
51,229.32052573261407,230.92840196376304,229.15816825019638
52,229.32052573261407,230.92840196376304,229.15816825019638
53,229.32052573261407,230.92840196376304,229.15816825019638
54,229.7905137841456,231.4087375215569,229.63184624451011
55,230.26050183567708,231.88907307935077,230.10552423882385
56,230.73048988720856,232.36940863714463,230.57920223313758
57,231.20047793874008,232.8497441949385,231.0528802274513
58,231.67046599027157,233.33007975273236,231.52655822176504
59,232.14045404180308,233.81041531052622,232.00023621607878
60,232.61044209333457,234.2907508683201,232.4739142103925
61,233.08043014486609,234.2907508683201,232.94759220470624
62,233.55041819639757,234.2907508683201,233.42127019901997
63,234.02040624792906,234.62926215059622,233.8949481933337
64,234.49039429946058,234.62926215059622,234.36862618764744
65,234.96038235099206,234.62926215059622,234.84230418196103
66,235.43037040252358,235.10959770839008,235.31598217627476
67,235.90035845405507,235.58993326618395,235.7896601705885
68,236.37034650558655,236.0702688239778,236.26333816490222
69,236.84033455711807,236.55060438177168,236.73701615921595
70,237.31032260864956,237.03093993956554,237.2106941535297
71,237.78031066018104,237.5112754973594,237.68437214784342
72,238.25029871171256,237.99161105515327,238.15805014215715
73,238.72028676324405,238.47194661294714,238.63172813647088
74,239.19027481477553,238.952282170741,239.10540613078462
75,239.66026286630705,239.43261772853486,239.57908412509835
76,240.13025091783854,239.91295328632873,240.05276211941208
77,240.60023896937005,240.3932888441226,240.5264401137258
78,241.07022702090154,240.87362440191646,241.00011810803954
79,241.54021507243303,241.35395995971032,241.47379610235328
80,242.01020312396454,241.8342955175042,241.947474096667
81,242.48019117549603,242.31463107529805,242.42115209098074
82,242.95017922702752,242.79496663309192,242.89483008529447
83,243.42016727855903,243.27530219088578,243.3685080796082
84,243.89015533009052,243.75563774867965,243.84218607392194
85,244.360143381622,244.2359733064735,244.31586406823567
86,244.83013143315353,244.71630886426738,244.7895420625494
87,245.300119484685,245.19664442206124,245.26322005686313
88,245.77010753621653,245.6769799798551,245.73689805117687
89,246.24009558774802,246.15731553764897,246.2105760454906
90,246.7100836392795,246.63765109544292,246.68425403980396
91,247.18007169081102,247.1179866532363,247.1579320341177
92,247.6500597423425,247.59832221103025,247.63161002843137
93,248.120047793874,248.0786577688242,248.10528802274507
94,248.5900358454055,248.55899332661815,248.5789660170588
95,249.060023896937,249.0393288844121,249.0526440113725
96,249.53001194846848,249.51966444220605,249.52632200568627
97,250.0,250.0,250.0
