Metric,A0,A1S,A2S
Total_Cost_USD,69.26,68.36,108.49
Total_Energy_Cost_USD,9.11,8.58,8.58
Total_CO2_Cost_USD,0.34,0.32,0.35
NC_demand_charge_USD,39.82,39.46,42.92
OP_demand_charge_USD,-0.0,0.0,0.0
Missed_Work_Penalty_USD,0.0,0.0,36.64
Travel_Labour_USD,20.0,20.0,20.0
Terminal_Shortfall_Penalty_USD,0.0,0.0,0.0
Total_Grid_Energy_kWh,28.2,26.78,27.72
Total_CO2_Emissions_kg,6.74,6.34,6.99
NCD_Peak_kW,1.98,1.96,2.13
OPD_Peak_kW,-0.0,0.0,0.0
Missed_Work_hour,0.0,0.0,0.02
MCS_Transit_hour,1.0,1.0,1.0
Terminal_SOE_Shortfall_kWh,0.0,0.0,0.0
Infeasible_windows,0,0,0
Solve_time_s,10.79,117.42,12360.54
