Time_Period,MCS_1_A0_kWh,MCS_1_A1S_kWh
1,250.0,250.0
2,250.0,250.0
3,250.0,250.0
4,247.89473684210526,250.0
5,247.89473684210526,250.0
6,247.89473684210526,249.1332132963989
7,247.89473684210526,247.02795013850286
8,245.78947368421052,247.02795013850286
9,243.68421052631578,244.92268698060852
10,243.68421052631578,244.92268698060852
11,243.68421052631578,244.92268698060852
12,243.68421052631578,244.92268698060852
13,241.57894736842104,242.94589736113159
14,241.57894736842104,242.94589736113159
15,241.57894736842104,242.94589736113159
16,241.57894736842104,242.94589736113159
17,241.57894736842104,242.94589736113156
18,239.4736842105263,240.84063420323682
19,237.36842105263156,238.73537104534208
20,237.36842105263156,238.73537104534208
21,237.83840910416308,239.19419167273486
22,238.30839715569456,239.65301230012764
23,238.77838520722608,240.11183292752042
24,239.24837325875757,240.5706535549132
25,239.71836131028908,241.029474182306
26,240.18834936182057,241.48829480969877
27,240.6583374133521,241.94711543709155
28,241.12832546488357,242.40593606448434
29,241.59831351641506,242.86475669187712
30,242.06830156794658,243.3235773192699
31,242.53828961947806,243.78239794666268
32,243.00827767100958,244.24121857405547
33,243.47826572254107,244.70003920144825
34,243.47826572254107,244.70003920144825
35,241.37300256464633,242.66108907061727
36,241.37300256464633,242.66108907061727
37,241.37300256464633,242.66108907061727
38,239.84684152208777,240.55582591272253
39,239.84684152208777,238.74859614121502
40,239.84684152208777,236.64333298332028
41,237.74157836419303,234.53806982542554
42,235.6363152062983,232.4328066675308
43,233.53105204840355,230.75507083833037
44,231.4257888905088,230.75507083833037
45,229.32052573261407,230.75507083833037
46,229.32052573261407,230.75507083833037
47,229.32052573261407,230.75507083833037
48,229.32052573261407,230.75507083833037
49,229.32052573261407,230.75507083833037
50,229.32052573261407,230.75507083833037
51,229.32052573261407,230.75507083833037
52,229.32052573261407,230.75507083833037
53,229.32052573261407,230.75507083833037
54,229.7905137841456,231.21389146572315
55,230.26050183567708,231.67271209311593
56,230.73048988720856,232.13153272050872
57,231.20047793874008,232.5903533479015
58,231.67046599027157,233.04917397529428
59,232.14045404180308,233.50799460268706
60,232.61044209333457,233.96681523007985
61,233.08043014486609,234.42563585747263
62,233.55041819639757,234.42563585747263
63,234.02040624792906,234.8844564848654
64,234.49039429946058,235.31773992343065
65,234.96038235099206,235.31773992343065
66,235.43037040252358,235.77656055082343
67,235.90035845405507,236.23538117821622
68,236.37034650558655,236.694201805609
69,236.84033455711807,237.15302243300178
70,237.31032260864956,237.61184306039456
71,237.78031066018104,238.07066368778734
72,238.25029871171256,238.52948431518013
73,238.72028676324405,238.9883049425729
74,239.19027481477553,239.4471255699657
75,239.66026286630705,239.90594619735847
76,240.13025091783854,240.36476682475126
77,240.60023896937005,240.82358745214404
78,241.07022702090154,241.28240807953682
79,241.54021507243303,241.7412287069296
80,242.01020312396454,242.2000493343224
81,242.48019117549603,242.65886996171517
82,242.95017922702752,243.11769058910795
83,243.42016727855903,243.57651121650073
84,243.89015533009052,244.03533184389352
85,244.360143381622,244.4941524712863
86,244.83013143315353,244.95297309867908
87,245.300119484685,245.41179372607186
88,245.77010753621653,245.87061435346465
89,246.24009558774802,246.32943498085743
90,246.7100836392795,246.78825560825047
91,247.18007169081102,247.24707623564183
92,247.6500597423425,247.70589686303487
93,248.120047793874,248.16471749042785
94,248.5900358454055,248.62353811782089
95,249.060023896937,249.08235874521392
96,249.53001194846848,249.54117937260696
97,250.0,250.0
