Time_Period,Clock,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A1S_cum_kWh
1,08:00,0.0,0.0,4.9351,Digging,Traveling,0.0,0.0,5.2098,Digging,Idle,0.0
2,08:15,-1.4764629285261767e-13,-3.691157321315442e-14,5.4411,Digging,Idle,0.0,0.0,4.4919,Digging,Traveling,3.691157321315442e-14
3,08:30,-1.717720547464791e-12,-4.663417100793522e-13,4.8277,Digging,Idle,0.0,0.0,4.7843,Digging,Idle,4.663417100793522e-13
4,08:45,8.0,1.9999999999995337,0.0264,Charging,Serving CEV,0.0,0.0,4.2582,Digging,Idle,-1.9999999999995337
5,09:00,0.0,1.9999999999995337,4.8544,Digging,Idle,8.0,2.0,0.5059,Charging,Serving CEV,4.662936703425657e-13
6,09:15,4.1655567883935873e-13,1.9999999999996378,4.6083,Traveling,Idle,8.0,4.0,0.0,Charging,Serving CEV,2.0000000000003624
7,09:30,4.476419235288631e-13,1.9999999999997498,4.9351,Digging,Idle,0.0,4.0,4.7093,Traveling,Idle,2.0000000000002505
8,09:45,0.0,1.9999999999997498,4.8544,Digging,Idle,8.0,6.0,0.0,Charging,Serving CEV,4.0000000000002505
9,10:00,4.967789473685258,3.241947368421064,0.0,Charging,Serving CEV,0.0,6.0,4.9351,Digging,Idle,2.758052631578936
10,10:15,8.0,5.241947368421064,0.0262,Charging,Serving CEV,0.0,6.0,4.5629,Digging,Idle,0.758052631578936
11,10:30,0.0,5.241947368421064,4.8544,Digging,Idle,0.0,6.0,4.6773,Digging,Idle,0.758052631578936
12,10:45,8.000000000000021,7.241947368421069,0.0,Charging,Serving CEV,8.0,8.0,0.0264,Charging,Serving CEV,0.7580526315789307
13,11:00,0.0,7.241947368421069,4.2907,Digging,Idle,0.0,8.0,5.3659,Digging,Traveling,0.7580526315789307
14,11:15,0.0,7.241947368421069,5.3956,Traveling,Idle,0.0,8.0,4.486,Traveling,Charging (grid),0.7580526315789307
15,11:30,0.0,7.241947368421069,4.8905,Digging,Idle,0.0,8.0,4.7425,Digging,Charging (grid),0.7580526315789307
16,11:45,0.0,7.241947368421069,4.7653,Digging,Idle,0.0,8.0,5.3389,Digging,Charging (grid),0.7580526315789307
17,12:00,8.0,9.24194736842107,0.0,Charging,Serving CEV,0.0,8.0,0.0,,Charging (grid),-1.2419473684210693
18,12:15,8.0,11.24194736842107,0.0,Charging,Serving CEV,0.0,8.0,0.0,,Charging (grid),-3.2419473684210693
19,12:30,0.0,11.24194736842107,0.0,,Traveling,0.0,8.0,0.0,,Charging (grid),-3.2419473684210693
20,12:45,0.0,11.24194736842107,0.0,,Charging (grid),0.0,8.0,0.0,,Charging (grid),-3.2419473684210693
21,13:00,0.0,11.24194736842107,0.0,,Charging (grid),0.0,8.0,0.0,,Charging (grid),-3.2419473684210693
22,13:15,0.0,11.24194736842107,0.0,,Charging (grid),0.0,8.0,0.0,,Charging (grid),-3.2419473684210693
23,13:30,0.0,11.24194736842107,0.0,,Charging (grid),0.0,8.0,0.0,,Traveling,-3.2419473684210693
24,13:45,0.0,11.24194736842107,0.0,,Charging (grid),8.0,10.0,0.0,Charging,Serving CEV,-1.2419473684210693
25,14:00,0.0,11.24194736842107,4.2907,Digging,Charging (grid),0.0,10.0,2.9903,Loading/Swinging,Idle,-1.2419473684210693
26,14:15,0.0,11.24194736842107,2.9596,Loading/Swinging,Charging (grid),0.0,10.0,5.1226,Digging,Idle,-1.2419473684210693
27,14:30,0.0,11.24194736842107,4.486,Traveling,Charging (grid),0.0,10.0,4.486,Traveling,Idle,-1.2419473684210693
28,14:45,0.0,11.24194736842107,4.9634,Digging,Charging (grid),0.0,10.0,3.4369,Loading/Swinging,Idle,-1.2419473684210693
29,15:00,0.0,11.24194736842107,0.2629,Idle,Charging (grid),8.0,12.0,0.0,Charging,Serving CEV,0.7580526315789307
30,15:15,0.0,11.24194736842107,5.8726,Loading/Swinging,Charging (grid),0.0,12.0,3.203,Loading/Swinging,Idle,0.7580526315789307
31,15:30,0.0,11.24194736842107,3.203,Loading/Swinging,Charging (grid),0.0,12.0,4.5629,Digging,Idle,0.7580526315789307
32,15:45,0.0,11.24194736842107,3.0004,Loading/Swinging,Traveling,8.0,14.0,0.061,Charging,Serving CEV,2.7580526315789307
33,16:00,8.0,13.24194736842107,0.0,Charging,Serving CEV,0.0,14.0,2.9596,Loading/Swinging,Idle,0.7580526315789307
34,16:15,0.0,13.24194736842107,4.4502,Traveling,Idle,0.0,14.0,4.486,Traveling,Idle,0.7580526315789307
35,16:30,0.0,13.24194736842107,4.1586,Loading/Swinging,Idle,0.0,14.0,2.2047,Loading/Swinging,Idle,0.7580526315789307
36,16:45,0.0,13.24194736842107,2.2701,Loading/Swinging,Idle,0.0,14.0,2.4016,Loading/Swinging,Idle,0.7580526315789307
