Time_Period,CEV_1_A1S_kWh,CEV_1_A2S_kWh
1,14.8,14.8
2,13.519350000000001,13.49755
3,14.8,12.311925
4,13.614375,10.97045
5,12.2729,12.904725
6,14.272899999999433,14.8
7,12.970449999999433,13.73545
8,14.774317105264833,12.573375
9,13.612242105264833,14.54025
10,12.405317105264833,13.2378
11,11.182692105264833,11.93535
12,9.997067105264833,10.72175
13,11.938891204986087,9.649075
14,10.769566204986086,11.649075
15,9.617916204986086,10.3843
16,8.276441204986085,9.049574999999999
17,7.053816204986085,8.108125
18,9.053816204986084,8.108125
19,11.053816204986084,8.108125
20,11.053816204986084,8.108125
21,11.053816204986084,8.108125
22,11.053816204986084,8.108125
23,11.053816204986084,10.108125
24,11.053816204986084,12.108125
25,11.053816204986084,12.241270651135894
26,10.202966204986085,10.960620651135894
27,9.261516204986085,9.726845651135894
28,8.084191204986086,8.547470651135894
29,7.096766204986086,7.8949206511358945
30,7.034741204986085,9.861795651135894
31,5.800966204986086,8.721070651135895
32,5.233441204986086,7.937470651135895
33,4.533441204986086,9.904345651135895
34,3.395791204986086,9.290470651135895
35,5.362666204986086,8.253870651135895
36,4.491866204986086,7.394645651135894
37,3.741766204986086,6.694645651135894
38,5.741766204986086,8.694645651135893
39,7.276749147105996,10.694645651135893
40,9.276749147105996,12.694645651135893
41,11.090697413310211,14.694645651135893
42,13.090697413310211,14.8
43,14.8,14.8
44,14.8,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
