Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A1S_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.8277,Digging,Traveling,0.0,0.0,4.2026,Digging,Traveling,0.0
2,08:15,0.0,0.0,4.8544,Digging,Idle,4.4237894736884495,1.1059473684221124,0.0,Charging,Serving CEV,1.1059473684221124
3,08:30,8.0,2.0,0.061,Charging,Serving CEV,0.0,1.1059473684221124,5.2098,Digging,Idle,-0.8940526315778876
4,08:45,0.0,2.0,5.1226,Digging,Idle,0.0,1.1059473684221124,5.3389,Digging,Idle,-0.8940526315778876
5,09:00,0.0,2.0,4.5629,Digging,Idle,8.0,3.1059473684221124,0.5059,Charging,Serving CEV,1.1059473684221124
6,09:15,0.0,2.0,4.7095,Traveling,Idle,0.0,3.1059473684221124,3.4832,Digging,Idle,1.1059473684221124
7,09:30,8.0,4.0,0.5059,Charging,Serving CEV,0.0,3.1059473684221124,4.2765,Traveling,Idle,-0.8940526315778876
8,09:45,7.999999999999972,5.999999999999993,0.0,Charging,Serving CEV,8.0,5.105947368422113,0.061,Charging,Serving CEV,-0.8940526315778801
9,10:00,0.0,5.999999999999993,4.8277,Digging,Idle,0.0,5.105947368422113,4.2026,Digging,Idle,-0.8940526315778801
10,10:15,0.0,5.999999999999993,4.2026,Digging,Idle,0.0,5.105947368422113,4.8277,Digging,Idle,-0.8940526315778801
11,10:30,0.0,5.999999999999993,4.2582,Digging,Idle,0.0,5.105947368422113,5.8726,Loading/Swinging,Idle,-0.8940526315778801
12,10:45,8.0,7.999999999999993,0.061,Charging,Serving CEV,6.627894736842145,6.762921052632649,0.2481,Charging,Serving CEV,-1.237078947367344
13,11:00,0.0,7.999999999999993,5.4411,Digging,Idle,0.0,6.762921052632649,4.8544,Digging,Idle,-1.237078947367344
14,11:15,0.0,7.999999999999993,5.0591,Traveling,Idle,0.0,6.762921052632649,4.6559,Traveling,Idle,-1.237078947367344
15,11:30,0.0,7.999999999999993,4.5629,Digging,Idle,0.0,6.762921052632649,5.3389,Digging,Idle,-1.237078947367344
16,11:45,0.0,7.999999999999993,4.5629,Digging,Idle,0.0,6.762921052632649,5.4411,Digging,Idle,-1.237078947367344
17,12:00,8.0,9.999999999999993,0.0,Charging,Serving CEV,8.0,8.762921052632649,0.0,Charging,Serving CEV,-1.237078947367344
18,12:15,8.0,11.999999999999993,0.0,Charging,Serving CEV,8.0,10.762921052632649,0.0,Charging,Serving CEV,-1.237078947367344
19,12:30,0.0,11.999999999999993,0.0,,Traveling,8.0,12.762921052632649,0.0,Charging,Serving CEV,0.762921052632656
20,12:45,0.0,11.999999999999993,0.0,,Charging (grid),0.0,12.762921052632649,0.0,,Traveling,0.762921052632656
21,13:00,0.0,11.999999999999993,0.0,,Charging (grid),0.0,12.762921052632649,0.0,,Charging (grid),0.762921052632656
22,13:15,0.0,11.999999999999993,0.0,,Charging (grid),0.0,12.762921052632649,0.0,,Charging (grid),0.762921052632656
23,13:30,0.0,11.999999999999993,0.0,,Charging (grid),0.0,12.762921052632649,0.0,,Charging (grid),0.762921052632656
24,13:45,0.0,11.999999999999993,0.0,,Charging (grid),0.0,12.762921052632649,0.0,,Charging (grid),0.762921052632656
25,14:00,0.0,11.999999999999993,4.8277,Digging,Charging (grid),0.0,12.762921052632649,4.3319,Loading/Swinging,Charging (grid),0.762921052632656
26,14:15,0.0,11.999999999999993,4.8277,Digging,Charging (grid),0.0,12.762921052632649,5.8726,Loading/Swinging,Charging (grid),0.762921052632656
27,14:30,0.0,11.999999999999993,4.6176,Traveling,Charging (grid),0.0,12.762921052632649,4.6066,Traveling,Charging (grid),0.762921052632656
28,14:45,0.0,11.999999999999993,2.8,Loading/Swinging,Charging (grid),0.0,12.762921052632649,4.6773,Digging,Charging (grid),0.762921052632656
29,15:00,0.0,11.999999999999993,0.0,Idle,Charging (grid),0.0,12.762921052632649,0.0,Idle,Charging (grid),0.762921052632656
30,15:15,0.0,11.999999999999993,3.2655,Loading/Swinging,Charging (grid),0.0,12.762921052632649,4.9634,Digging,Charging (grid),0.762921052632656
31,15:30,0.0,11.999999999999993,2.9366,Loading/Swinging,Charging (grid),0.0,12.762921052632649,2.5796,Loading/Swinging,Charging (grid),0.762921052632656
