Time_Period,MCS_1_A0_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,250.0,250.0
4,247.89473684210526,250.00000000000023
5,247.8947368421053,247.8947368421055
6,247.8947368421053,247.8947368421055
7,245.78947368421055,245.78947368421075
8,244.68975069252076,245.78947368421075
9,244.68975069252076,243.684210526316
10,244.68975069252076,243.684210526316
11,244.68975069252076,243.684210526316
12,244.68975069252076,243.684210526316
13,242.58448753462602,243.68421052631595
14,242.58448753462602,241.5789473684212
15,242.58448753462602,241.5789473684212
16,242.58448753462602,241.5789473684212
17,242.58448753462602,241.5789473684212
18,240.47922437673128,239.47368421052647
19,238.37396121883654,237.36842105263173
20,238.37396121883654,237.36842105263173
21,238.83710939398355,237.8349290755069
22,239.30025756913057,238.3019836956446
23,239.76340574427758,238.7839627109163
24,240.2265539194246,239.26594172618803
25,240.6897020945716,239.74792074145975
26,241.1528502697186,240.22989975673147
27,241.61599844486562,240.7118787720032
28,242.07914662001264,241.1938577872749
29,242.54229479515965,241.1938577872749
30,243.00544297030666,239.08859462938017
31,243.46859114545367,239.08859462938017
32,243.93173932060068,239.08859462938017
33,244.3948874957477,236.98333147148543
34,244.3948874957477,236.98333147148543
35,242.28962433785296,236.98333147148543
36,242.28962433785296,236.98333147148543
37,242.28962433785296,236.98333147148543
38,242.28962433785296,234.8780683135907
39,242.28962433785296,232.77280515569595
40,242.28962433785296,230.6675419978012
41,242.28962433785296,228.56227883990647
42,242.28962433785296,226.45701568201173
43,242.28962433785296,225.61820454842476
44,242.28962433785296,225.61820454842476
45,240.18436117995822,225.61820454842476
46,238.07909802206348,225.61820454842476
47,238.07909802206348,225.61820454842476
48,235.97383486416874,225.61820454842476
49,233.868571706274,225.61820454842476
50,233.83200660932107,225.61820454842476
51,231.72674345142633,225.61820454842476
52,229.6214802935316,225.61820454842476
53,229.6214802935316,225.61820454842476
54,230.0846284686786,226.1723362632333
55,230.5477766438256,226.72646797804182
56,231.01092481897263,227.28059969285036
57,231.47407299411964,227.8347314076589
58,231.93722116926665,228.38886312246743
59,232.40036934441366,228.94299483727596
60,232.86351751956067,229.4971265520845
61,233.32666569470769,230.05125826689303
62,233.7898138698547,230.60538998170156
63,234.2529620450017,231.1595216965101
64,234.71611022014872,231.71365341131863
65,235.17925839529573,232.2677851261271
66,235.64240657044274,232.82191684093564
67,236.10555474558976,233.37604855574418
68,236.56870292073677,233.9301802705527
69,237.03185109588378,234.48431198536124
70,237.4949992710308,235.03844370016978
71,237.9581474461778,235.5925754149783
72,238.42129562132482,236.14670712978685
73,238.88444379647183,236.70083884459538
74,239.34759197161884,237.25497055940392
75,239.81074014676585,237.80910227421245
76,240.27388832191286,238.36323398902098
77,240.73703649705988,238.91736570382952
78,241.2001846722069,239.47149741863805
79,241.6633328473539,240.02562913344659
80,242.1264810225009,240.57976084825512
81,242.58962919764792,241.13389256306365
82,243.05277737279494,241.6880242778722
83,243.51592554794195,242.24215599268072
84,243.97907372308896,242.79628770748926
85,244.44222189823597,243.3504194222978
86,244.90537007338298,243.90455113710632
87,245.36851824853,244.45868285191486
88,245.831666423677,245.0128145667234
89,246.29481459882402,245.56694628153193
90,246.75796277397103,246.12107799634032
91,247.22111094911804,246.67520971114882
92,247.68425912426505,247.22934142595736
93,248.14740729941207,247.78347314076586
94,248.61055547455908,248.3376048555744
95,249.0737036497061,248.89173657038293
96,249.536851824853,249.44586828519147
97,250.0,250.0
