Time_Period,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,248.8209334862565,250.0
4,248.8209334862565,250.0
5,248.8209334862566,250.0
6,248.8209334862565,247.89473684210526
7,248.8209334862565,245.78947368421052
8,247.55352299820422,245.78947368421052
9,247.55352299820422,245.78947368421052
10,245.44825984030928,245.78947368421052
11,245.44825984030928,245.78947368421092
12,245.44825984030928,243.68421052631618
13,243.3429966824134,241.57894736844074
14,243.3429966824134,241.57894736844074
15,243.3429966824134,241.94921414665936
16,243.3429966824134,242.31948092487798
17,243.3429966824134,242.6897477030966
18,241.23773352451866,243.06001448131522
19,240.56096044535025,243.43028125953379
20,240.56096044535025,243.8005480377524
21,240.98426387105488,244.17081481597103
22,241.4075672967595,244.54108159418965
23,241.83087072246414,244.91134837240827
24,242.25417414816877,245.2816151506269
25,242.6774775738734,245.6518819288455
26,243.10078099957803,246.02214870706413
27,243.52408442528267,246.39241548528275
28,243.9473878509873,246.76268226350138
29,244.37069127669193,246.76268226350138
30,244.79399470239656,244.65741910560664
31,245.2172981281012,244.65741910560664
32,245.64060155380582,244.65741910560664
33,246.06390497951045,244.65741910560664
34,246.06390497951045,242.5521559477119
35,245.3786537867577,242.5521559477119
36,245.3786537867577,242.5521559477119
37,245.3786537867577,242.5521559477119
38,243.27339062886296,240.44689278981716
39,241.16812747096822,238.34162963192242
40,239.06286431307348,236.23636647402768
41,236.95760115517874,234.13110331613294
42,235.56768842579726,233.33723429794452
43,233.53557856944892,233.33723429794452
44,233.53557856944892,233.33723429794452
45,233.53557856944892,233.33723429794452
46,233.53557856944892,233.33723429794452
47,233.53557856944892,233.33723429794452
48,233.53557856944892,233.33723429794452
49,233.53557856944892,233.33723429794452
50,233.53557856944892,233.33723429794452
51,233.53557856944892,233.33723429794452
52,233.53557856944892,233.33723429794452
53,233.53557856944892,233.33723429794452
54,233.95888199515355,233.71593351844578
55,234.38218542085818,234.09463273894704
56,234.8054888465628,234.4733319594483
57,235.22879227226744,234.85203117994956
58,235.65209569797207,235.23073040045082
59,236.0753991236767,235.60942962095208
60,236.49870254938133,235.98812884145335
61,236.49870254938133,236.3668280619546
62,236.49870254938133,236.74552728245587
63,236.49870254938133,237.12422650295713
64,236.49870254938133,237.5029257234584
65,236.49870254938133,237.88162494395965
66,236.92200597508597,238.2603241644609
67,237.3453094007906,238.63902338496217
68,237.76861282649523,239.01772260546343
69,238.19191625219986,239.3964218259647
70,238.6152196779045,239.77512104646596
71,239.03852310360912,240.15382026696722
72,239.46182652931375,240.53251948746848
73,239.88512995501839,240.91121870796974
74,240.30843338072302,241.289917928471
75,240.73173680642765,241.66861714897226
76,241.15504023213228,242.04731636947352
77,241.5783436578369,242.42601558997478
78,242.00164708354154,242.80471481047604
79,242.42495050924617,243.1834140309773
80,242.8482539349508,243.56211325147856
81,243.27155736065544,243.94081247197983
82,243.69486078636007,244.3195116924811
83,244.1181642120647,244.69821091298235
84,244.54146763776933,245.0769101334836
85,244.96477106347396,245.45560935398487
86,245.3880744891786,245.83430857448613
87,245.81137791488322,246.2130077949874
88,246.23468134058785,246.59170701548865
89,246.6579847662925,246.9704062359899
90,247.03687602006752,247.34910545649117
91,247.46017944577216,247.72780467699243
92,247.88348287147682,248.1065038974937
93,248.30678629718142,248.48520311799496
94,248.73008972288605,248.86390233849622
95,249.1533931485907,249.24260155899748
96,249.57669657429534,249.62130077949874
97,250.0,250.0
