Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A1S_minus_A0_cum_kWh,A2S_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.603763601245482,Digging,Traveling,0.0,0.0,4.603763601245482,Digging,Traveling,0.0,0.0,4.603763601245482,Digging,Traveling,0.0,0.0
2,08:15,0.0,0.0,4.7066237002528535,Digging,Idle,0.0,0.0,4.7066237002528535,Digging,Idle,0.0,0.0,4.7066237002528535,Digging,Idle,0.0,0.0
3,08:30,7.999999999999999,1.9999999999999998,0.0,Charging,Serving CEV,2.0968362777958184e-13,5.242090694489546e-14,5.044335580496177,Digging,Idle,0.0,0.0,5.044335580496177,Digging,Idle,-1.9999999999999474,-1.9999999999999998
4,08:45,0.0,1.9999999999999998,5.044335580496177,Digging,Idle,0.0,5.242090694489546e-14,4.752279410180398,Digging,Idle,0.0,0.0,4.752279410180398,Digging,Idle,-1.9999999999999474,-1.9999999999999998
5,09:00,0.0,1.9999999999999998,4.752279410180398,Digging,Idle,7.999999999999996,2.0000000000000515,0.0,Charging,Serving CEV,8.0,2.0,0.0,Charging,Serving CEV,5.1736392947532295e-14,2.220446049250313e-16
6,09:15,8.0,4.0,0.0,Charging,Serving CEV,8.0,4.0000000000000515,0.0,Charging,Serving CEV,8.0,4.0,0.0,Charging,Serving CEV,5.1514348342607263e-14,0.0
7,09:30,4.178947368421149,5.044736842105287,0.0,Charging,Serving CEV,0.0,4.0000000000000515,4.629810673738044,Traveling,Idle,0.0,4.0,4.629810673738044,Traveling,Idle,-1.0447368421052357,-1.0447368421052872
8,09:45,0.0,5.044736842105287,4.629810673738044,Traveling,Idle,0.0,4.0000000000000515,4.7804282268653635,Digging,Idle,7.999999999999998,6.0,0.0,Charging,Serving CEV,-1.0447368421052357,0.9552631578947128
9,10:00,0.0,5.044736842105287,3.059581049194092,Loading/Swinging,Idle,-5.570982194079158e-12,3.999999999998659,4.658068504549374,Digging,Idle,0.0,6.0,4.7804282268653635,Digging,Idle,-1.0447368421066283,0.9552631578947128
10,10:15,0.0,5.044736842105287,4.7804282268653635,Digging,Idle,8.000000000000002,5.999999999998659,0.0,Charging,Serving CEV,0.0,6.0,4.658068504549374,Digging,Idle,0.9552631578933717,0.9552631578947128
11,10:30,0.0,5.044736842105287,4.658068504549374,Digging,Idle,0.0,5.999999999998659,4.796417449870341,Digging,Idle,0.0,6.0,4.796417449870341,Digging,Idle,0.9552631578933717,0.9552631578947128
