Time_Period,CEV_1_A0_kWh,CEV_1_A1S_kWh
1,14.8,14.8
2,13.539540057307022,13.539540057307022
3,12.25411999785401,14.684629470667419
4,14.25411999785401,13.399209411214455
5,13.018670076523254,12.163759489883699
6,11.793421265248272,14.109091605794495
7,13.793421265248272,12.883842794519513
8,14.8,14.472429326604237
9,13.611244722993172,13.283674049597408
10,12.845187996550486,12.12295390023705
11,11.684467847190128,10.955815908056525
12,10.517329855009603,9.759928999315662
13,12.517329855009603,11.759928999315662
14,11.32144294626874,10.993872272872975
15,10.260160175066042,9.932589501670279
16,9.017955857709051,8.690385184313323
17,7.827192799128554,7.4996221257328255
18,9.827192799128554,9.477256730224832
19,11.827192799128554,11.37317069840922
20,11.827192799128554,11.37317069840922
21,11.827192799128554,11.37317069840922
22,11.827192799128554,11.37317069840922
23,11.827192799128554,11.37317069840922
24,11.827192799128554,11.37317069840922
25,11.827192799128554,11.37317069840922
26,10.649174957570054,10.19515285685072
27,9.570998001721795,9.116975901002462
28,8.270818560798249,7.8167964600789155
29,7.103709277132539,7.114621432194254
30,7.103709277132539,7.114621432194254
31,6.401534249247878,6.291020130918305
32,5.577932947971929,5.45957454411263
33,4.746487361166254,4.721686502920695
34,3.665957180562679,3.64115632231712
35,5.665957180562672,5.4797022988254165
36,4.928069139370737,4.312593015159706
37,4.145565840717612,3.5300897165065814
38,4.145565840717612,5.393153172815426
39,4.145565840717612,7.393153172815426
40,4.145565840717612,9.393153172815426
41,4.145565840717612,11.393153172815426
42,4.145565840717612,13.393153172815426
43,4.145565840717612,14.8
44,4.145565840717612,14.8
45,6.145565840717612,14.8
46,8.145565840717612,14.8
47,8.145565840717612,14.8
48,10.145565840717612,14.8
49,12.145565840717612,14.8
50,12.180302682822896,14.8
51,14.180302682822896,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
