Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A1S_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.415027202490963,Digging,Traveling,0.0,0.0,4.415027202490963,Digging,Traveling,0.0
2,08:15,0.0,0.0,4.620747400505706,Digging,Idle,0.0,0.0,4.620747400505706,Digging,Idle,0.0
3,08:30,7.999999999999999,1.9999999999999998,0.0,Charging,Serving CEV,-1.5631940186722204e-13,-3.907985046680551e-14,5.296171160992352,Digging,Idle,-2.000000000000039
4,08:45,0.0,1.9999999999999998,5.296171160992352,Digging,Idle,0.0,-3.907985046680551e-14,4.712058820360794,Digging,Idle,-2.000000000000039
5,09:00,0.0,1.9999999999999998,4.712058820360794,Digging,Idle,8.0,1.999999999999961,0.0,Charging,Serving CEV,-3.885780586188048e-14
6,09:15,8.0,4.0,0.0,Charging,Serving CEV,0.0,1.999999999999961,4.549521347476088,Traveling,Idle,-2.000000000000039
7,09:30,4.178947368421149,5.044736842105287,0.0,Charging,Serving CEV,8.000000000000002,3.9999999999999614,0.0,Charging,Serving CEV,-1.0447368421053258
8,09:45,0.0,5.044736842105287,4.549521347476088,Traveling,Idle,7.993185191395943,5.998296297848947,0.0,Charging,Serving CEV,0.95355945574366
9,10:00,0.0,5.044736842105287,2.960562098388184,Loading/Swinging,Idle,0.0,5.998296297848947,4.7683564537307275,Digging,Traveling,0.95355945574366
10,10:15,0.0,5.044736842105287,4.7683564537307275,Digging,Idle,0.0,5.998296297848947,4.523637009098747,Digging,Charging (grid),0.95355945574366
11,10:30,0.0,5.044736842105287,4.523637009098747,Digging,Idle,0.0,5.998296297848947,4.800334899740681,Digging,Charging (grid),0.95355945574366
12,10:45,8.0,7.044736842105287,0.0,Charging,Serving CEV,0.0,5.998296297848947,4.89426933187888,Digging,Charging (grid),-1.04644054425634
13,11:00,0.0,7.044736842105287,4.800334899740681,Digging,Idle,0.0,5.998296297848947,0.0,Idle,Charging (grid),-1.04644054425634
14,11:15,0.0,7.044736842105287,4.52224310329452,Traveling,Idle,0.0,5.998296297848947,4.52224310329452,Traveling,Charging (grid),-1.04644054425634
15,11:30,0.0,7.044736842105287,4.89426933187888,Digging,Idle,0.0,5.998296297848947,4.91853596878638,Digging,Charging (grid),-1.04644054425634
16,11:45,0.0,7.044736842105287,4.91853596878638,Digging,Idle,0.0,5.998296297848947,4.6916898563202825,Digging,Charging (grid),-1.04644054425634
17,12:00,8.0,9.044736842105287,0.0,Charging,Serving CEV,0.0,5.998296297848947,0.0,,Charging (grid),-3.04644054425634
18,12:15,8.0,11.044736842105287,0.0,Charging,Serving CEV,0.0,5.998296297848947,0.0,,Charging (grid),-5.04644054425634
19,12:30,0.0,11.044736842105287,0.0,,Traveling,0.0,5.998296297848947,0.0,,Charging (grid),-5.04644054425634
20,12:45,0.0,11.044736842105287,0.0,,Charging (grid),0.0,5.998296297848947,0.0,,Charging (grid),-5.04644054425634
21,13:00,0.0,11.044736842105287,0.0,,Charging (grid),0.0,5.998296297848947,0.0,,Charging (grid),-5.04644054425634
22,13:15,0.0,11.044736842105287,0.0,,Charging (grid),0.0,5.998296297848947,0.0,,Traveling,-5.04644054425634
23,13:30,0.0,11.044736842105287,0.0,,Charging (grid),2.8167017082633845,6.702471724914793,0.0,Charging,Serving CEV,-4.342265117190494
24,13:45,0.0,11.044736842105287,0.0,,Charging (grid),7.851752541670352,8.665409860332382,0.0,Charging,Serving CEV,-2.3793269817729055
25,14:00,0.0,11.044736842105287,4.6916898563202825,Digging,Charging (grid),0.0,8.665409860332382,4.983770362406921,Digging,Idle,-2.3793269817729055
26,14:15,0.0,11.044736842105287,4.983770362406921,Digging,Charging (grid),0.0,8.665409860332382,4.58849985458404,Digging,Idle,-2.3793269817729055
27,14:30,0.0,11.044736842105287,5.288492335190083,Traveling,Charging (grid),7.573350094639415,10.558747383992236,0.0,Charging,Serving CEV,-0.4859894581130515
28,14:45,0.0,11.044736842105287,4.58849985458404,Digging,Charging (grid),0.0,10.558747383992236,5.288492335190083,Traveling,Idle,-0.4859894581130515
29,15:00,0.0,11.044736842105287,0.0,Idle,Charging (grid),0.0,10.558747383992236,2.960562098388184,Loading/Swinging,Idle,-0.4859894581130515
