Time_Period,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,250.0,250.0
4,250.00000000000003,250.00000000000549
5,250.00000000000003,247.89473684211075
6,247.8947368421053,247.89473684211075
7,247.8947368421053,245.78947368421544
8,245.78947368421055,245.78947368421544
9,243.6860038970011,243.68600389700086
10,243.6860038970011,243.68600389700086
11,244.15192832510533,244.1122130794171
12,244.61785275320958,244.54254248792347
13,245.08377718131382,244.9758162709328
14,245.54970160941807,245.41027308497445
15,246.0156260375223,245.84793127972623
16,246.48155046562655,246.2866939459176
17,246.94747489373086,246.72748836995055
18,247.41339932183516,247.1682827939835
19,247.87932374993946,247.62017971366973
20,248.34524817804376,248.07207663335595
21,248.81117260614806,248.52397355304217
22,249.27709703425236,248.9758704727284
23,249.27709703425236,248.9758704727284
24,248.53585974260412,246.87060731483365
25,246.4696090737435,245.00095372745838
26,246.4696090737435,245.00095372745838
27,246.4696090737435,245.00095372745838
28,244.47662220673314,245.00095372745838
29,244.47662220673314,245.00095372745838
30,244.47662220673314,242.89569056956364
31,244.47662220673314,242.89569056956364
32,244.47662220673314,242.89569056956364
33,242.3713590488384,242.89569056956364
34,242.3713590488384,242.89569056956364
35,242.3713590488384,240.7904274116689
36,242.3713590488384,240.7904274116689
37,242.3713590488384,240.7904274116689
38,242.22389708331906,238.68516425377416
39,240.11863392542432,236.57990109587942
40,238.01337076752958,234.47463793798468
41,236.13747541391425,232.36937478008994
42,234.0322122560195,230.2641116221952
43,231.92694909812477,229.9124610936434
44,230.14202392283028,229.9124610936434
45,230.14202392283028,229.9124610936434
46,230.14202392283028,229.9124610936434
47,230.14202392283028,229.9124610936434
48,230.14202392283028,229.9124610936434
49,230.14202392283028,229.9124610936434
50,230.14202392283028,229.9124610936434
51,230.14202392283028,229.9124610936434
52,230.14202392283028,229.9124610936434
53,230.14202392283028,229.9124610936434
54,230.60794835093458,230.36899606878788
55,231.07387277903888,230.82553104393236
56,231.53979720714318,231.28206601907684
57,232.00572163524748,231.73860099422131
58,232.47164606335178,232.1951359693658
59,232.93757049145609,232.65167094451027
60,233.4034949195604,233.10820591965475
61,233.8694193476647,233.56474089479923
62,234.15856944445406,234.0212758699437
63,234.62449387255836,234.4778108450882
64,235.09041830066263,234.93434582023266
65,235.09041830066263,235.39088079537703
66,235.55634272876694,235.8474157705215
67,236.02226715687124,236.303950745666
68,236.48819158497554,236.76048572081046
69,236.95411601307984,237.21702069595494
70,237.42004044118414,237.67355567109942
71,237.88596486928844,238.1300906462439
72,238.35188929739274,238.58662562138838
73,238.81781372549705,239.04316059653286
74,239.28373815360135,239.49969557167734
75,239.74966258170565,239.9562305468218
76,240.21558700980995,240.4127655219663
77,240.68151143791425,240.86930049711077
78,241.14743586601855,241.32583547225525
79,241.61336029412286,241.78237044739973
80,242.07928472222716,242.2389054225442
81,242.54520915033146,242.69544039768869
82,243.01113357843576,243.15197537283316
83,243.47705800654006,243.60851034797764
84,243.94298243464436,244.06504532312212
85,244.40890686274867,244.5215802982666
86,244.87483129085297,244.97811527341108
87,245.34075571895727,245.43465024855556
88,245.80668014706157,245.89118522370003
89,246.27260457516587,246.3477201988445
90,246.73852900326995,246.80425517398874
91,247.20445343137425,247.2607901491332
92,247.6703778594785,247.71732512427766
93,248.1363022875828,248.17386009942211
94,248.6022267156871,248.63039507456656
95,249.0681511437914,249.08693004971104
96,249.5340755718957,249.54346502485552
97,250.0,250.0
