Time_Period,CEV_1_A0_kWh,CEV_1_A2S_kWh
1,14.8,14.8
2,13.458525000000002,13.49755
3,12.289200000000001,12.306225000000001
4,14.289200000000001,11.165500000000002
5,13.048350000000001,13.165500000000002
6,11.907625000000001,12.294700000000002
7,10.838500000000002,11.143050000000002
8,12.805375000000002,13.143050000000002
9,14.790124999999994,11.808325000000002
10,13.598799999999994,13.742600000000001
11,12.402724999999993,12.461950000000002
12,11.207499999999992,11.591150000000003
13,13.207499999999992,13.591150000000003
14,11.926849999999993,12.540500000000002
15,10.592749999999993,11.3861
16,9.520074999999993,10.163475
17,8.455524999999993,8.9674
18,10.455524999999993,8.9674
19,12.455524999999993,8.9674
20,12.455524999999993,8.9674
21,12.455524999999993,8.9674
22,12.455524999999993,8.9674
23,12.455524999999993,8.9674
24,12.455524999999993,8.9674
25,12.455524999999993,10.692286393688576
26,11.260524999999992,9.833061393688576
27,10.065524999999992,8.637836393688575
28,8.716624999999992,7.699486393688575
29,7.775174999999992,6.951911393688575
30,7.775174999999992,8.951911393688576
31,7.1747749999999915,8.217761393688576
32,6.607249999999992,6.995136393688576
33,5.748224999999992,6.211536393688577
34,4.5939749999999915,5.083611393688576
35,6.5939749999999915,7.0770613936885765
36,5.846399999999991,6.329486393688576
37,5.096299999999991,5.715611393688576
38,6.5461529904306275,7.2781257161216555
39,6.5461529904306275,9.278125716121655
40,6.5461529904306275,11.278125716121655
41,8.546152990430627,13.278125716121655
42,10.546152990430627,14.8
43,12.546152990430627,14.8
44,14.546152990430627,14.8
45,14.8,14.8
46,14.8,14.8
47,14.8,14.8
48,14.8,14.8
49,14.8,14.8
50,14.8,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
98,13.604775,13.605
99,14.778139613237629,12.32435
100,13.592514613237629,11.1867
101,12.43043961323763,13.069475
102,14.10216461323763,14.8
103,12.767439613237629,13.586400000000001
104,14.606815681818171,12.372800000000002
105,13.41549068181817,14.372800000000002
106,12.22049068181817,13.300125000000001
107,11.02549068181817,12.177150000000001
108,9.84811568181817,11.02275
109,11.84811568181817,13.0162
110,10.63451568181817,11.820124999999999
111,9.41189068181817,10.697149999999999
112,8.216665681818169,9.336875
113,7.516665681818169,8.002149999999999
114,9.516665681818171,10.002149999999999
115,11.516665681818171,12.002149999999999
116,11.516665681818171,14.002149999999999
117,11.516665681818171,14.002149999999999
118,11.516665681818171,14.8
119,11.516665681818171,14.8
120,11.516665681818171,14.8
121,11.516665681818171,14.8
122,10.447540681818172,13.617375000000001
123,9.256215681818173,12.257100000000001
124,8.061215681818172,11.174125000000002
125,7.408665681818173,10.051150000000002
126,7.408665681818173,10.929520683017959
127,6.592290681818173,10.276970683017959
128,5.555690681818173,9.09959568301796
129,4.805590681818173,8.01662068301796
130,3.8557906818181733,9.98349568301796
131,5.738565681818173,9.21179568301796
132,4.674015681818172,8.39542068301796
133,3.591040681818172,7.53619568301796
134,3.591040681818358,9.53619568301796
135,3.591040681818358,11.53619568301796
136,5.591040681818358,13.53619568301796
137,5.591040681818358,14.8
138,7.591040681818358,14.8
139,9.591040681818358,14.8
140,11.591040681818358,14.8
141,13.591040681818358,14.8
142,14.8,14.8
143,14.8,14.8
144,14.8,14.8
145,14.8,14.8
146,14.8,14.8
147,14.8,14.8
148,14.8,14.8
149,14.8,14.8
150,14.8,14.8
151,14.8,14.8
152,14.8,14.8
153,14.8,14.8
154,14.8,14.8
155,14.8,14.8
156,14.8,14.8
157,14.8,14.8
158,14.8,14.8
159,14.8,14.8
160,14.8,14.8
161,14.8,14.8
162,14.8,14.8
163,14.8,14.8
164,14.8,14.8
165,14.8,14.8
166,14.8,14.8
167,14.8,14.8
168,14.8,14.8
169,14.8,14.8
170,14.8,14.8
171,14.8,14.8
172,14.8,14.8
173,14.8,14.8
174,14.8,14.8
175,14.8,14.8
176,14.8,14.8
177,14.8,14.8
178,14.8,14.8
179,14.8,14.8
180,14.8,14.8
181,14.8,14.8
182,14.8,14.8
183,14.8,14.8
184,14.8,14.8
185,14.8,14.8
186,14.8,14.8
187,14.8,14.8
188,14.8,14.8
189,14.8,14.8
190,14.8,14.8
191,14.8,14.8
192,14.8,14.8
193,14.8,14.8
194,13.273100000000001,13.68745
195,12.103775,12.546725
196,14.103775,11.266075
197,12.91245,10.1934
198,11.726825,10.1934
199,10.49305,9.14275
200,12.49305,7.988499999999999
201,11.310425,6.774899999999999
202,10.439625,5.567974999999999
203,9.36695,7.450749999999998
204,8.171724999999999,6.750749999999998
205,10.054499999999999,5.409274999999998
206,9.3545,7.080999999999999
207,8.3179,5.898374999999999
208,7.673,4.7753999999999985
209,6.312725,3.7027249999999983
210,8.312725,5.702724999999998
211,10.312725,7.702724999999998
212,12.312725,7.702724999999998
213,14.312725,9.702724999999997
214,14.8,9.702724999999997
215,14.8,10.650169420129197
216,14.8,12.650169420129197
217,14.8,12.939144933889391
218,13.604775,11.76981993388939
219,12.46405,10.57481993388939
220,14.402025,9.285344933889391
221,13.24995,8.513644933889392
222,12.5974,10.513644933889392
223,11.262675,9.473994933889392
224,10.1797,8.333269933889392
225,12.179699999999997,6.8651199338893925
226,11.308899999999998,5.338219933889393
227,9.781999999999998,7.158519933889393
228,8.819824999999998,6.458519933889392
229,7.960599999999998,5.6577699338893925
230,9.960599999999998,7.6577699338893925
231,11.960599999999998,9.657769933889393
232,13.960599999999998,11.657769933889393
233,14.8,13.657769933889393
234,14.8,14.8
235,14.8,14.8
236,14.8,14.8
237,14.8,14.8
238,14.8,14.8
239,14.8,14.8
240,14.8,14.8
241,14.8,14.8
242,14.8,14.8
243,14.8,14.8
244,14.8,14.8
245,14.8,14.8
246,14.8,14.8
247,14.8,14.8
248,14.8,14.8
249,14.8,14.8
250,14.8,14.8
251,14.8,14.8
252,14.8,14.8
253,14.8,14.8
254,14.8,14.8
