Metric,A0,A1S,A2S
Total_Cost_USD,2800.65,762.82,182.29
Total_Energy_Cost_USD,46.06,47.68,48.36
Total_CO2_Cost_USD,1.85,1.98,2.0
NC_demand_charge_USD,50.83,57.48,57.25
OP_demand_charge_USD,0.0,0.0,0.0
Missed_Work_Penalty_USD,2565.63,585.69,4.69
Travel_Labour_USD,90.0,70.0,70.0
Terminal_Shortfall_Penalty_USD,46.28,0.0,0.0
Total_Grid_Energy_kWh,144.39,150.91,152.44
Total_CO2_Emissions_kg,37.08,39.57,39.96
NCD_Peak_kW,2.53,2.86,2.85
OPD_Peak_kW,0.0,0.0,0.0
Missed_Work_hour,1.28,0.29,0.0
MCS_Transit_hour,4.5,3.5,3.5
Terminal_SOE_Shortfall_kWh,0.098,0.0,0.0
Infeasible_windows,0,0,0
Solve_time_s,36.0,216.83,15724.31
