Time_Period,CEV_1_A0_kWh,CEV_1_A2S_kWh
1,14.8,14.8
2,13.73589247134649,13.73589247134649
3,12.684265001072996,12.684265001072996
4,14.684265001072996,11.607652461738374
5,13.607652461738374,10.525939367375864
6,12.525939367375864,12.525939367375864
7,14.525939367375864,14.525939367375866
8,14.8,13.577330822081313
9,13.851391454705448,12.500758247401134
10,13.194208809973787,14.500758234883909
11,12.117636235293608,13.420976738793646
12,11.037854739203345,12.326820784423214
13,13.037854739203345,14.326820784423214
14,11.943698784832913,13.669638139691553
15,11.009709776381737,12.735649131240379
16,9.936474435060232,11.662413789918874
17,8.844880405769983,10.570819760628625
18,10.844880405769983,10.570819760628625
19,12.844880405769983,10.570819760628625
20,12.844880405769983,10.570819760628625
21,12.844880405769983,10.570819760628625
22,12.844880405769983,10.570819760628625
23,12.844880405769983,10.570819760628625
24,12.844880405769983,10.570819760628625
25,12.844880405769983,10.570819760628625
26,11.759658984990732,9.485598339849375
27,10.724358007066604,8.450297361925246
28,9.792297159196918,7.518236514055561
29,8.712530017364063,6.845290039730775
30,8.712530017364063,8.845290039730775
31,8.039583543039278,8.164502227805748
32,7.35879573111425,7.084735085972893
33,6.690119891646996,9.084735085972893
34,5.730971270923052,8.41605924650564
35,7.730971270923045,7.4569106257816955
36,7.038017760891579,6.763957115750229
37,6.343326925266318,6.069266280124968
38,6.343326925266318,8.069266280124967
39,6.343326925266318,10.069266280124967
40,6.343326925266318,12.069266280124967
41,6.343326925266318,14.069266280124967
42,6.343326925266318,14.8
43,6.343326925266318,14.8
44,6.343326925266318,14.8
45,8.343326925266318,14.8
46,10.343326925266318,14.8
47,10.343326925266318,14.8
48,12.343326925266318,14.8
49,14.343326925266318,14.8
50,14.378063767371602,14.8
51,14.8,14.8
52,14.8,14.8
53,14.8,14.8
54,14.8,14.8
55,14.8,14.8
56,14.8,14.8
57,14.8,14.8
58,14.8,14.8
59,14.8,14.8
60,14.8,14.8
61,14.8,14.8
62,14.8,14.8
63,14.8,14.8
64,14.8,14.8
65,14.8,14.8
66,14.8,14.8
67,14.8,14.8
68,14.8,14.8
69,14.8,14.8
70,14.8,14.8
71,14.8,14.8
72,14.8,14.8
73,14.8,14.8
74,14.8,14.8
75,14.8,14.8
76,14.8,14.8
77,14.8,14.8
78,14.8,14.8
79,14.8,14.8
80,14.8,14.8
81,14.8,14.8
82,14.8,14.8
83,14.8,14.8
84,14.8,14.8
85,14.8,14.8
86,14.8,14.8
87,14.8,14.8
88,14.8,14.8
89,14.8,14.8
90,14.8,14.8
91,14.8,14.8
92,14.8,14.8
93,14.8,14.8
94,14.8,14.8
95,14.8,14.8
96,14.8,14.8
97,14.8,14.8
98,13.739029374415523,13.739029374415523
99,12.670103401943528,12.670103401943528
100,14.670103401943528,11.726662971200064
101,13.726662971200064,10.64456014881801
102,12.64456014881801,12.64456014881801
103,11.572770899130184,11.572770899130184
104,13.572770899130184,13.572770899130184
105,14.8,12.488569690959837
106,13.715798791829654,11.39667843956329
107,12.623907540433107,13.39667843956329
108,11.655649383692012,12.428420282822195
109,10.561075349167067,11.33384624829725
110,10.561075349167067,10.264454080620864
111,9.49168318149068,9.19498534433658
112,8.422214445206397,9.19498534433658
113,7.339511269393837,8.11228216852402
114,7.339511269393837,8.11228216852402
115,7.339511269393837,8.11228216852402
116,7.339511269393837,8.11228216852402
117,7.339511269393837,8.11228216852402
118,7.339511269393837,8.11228216852402
119,7.339511269393837,8.11228216852402
120,9.339511269393837,8.11228216852402
121,11.339511269393837,9.869398031189323
122,10.402345915564188,8.932232677359675
123,9.336650533227978,7.866537295023464
124,11.336650533227978,6.812258340762834
125,10.282371578967346,6.126547670886742
126,9.596660909091256,8.126547670886742
127,8.910371883721439,7.440258645516925
128,8.043939553061671,6.573826314857158
129,10.043939553061671,8.573826314857158
130,9.395569290453473,7.92545605224896
131,8.724033917354468,7.253920679149955
132,8.048527981880898,6.578414743676386
133,7.350866738825371,5.880753500620858
134,9.35086673882537,7.880753500620858
135,11.35086673882537,9.880753500620859
136,13.35086673882537,11.880753500620859
137,14.8,13.880753500620859
138,14.8,14.8
139,14.8,14.8
140,14.8,14.8
141,14.8,14.8
142,14.8,14.8
143,14.8,14.8
144,14.8,14.8
145,14.8,14.8
146,14.8,14.8
147,14.8,14.8
148,14.8,14.8
149,14.8,14.8
150,14.8,14.8
151,14.8,14.8
152,14.8,14.8
153,14.8,14.8
154,14.8,14.8
155,14.8,14.8
156,14.8,14.8
157,14.8,14.8
158,14.8,14.8
159,14.8,14.8
160,14.8,14.8
161,14.8,14.8
162,14.8,14.8
163,14.8,14.8
164,14.8,14.8
165,14.8,14.8
166,14.8,14.8
167,14.8,14.8
168,14.8,14.8
169,14.8,14.8
170,14.8,14.8
171,14.8,14.8
172,14.8,14.8
173,14.8,14.8
174,14.8,14.8
175,14.8,14.8
176,14.8,14.8
177,14.8,14.8
178,14.8,14.8
179,14.8,14.8
180,14.8,14.8
181,14.8,14.8
182,14.8,14.8
183,14.8,14.8
184,14.8,14.8
185,14.8,14.8
186,14.8,14.8
187,14.8,14.8
188,14.8,14.8
189,14.8,14.8
190,14.8,14.8
191,14.8,14.8
192,14.8,14.8
193,14.8,14.8
194,13.825631694321201,13.825631694321201
195,12.778464062538562,12.778464062538562
196,14.778464062538562,11.69630684105647
197,13.69630684105647,13.69630684106777
198,12.603237299158247,12.603237299169546
199,11.524190036451028,11.524190036462327
200,13.524190036451028,10.551609900768797
201,12.551609900757498,12.551609900768797
202,11.48127085595598,11.48127085596728
203,10.393842061747558,10.393842061758857
204,9.352710190320455,9.702803941256667
205,11.352710190320455,8.661672069829564
206,10.300933610719564,10.661672069829564
207,9.330606978211524,9.691345437321523
208,8.255144505884354,8.639568857720633
209,7.173458381564394,7.965004256627315
210,9.173458381564394,9.965004256627315
211,11.173458381564394,11.965004256627315
212,13.173458381564394,13.965004256627315
213,13.173458381564394,13.965004256627315
214,13.173458381564394,13.965004256627234
215,13.173458381564394,13.965004256627234
216,13.173458381564394,14.8
217,13.173458381564394,14.8
218,12.482420261062204,13.724537527672831
219,11.404159862996078,12.642851403352871
220,10.465621427940562,11.704312968297355
221,9.791056826847244,10.626052570231229
222,9.791056826847244,12.626052570231229
223,9.112843697565502,11.947839440949487
224,8.437099141060914,10.86327009465536
225,7.744285746093246,10.187525538150773
226,6.795484451908395,12.187525538150773
227,8.795484451908395,11.238724243965923
228,8.123334177006715,10.545910848998256
229,7.038764830712588,9.873760574096575
230,7.038764830712588,11.873760574096575
231,7.038764830712588,13.873760574096575
232,7.038764830712588,14.8
233,9.038764830712587,14.8
234,11.038764830712587,14.8
235,11.038764830712587,14.8
236,13.038764830712587,14.8
237,14.8,14.8
238,14.8,14.8
239,14.8,14.8
240,14.8,14.8
241,14.8,14.8
242,14.8,14.8
243,14.8,14.8
244,14.8,14.8
245,14.8,14.8
246,14.8,14.8
247,14.8,14.8
248,14.8,14.8
249,14.8,14.8
250,14.8,14.8
251,14.8,14.8
252,14.8,14.8
253,14.8,14.8
254,14.8,14.8
255,14.8,14.8
256,14.8,14.8
257,14.8,14.8
258,14.8,14.8
259,14.8,14.8
260,14.8,14.8
261,14.8,14.8
262,14.8,14.8
263,14.8,14.8
264,14.8,14.8
265,14.8,14.8
266,14.8,14.8
267,14.8,14.8
268,14.8,14.8
269,14.8,14.8
270,14.8,14.8
271,14.8,14.8
272,14.8,14.8
273,14.8,14.8
274,14.8,14.8
275,14.8,14.8
276,14.8,14.8
277,14.8,14.8
278,14.8,14.8
279,14.8,14.8
280,14.8,14.8
281,14.8,14.8
282,14.8,14.8
283,14.8,14.8
284,14.8,14.8
285,14.8,14.8
286,14.8,14.8
287,14.8,14.8
288,14.8,14.8
289,14.8,14.8
290,13.723958073229241,13.723958073229241
291,12.651280724299419,12.651280724299419
292,11.67953725787618,11.67953725787618
293,13.679537257876156,10.621156754432171
294,12.621156754432146,11.942141874796903
295,11.533319262806677,13.942141874796903
296,13.533319262806677,12.854304383171433
297,12.438877729547482,11.759862849912238
298,11.356900429030308,10.677885549395064
299,10.427529256319124,12.677885549395064
300,9.370382397626377,11.74851437668388
301,11.370382397626377,13.74851437668388
302,10.289922060336567,12.691367517991134
303,9.233692150917147,11.610907180701323
304,8.15881234812265,10.554677271281903
305,7.21701015705448,9.479797468487407
306,9.21701015705448,11.479797468487407
307,11.21701015705448,13.479797468487407
308,13.21701015705448,14.8
309,14.8,14.8
310,14.8,14.8
311,14.8,14.8
312,14.8,14.8
313,14.8,14.8
314,13.73258534476486,13.85819780893183
315,12.637310422217006,12.79078315369669
316,14.321231474848764,12.119971950316135
317,13.650420271468208,11.02469702776828
318,14.8,13.02469702776828
319,14.125361137916665,12.350058165684944
320,13.142050243717863,11.366747271486142
321,12.452627864265546,10.677324892033825
322,14.452627864265544,9.986550752420497
323,13.761853724652216,11.986550752420497
324,13.068991845063188,11.293688872831469
325,12.406871399069553,10.631568426837834
326,14.406871399069553,12.631568426837834
327,14.8,14.631568426837834
328,14.8,14.8
329,14.8,14.8
330,14.8,14.8
331,14.8,14.8
332,14.8,14.8
333,14.8,14.8
334,14.8,14.8
335,14.8,14.8
336,14.8,14.8
337,14.8,14.8
338,14.8,14.8
339,14.8,14.8
340,14.8,14.8
341,14.8,14.8
342,14.8,14.8
343,14.8,14.8
344,14.8,14.8
345,14.8,14.8
346,14.8,14.8
347,14.8,14.8
348,14.8,14.8
349,14.8,14.8
350,14.8,14.8
351,14.8,14.8
352,14.8,14.8
353,14.8,14.8
354,14.8,14.8
355,14.8,14.8
356,14.8,14.8
357,14.8,14.8
358,14.8,14.8
359,14.8,14.8
360,14.8,14.8
361,14.8,14.8
362,14.8,14.8
363,14.8,14.8
364,14.8,14.8
365,14.8,14.8
366,14.8,14.8
367,14.8,14.8
368,14.8,14.8
369,14.8,14.8
370,14.8,14.8
371,14.8,14.8
372,14.8,14.8
373,14.8,14.8
374,14.8,14.8
375,14.8,14.8
376,14.8,14.8
377,14.8,14.8
378,14.8,14.8
379,14.8,14.8
380,14.8,14.8
381,14.8,14.8
382,14.8,14.8
383,14.8,14.8
384,14.8,14.8
385,14.8,14.8
386,13.837100375869438,13.837100375869438
387,14.8,12.763741885461995
388,13.726641509592557,11.687531814457563
389,12.650431438588125,13.687531814457563
390,11.560491009995776,12.597591385865213
391,10.466092605825025,11.503192981694461
392,12.466092605825029,10.52013209563203
393,11.483031719762598,9.446039501805473
394,10.40893912593604,11.446039501805473
395,9.31575453459135,10.352854910460783
396,8.25641963965913,9.293520015528562
397,9.347261744922282,8.211974334289076
398,8.265716063682795,7.288342507019467
399,7.342084236413187,9.288342507019468
400,6.273974589297213,8.220232859903494
401,5.183380154782428,7.129638425388709
402,7.183380154782428,9.129638425388709
403,9.183380154782432,9.129638425388709
404,11.183380154782432,10.450781180723556
405,13.183380154782432,12.450781180723556
406,14.8,12.450781180723556
407,14.8,12.828446342061765
