Time_Period,MCS_1_A0_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,250.0,250.0
4,247.89473684210526,250.0
5,247.8947368421053,250.0
6,247.8947368421053,247.89473684210523
7,245.78947368421055,247.89473684210523
8,244.68975069252076,247.89473684210523
9,244.68975069252076,245.7894736842105
10,244.68975069252076,243.68421052631575
11,244.68975069252076,243.68421052631575
12,244.68975069252076,243.68421052631575
13,242.58448753462602,243.68421052631575
14,242.58448753462602,241.57894736842084
15,242.58448753462602,241.57894736842084
16,242.58448753462602,241.57894736842084
17,242.58448753462602,241.57894736842084
18,240.47922437673128,239.61170333080668
19,238.37396121883654,238.16853535207227
20,238.37396121883654,238.16853535207227
21,238.83710939398355,238.60349026535226
22,239.30025756913057,239.04239571406066
23,239.76340574427758,239.48130116276906
24,240.2265539194246,239.92020661147745
25,240.6897020945716,240.35911206018585
26,241.1528502697186,240.79801750889422
27,241.61599844486562,241.23692295760262
28,242.07914662001264,241.675828406311
29,242.54229479515965,242.12085664679248
30,243.00544297030666,242.56805111030656
31,243.46859114545367,243.0159927887779
32,243.93173932060068,243.46393446724926
33,244.3948874957477,243.91244079630494
34,244.3948874957477,243.91244079630494
35,242.28962433785296,241.8071776384102
36,242.28962433785296,241.8071776384102
37,242.28962433785296,241.8071776384102
38,242.28962433785296,239.70191448051546
39,242.28962433785296,237.59665132262072
40,242.28962433785296,235.49138816472598
41,242.28962433785296,233.38612500683124
42,242.28962433785296,231.2808618489365
43,242.28962433785296,230.53042775549545
44,242.28962433785296,230.53042775549545
45,240.18436117995822,230.53042775549545
46,238.07909802206348,230.53042775549545
47,238.07909802206348,230.53042775549545
48,235.97383486416874,230.53042775549545
49,233.868571706274,230.53042775549545
50,233.83200660932107,230.53042775549545
51,231.72674345142633,230.53042775549545
52,229.6214802935316,230.53042775549545
53,229.6214802935316,230.53042775549545
54,230.0846284686786,230.97893408455113
55,230.5477766438256,231.4274404136068
56,231.01092481897263,231.87594674266248
57,231.47407299411964,232.32445307171815
58,231.93722116926665,232.77295940077383
59,232.40036934441366,233.2214657298295
60,232.86351751956067,233.66997205888518
61,233.32666569470769,234.11847838794085
62,233.7898138698547,234.56698471699653
63,234.2529620450017,235.0154910460522
64,234.71611022014872,235.46399737510788
65,235.17925839529573,235.64779747021817
66,235.64240657044274,236.09630379927384
67,236.10555474558976,236.54481012832952
