Time_Period,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,248.63790307884045,250.0
4,248.63790307884045,250.0
5,248.63790307884045,250.0
6,248.63790307884045,247.89473684210523
7,248.63790307884045,247.89473684210523
8,246.5326399209457,247.89473684210523
9,244.42737676305106,245.7894736842105
10,244.42737676305106,243.68421052631575
11,244.8340365606638,243.68421052631575
12,245.30335746756072,243.68421052631575
13,245.77267837445763,243.68421052631575
14,246.24244808297294,241.57894736842084
15,246.71161204039277,241.57894736842084
16,247.17382153864972,241.57894736842084
17,247.6458753908774,241.57894736842084
18,248.11792924310507,239.61170333080668
19,248.58383844331698,238.16853535207227
20,249.05589229554462,238.16853535207227
21,249.52794614777233,238.60349026535226
22,250.0,239.04239571406066
23,250.0,239.48130116276906
24,248.18107756094096,239.92020661147745
25,246.1715471629967,240.35911206018585
26,246.1715471629967,240.79801750889422
27,246.1715471629967,241.23692295760262
28,244.24964167291245,241.675828406311
29,244.24964167291245,242.12085664679248
30,244.24964167291245,242.56805111030656
31,244.24964167291245,243.0159927887779
32,244.24964167291245,243.46393446724926
33,242.1737799614789,243.91244079630494
34,242.1737799614789,243.91244079630494
35,242.1737799614789,241.8071776384102
36,242.1737799614789,241.8071776384102
37,242.1737799614789,241.8071776384102
38,240.06851680358417,239.70191448051546
39,238.23698585962802,237.59665132262072
40,236.13172270173328,235.49138816472598
41,234.02645954383854,233.38612500683124
42,231.9211963859438,231.2808618489365
43,230.2447395658196,230.53042775549545
44,230.2447395658196,230.53042775549545
45,230.2447395658196,230.53042775549545
46,230.2447395658196,230.53042775549545
47,230.2447395658196,230.53042775549545
48,230.2447395658196,230.53042775549545
49,230.2447395658196,230.53042775549545
50,230.2447395658196,230.53042775549545
51,230.2447395658196,230.53042775549545
52,230.2447395658196,230.53042775549545
53,230.2447395658196,230.53042775549545
54,230.7167934180473,230.97893408455113
55,231.188847270275,231.4274404136068
56,231.6609011225027,231.87594674266248
57,232.1329549747304,232.32445307171815
58,232.6050088269581,232.77295940077383
59,233.07706267918581,233.2214657298295
60,233.54911653141352,233.66997205888518
61,234.02117038364122,234.11847838794085
62,234.02117038364122,234.56698471699653
63,234.49322423586892,235.0154910460522
64,234.8942767287132,235.46399737510788
65,234.8942767287132,235.64779747021817
66,235.3663305809409,236.09630379927384
67,235.8383844331686,236.54481012832952
68,236.31043828539632,236.9933164573852
