Time_Period,Clock,Site_2_A1S_kW,Site_2_A2S_kW
1,08:00,5.041839770771916,5.041839770771916
2,08:15,0.0,5.141680237812048
3,08:30,5.141680237812048,4.941799685323024
4,08:45,4.941799685323024,0.0
5,09:00,0.0,4.900995245099925
6,09:15,4.900995245099925,0.0
7,09:30,0.0,4.426768362356417
8,09:45,4.426768362356417,0.0
9,10:00,4.642880597441433,4.642880597441433
10,10:15,4.6685519687221,3.4839388421467086
11,10:30,4.783547634963451,4.6685519687221
12,10:45,0.0,0.0
13,11:00,4.968817269427966,4.783547634963451
14,11:15,5.110387932390597,5.110387932390597
15,11:30,3.4839388421467086,4.968817269427966
16,11:45,3.357828205401719,4.7630522343219885
17,12:00,0.0,0.0
18,12:15,0.0,0.0
19,12:30,0.0,0.0
20,12:45,0.0,0.0
21,13:00,0.0,0.0
22,13:15,0.0,0.0
23,13:30,0.0,0.0
24,13:45,0.0,0.0
25,14:00,3.2950975045997764,4.712071366234001
26,14:15,2.925206715738025,4.312707823393034
27,14:30,5.125813217042515,5.125813217042515
28,14:45,4.7630522343219885,4.66843713466284
29,15:00,0.0,0.0
30,15:15,3.1194280802517316,3.357828205401719
31,15:30,3.13332668500209,3.2950975045997764
32,15:45,4.712071366234001,0.0
33,16:00,4.5110889657915525,2.925206715738025
34,16:15,0.0,4.5110889657915525
35,16:30,4.312707823393034,3.1194280802517316
36,16:45,4.66843713466284,3.13332668500209
37,17:00,0.0,0.0
38,17:15,0.0,0.0
39,17:30,0.0,0.0
40,17:45,0.0,0.0
41,18:00,0.0,0.0
42,18:15,0.0,0.0
43,18:30,0.0,0.0
44,18:45,0.0,0.0
45,19:00,0.0,0.0
46,19:15,0.0,0.0
47,19:30,0.0,0.0
48,19:45,0.0,0.0
49,20:00,0.0,0.0
50,20:15,0.0,0.0
51,20:30,0.0,0.0
52,20:45,0.0,0.0
53,21:00,0.0,0.0
54,21:15,0.0,0.0
55,21:30,0.0,0.0
56,21:45,0.0,0.0
57,22:00,0.0,0.0
