Time_Period,Clock,A1S_Discharge_kW,A1S_Discharge_cum_kWh,A1S_Work_kW,A1S_CEV1_Activity,A1S_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A1S_cum_kWh
1,08:00,0.0,0.0,4.256430114614043,Digging,Traveling,0.0,0.0,4.256430114614043,Digging,Idle,0.0
2,08:15,4.480452752225307,1.1201131880563266,0.0,Charging,Serving CEV,0.0,0.0,4.206509881093977,Digging,Traveling,-1.1201131880563266
3,08:30,0.0,1.1201131880563266,4.206509881093977,Digging,Idle,0.0,0.0,4.306450157338489,Digging,Idle,-1.1201131880563266
4,08:45,-3.262296953954317e-13,1.1201131880562452,4.306450157338489,Digging,Idle,8.0,2.0,0.0,Charging,Serving CEV,0.8798868119437548
5,09:00,3.400536717242328e-13,1.1201131880563302,4.326852377450038,Digging,Idle,0.0,2.0,4.326852377450038,Digging,Idle,0.8798868119436698
6,09:15,0.0,1.1201131880563302,3.9136394459863433,Traveling,Idle,0.0,2.0,3.9136394459863433,Traveling,Idle,0.8798868119436698
7,09:30,4.816159854598763,2.324153151706021,0.0,Charging,Serving CEV,8.0,4.0,0.0,Charging,Serving CEV,1.675846848293979
8,09:45,0.0,2.324153151706021,4.306290298720717,Digging,Idle,0.0,4.0,4.306290298720717,Digging,Idle,1.675846848293979
9,10:00,8.00000000000074,4.324153151706206,0.0,Charging,Serving CEV,7.875840224711933,5.968960056177983,0.0,Charging,Serving CEV,1.6448069044717775
10,10:15,-0.0,4.324153151706206,4.31912598436105,Digging,Idle,0.0,5.968960056177983,2.744213452885372,Loading/Swinging,Idle,1.6448069044717775
11,10:30,0.0,4.324153151706206,4.376623817481726,Digging,Idle,0.0,5.968960056177983,4.31912598436105,Digging,Idle,1.6448069044717775
12,10:45,8.000000000004325,6.3241531517072875,0.0,Charging,Serving CEV,8.0,7.968960056177983,0.0,Charging,Serving CEV,1.6448069044706957
13,11:00,0.0,6.3241531517072875,4.292941365286017,Digging,Idle,0.0,7.968960056177983,4.376623817481726,Digging,Traveling,1.6448069044706957
14,11:15,0.0,6.3241531517072875,3.7036155424053945,Traveling,Idle,0.0,7.968960056177983,3.7036155424053945,Traveling,Charging (grid),1.6448069044706957
15,11:30,0.0,6.3241531517072875,4.3663761171609945,Digging,Idle,0.0,7.968960056177983,4.292941365286017,Digging,Charging (grid),1.6448069044706957
16,11:45,0.0,6.3241531517072875,4.340885683117001,Digging,Idle,0.0,7.968960056177983,4.3663761171609945,Digging,Charging (grid),1.6448069044706957
17,12:00,8.0,8.324153151707288,0.0,Charging,Serving CEV,0.0,7.968960056177983,0.0,,Charging (grid),-0.35519309552930434
18,12:15,2.571737700839918,8.967087576917267,0.0,Charging,Serving CEV,0.0,7.968960056177983,0.0,,Charging (grid),-0.9981275207392839
19,12:30,0.0,8.967087576917267,0.0,,Traveling,0.0,7.968960056177983,0.0,,Charging (grid),-0.9981275207392839
20,12:45,0.0,8.967087576917267,0.0,,Charging (grid),0.0,7.968960056177983,0.0,,Charging (grid),-0.9981275207392839
21,13:00,0.0,8.967087576917267,0.0,,Charging (grid),0.0,7.968960056177983,0.0,,Charging (grid),-0.9981275207392839
22,13:15,0.0,8.967087576917267,0.0,,Charging (grid),0.0,7.968960056177983,0.0,,Charging (grid),-0.9981275207392839
23,13:30,0.0,8.967087576917267,0.0,,Charging (grid),0.0,7.968960056177983,0.0,,Charging (grid),-0.9981275207392839
24,13:45,0.0,8.967087576917267,0.0,,Charging (grid),0.0,7.968960056177983,0.0,,Charging (grid),-0.9981275207392839
25,14:00,0.0,8.967087576917267,4.141203911696517,Digging,Charging (grid),0.0,7.968960056177983,4.340885683117001,Digging,Charging (grid),-0.9981275207392839
26,14:15,0.0,8.967087576917267,2.744213452885372,Loading/Swinging,Charging (grid),0.0,7.968960056177983,4.141203911696517,Digging,Charging (grid),-0.9981275207392839
27,14:30,0.0,8.967087576917267,3.690791118152906,Traveling,Charging (grid),0.0,7.968960056177983,3.690791118152906,Traveling,Charging (grid),-0.9981275207392839
28,14:45,0.0,8.967087576917267,2.6164500557693224,Loading/Swinging,Charging (grid),0.0,7.968960056177983,2.6164500557693224,Loading/Swinging,Traveling,-0.9981275207392839
29,15:00,0.0,8.967087576917267,0.0,Idle,Charging (grid),8.0,9.968960056177984,0.0,Charging,Serving CEV,1.001872479260717
30,15:15,0.0,8.967087576917267,2.723497397448102,Loading/Swinging,Charging (grid),0.0,9.968960056177984,2.723497397448102,Loading/Swinging,Idle,1.001872479260717
31,15:30,0.0,8.967087576917267,4.31906856733142,Digging,Charging (grid),0.0,9.968960056177984,4.31906856733142,Digging,Idle,1.001872479260717
32,15:45,0.0,8.967087576917267,2.70780882638865,Loading/Swinging,Charging (grid),8.0,11.968960056177984,0.0,Charging,Serving CEV,3.001872479260717
33,16:00,0.0,8.967087576917267,3.7421103612071507,Traveling,Traveling,0.0,11.968960056177984,2.70780882638865,Loading/Swinging,Idle,3.001872479260717
34,16:15,2.603954532460455,9.618076210032381,0.0,Charging,Serving CEV,0.0,11.968960056177984,3.7421103612071507,Traveling,Idle,2.350883846145603
35,16:30,0.0,9.618076210032381,2.6878760823838697,Loading/Swinging,Idle,0.0,11.968960056177984,2.6878760823838697,Loading/Swinging,Idle,2.350883846145603
36,16:45,0.0,9.618076210032381,2.7771065973062488,Loading/Swinging,Idle,0.0,11.968960056177984,2.7771065973062488,Loading/Swinging,Idle,2.350883846145603
37,17:00,8.0,11.618076210032381,0.0,Charging,Serving CEV,8.0,13.968960056177984,0.0,Charging,Serving CEV,2.350883846145603
38,17:15,8.0,13.618076210032381,0.0,Charging,Serving CEV,8.0,15.968960056177984,0.0,Charging,Serving CEV,2.350883846145603
39,17:30,8.0,15.618076210032381,0.0,Charging,Serving CEV,7.999999999999998,17.968960056177984,0.0,Charging,Serving CEV,2.350883846145603
40,17:45,8.0,17.61807621003238,0.0,Charging,Serving CEV,8.0,19.968960056177984,0.0,Charging,Serving CEV,2.350883846145603
41,18:00,5.281668371649574,18.938493302944774,0.0,Charging,Serving CEV,3.147396769340449,20.755809248513096,0.0,Charging,Serving CEV,1.8173159455683212
42,18:15,7.722017454123707,20.8689976664757,0.0,Charging,Serving CEV,0.0,20.755809248513096,0.0,,Idle,-0.11318841796260415
43,18:30,0.0,20.8689976664757,0.0,,Traveling,0.0,20.755809248513096,0.0,,Traveling,-0.11318841796260415
44,18:45,0.0,20.8689976664757,0.0,,Idle,0.0,20.755809248513096,0.0,,Idle,-0.11318841796260415
45,19:00,0.0,20.8689976664757,0.0,,Idle,0.0,20.755809248513096,0.0,,Idle,-0.11318841796260415
46,19:15,0.0,20.8689976664757,0.0,,Idle,0.0,20.755809248513096,0.0,,Idle,-0.11318841796260415
47,19:30,0.0,20.8689976664757,0.0,,Idle,0.0,20.755809248513096,0.0,,Idle,-0.11318841796260415
48,19:45,0.0,20.8689976664757,0.0,,Idle,0.0,20.755809248513096,0.0,,Idle,-0.11318841796260415
49,20:00,0.0,20.8689976664757,0.0,,Idle,0.0,20.755809248513096,0.0,,Idle,-0.11318841796260415
50,20:15,0.0,20.8689976664757,0.0,,Idle,0.0,20.755809248513096,0.0,,Idle,-0.11318841796260415
51,20:30,0.0,20.8689976664757,0.0,,Idle,0.0,20.755809248513096,0.0,,Idle,-0.11318841796260415
52,20:45,0.0,20.8689976664757,0.0,,Idle,0.0,20.755809248513096,0.0,,Idle,-0.11318841796260415
53,21:00,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
54,21:15,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
55,21:30,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
56,21:45,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
57,22:00,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
58,22:15,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
59,22:30,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
60,22:45,0.0,20.8689976664757,0.0,,Idle,0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
61,23:00,0.0,20.8689976664757,0.0,,Idle,0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
62,23:15,0.0,20.8689976664757,0.0,,Idle,0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
63,23:30,0.0,20.8689976664757,0.0,,Idle,0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
64,23:45,0.0,20.8689976664757,0.0,,Idle,0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
65,00:00,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
66,00:15,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
67,00:30,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
68,00:45,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
69,01:00,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
70,01:15,0.0,20.8689976664757,0.0,,Charging (grid),0.0,20.755809248513096,0.0,,Charging (grid),-0.11318841796260415
