Time_Period,MCS_1_A1S_kWh,MCS_1_A2S_kWh
1,250.0,250.0
2,250.0,250.0
3,248.63790307884045,250.0
4,248.63790307884045,247.89473684210526
5,248.63790307884045,247.89473684210526
6,248.63790307884045,247.89473684210526
7,248.63790307884045,247.89473684210526
8,246.5326399209457,245.78947368421052
9,244.42737676305097,245.78947368421052
10,244.42737676305097,243.68421052630865
11,244.82267046836213,243.68421052630865
12,245.29302465637738,243.68421052630865
13,245.76337884439263,243.68421052630865
14,246.2341818340263,241.5789473684139
15,246.70437907256445,241.5789473684139
16,247.1751820621981,242.01560298396265
17,247.64598505183176,242.4522585995114
18,248.1167880414654,242.8970945228452
19,248.58759103109904,243.34193044617902
20,249.0583940207327,243.78676636951283
21,249.52919701036635,244.23160229284665
22,250.0,244.67643821618046
23,250.0,245.12127413951427
24,248.31165534180278,245.12127413951427
25,246.2952524290763,243.01601098161953
26,246.2952524290763,243.01601098161953
27,246.2952524290763,243.01601098161953
28,244.37975217267467,243.01601098161953
29,244.37975217267467,243.01601098161953
30,244.37975217267467,240.9107478237248
31,244.37975217267467,240.9107478237248
32,244.37975217267467,240.9107478237248
33,242.35007628781668,238.80548466583005
34,242.35007628781668,238.80548466583005
35,242.35007628781668,238.80548466583005
36,242.35007628781668,238.80548466583005
37,242.35007628781668,238.80548466583005
38,240.24481312992194,236.7002215079353
39,238.42039601180957,234.59495835004057
40,236.31513285391483,232.48969519214583
41,234.2098696960201,230.3844320342511
42,232.10460653812535,228.452845943381
43,230.42777530611465,228.452845943381
44,230.42777530611465,228.452845943381
45,230.42777530611465,228.452845943381
46,230.42777530611465,228.452845943381
47,230.42777530611465,228.452845943381
48,230.42777530611465,228.452845943381
49,230.42777530611465,228.452845943381
50,230.42777530611465,228.452845943381
51,230.42777530611465,228.452845943381
52,230.42777530611465,228.452845943381
53,230.42777530611465,228.452845943381
54,230.8985782957483,228.94255399012232
55,231.36938128538196,229.43226203686365
56,231.84018427501562,229.92197008360498
57,232.31098726464927,230.4116781303463
58,232.78179025428292,230.90138617708763
59,233.25259324391658,231.39109422382896
60,233.72339623355023,231.88080227057029
61,234.1941992231839,232.3705103173116
62,234.1941992231839,232.86021836405294
63,234.66500221281754,233.34992641079427
64,234.93430433172267,233.8396344575356
65,234.93430433172267,234.32934250427707
66,235.40510732135633,234.81905055101853
67,235.87591031098998,235.30875859776
68,236.34671330062363,235.79846664450147
69,236.8175162902573,236.28817469124294
70,237.28831927989094,236.7778827379844
71,237.7591222695246,237.26759078472588
72,238.22992525915825,237.75729883146735
73,238.7007282487919,238.24700687820882
74,239.17153123842556,238.7367149249503
75,239.6423342280592,239.22642297169176
76,240.11313721769287,239.71613101843323
77,240.58394020732652,240.2058390651747
78,241.05474319696017,240.69554711191617
79,241.52554618659383,241.18525515865764
80,241.99634917622748,241.6749632053991
81,242.46715216586114,242.16467125214058
82,242.9379551554948,242.65437929888205
83,243.40875814512844,243.14408734562352
84,243.8795611347621,243.633795392365
85,244.35036412439575,244.12350343910646
86,244.8211671140294,244.61321148584793
87,245.29197010366306,245.1029195325894
88,245.76277309329672,245.59262757933087
89,246.23357608293037,246.08233562607234
90,246.70437907256434,246.57204367280963
91,247.17518206219623,247.0617517195511
92,247.6459850518302,247.5514597662926
93,248.11678804146416,248.04116781303406
94,248.5875910310981,248.53087585977553
95,249.05839402073207,249.02058390651703
96,249.52919701036603,249.5102919532585
97,250.0,250.0
