Time_Period,MCS_1_approach0_kWh,MCS_1_shrinking_kWh,MCS_1_receding_kWh
1,250.0,250.0,250.0
2,250.0,250.0,250.0
3,250.0,250.0,250.0
4,250.0,247.5,247.5
5,250.0,247.5,245.42476633913503
6,250.0,247.5,245.42476633913503
7,250.0,247.5,245.42476633913503
8,250.0,245.68031353125855,243.3195031812403
9,250.0,245.68031353125855,243.3195031812403
10,247.5,245.68031353125855,243.3195031812403
11,245.39473684210526,245.68031353125855,243.3195031812403
12,245.39473684210526,245.68031353125855,243.3195031812403
13,243.28947368421055,243.5750503733638,241.66028066969292
14,243.28947368421055,243.5750503733638,241.66028066969292
15,243.28947368421055,243.5750503733638,241.660280669693
16,243.28947368421055,243.5750503733638,241.66028066969304
17,243.28947368421055,243.5750503733638,241.66028066969304
18,241.1842105263158,243.5750503733638,239.61115900702728
19,239.07894736842107,241.7164221649219,237.55192216492202
20,236.97368421052636,241.40455374386923,236.70747479650097
21,234.86842105263165,241.40455374386923,235.4006326912378
22,232.90316018306643,239.2992905859745,233.32931690176412
23,231.1531315789474,237.19402742807978,231.2361326912378
24,231.1531315789474,235.08876427018504,231.2361326912378
25,231.1531315789474,232.98350111229033,231.2361326912378
26,231.1531315789474,232.98350111229033,231.2361326912378
27,231.1531315789474,232.86689657965925,231.2361326912378
28,231.15313157894718,230.76163342176454,229.1364999420145
29,229.04786842105244,230.76163342176457,229.1364999420145
30,229.04786842105244,230.76163342176463,229.1364999420145
31,229.04786842105244,230.76163342176463,227.03123678411976
32,229.04786842105244,230.76163342176463,227.03123678411976
33,229.04786842105244,228.70398052032346,227.03123678411976
34,226.94260526315773,228.7039805203234,227.03123678411976
35,224.837342105263,228.70398052032343,227.03123678411976
36,224.837342105263,228.70398052032343,227.03123678411976
37,224.837342105263,228.70398052032343,227.03123678411976
38,222.73207894736828,226.5987173624287,226.4394716013275
39,222.420210526316,226.43947160132757,224.33420844343277
40,222.420210526316,224.33420844343283,222.22894528553803
41,222.420210526316,222.2289452855381,222.228945285538
42,222.420210526316,219.7289452855381,222.228945285538
43,222.420210526316,219.7289452855381,219.728945285538
44,222.420210526316,219.7289452855381,219.728945285538
45,222.420210526316,219.7289452855381,219.728945285538
46,222.420210526316,219.7289452855381,219.728945285538
47,219.920210526316,219.7289452855381,219.728945285538
48,219.920210526316,219.7289452855381,219.728945285538
49,219.920210526316,219.7289452855381,219.728945285538
50,219.920210526316,219.7289452855381,219.728945285538
51,219.920210526316,219.7289452855381,219.728945285538
52,219.920210526316,219.7289452855381,219.728945285538
53,219.920210526316,219.7289452855381,219.728945285538
54,220.60384210526337,220.41692380177585,220.41692380177577
55,221.28747368421074,221.10490231801361,221.10490231801356
56,221.9711052631581,221.7928808342514,221.79288083425132
57,222.65473684210542,222.48085935048917,222.4808593504891
58,223.3383684210528,223.16883786672696,223.16883786672688
59,224.02200000000016,223.85681638296472,223.85681638296467
60,224.70563157894753,224.54479489920251,224.54479489920243
61,225.3892631578949,225.23277341544028,225.23277341544022
62,226.07289473684227,225.92075193167807,225.92075193167798
63,226.75652631578964,226.60873044791583,226.60873044791578
64,227.44015789473698,227.29670896415362,227.29670896415354
65,228.12378947368435,227.98468748039113,227.98468748039113
66,228.80742105263172,228.6726659966289,228.6726659966289
67,229.4910526315791,229.36064451286666,229.36064451286666
68,230.17468421052646,230.04862302910445,230.04862302910445
69,230.8583157894738,230.7366015453422,230.7366015453422
70,231.54194736842118,231.42458006158,231.42458006158
71,232.22557894736855,232.11255857781777,232.11255857781777
72,232.90921052631592,232.80053709405556,232.80053709405556
73,233.5928421052633,233.48851561029332,233.48851561029332
74,234.27647368421066,234.1764941265311,234.1764941265311
75,234.960105263158,234.86447264276887,234.86447264276887
76,235.64373684210537,235.55245115900667,235.55245115900667
77,236.32736842105274,236.24042967524443,236.24042967524443
78,237.0110000000001,236.92840819148222,236.92840819148222
79,237.69463157894748,237.61638670771998,237.61638670771998
80,238.37826315789485,238.30436522395777,238.30436522395777
81,239.0618947368422,238.99234374019554,238.99234374019554
82,239.74552631578953,239.68032225643333,239.68032225643333
83,240.4291578947369,240.3683007726711,240.3683007726711
84,241.11278947368427,241.05627928890888,241.05627928890888
85,241.79642105263162,241.74425780514665,241.74425780514665
86,242.48005263157899,242.43223632138444,242.43223632138444
87,243.16368421052636,243.12021483762223,243.1202148376222
88,243.84731578947373,243.80819335386,243.80819335386
89,244.5309473684211,244.49617187009778,244.49617187009778
90,245.21457894736847,245.18415038633557,245.18415038633555
91,245.8982105263158,245.8721289025731,245.87212890257334
92,246.58184210526318,246.56010741881093,246.5601074188111
93,247.26547368421055,247.24808593504875,247.2480859350489
94,247.94910526315792,247.93606445128654,247.93606445128665
95,248.63273684210526,248.62404296752436,248.62404296752445
96,249.31636842105263,249.31202148376218,249.3120214837622
97,250.0,250.0,250.0
