Time_Period,Time_Start_Label,Time_End_Label,Site_2_Work_Power_kW,Site_3_Work_Power_kW,Total_Work_Power_kW
1,D1 08:00,D1 08:15,0.0,6.730655462575827,6.730655462575827
2,D1 08:15,D1 08:30,4.463084581580557,4.7217414706466085,9.184826052227166
3,D1 08:30,D1 08:45,0.0,6.396004765613969,6.396004765613969
4,D1 08:45,D1 09:00,4.500101007455269,0.0,4.500101007455269
5,D1 09:00,D1 09:15,5.560061561413022,0.0,5.560061561413022
6,D1 09:15,D1 09:30,3.840929445067345,5.750734059853668,9.591663504921012
7,D1 09:30,D1 09:45,4.432272455912212,3.39447590734203,7.826748363254242
8,D1 09:45,D1 10:00,0.0,4.617006397625632,4.617006397625632
9,D1 10:00,D1 10:15,0.0,3.4058916530572403,3.4058916530572403
10,D1 10:15,D1 10:30,3.2612173974558285,0.0,3.2612173974558285
11,D1 10:30,D1 10:45,2.3838526974638614,5.542563430232826,7.926416127696687
12,D1 10:45,D1 11:00,0.0,0.0,0.0
13,D1 11:00,D1 11:15,0.0,0.0,0.0
14,D1 11:15,D1 11:30,5.648002976981263,4.0345825108512905,9.682585487832554
15,D1 11:30,D1 11:45,5.435790879104439,4.069521764871064,9.505312643975504
16,D1 11:45,D1 12:00,3.7874221772684464,0.0,3.7874221772684464
17,D1 12:00,D1 12:15,0.0,0.0,0.0
18,D1 12:15,D1 12:30,0.0,0.0,0.0
19,D1 12:30,D1 12:45,0.0,0.0,0.0
20,D1 12:45,D1 13:00,0.0,0.0,0.0
21,D1 13:00,D1 13:15,0.0,0.0,0.0
22,D1 13:15,D1 13:30,0.0,0.0,0.0
23,D1 13:30,D1 13:45,0.0,0.0,0.0
24,D1 13:45,D1 14:00,0.0,0.0,0.0
25,D1 14:00,D1 14:15,3.128389950303602,0.0,3.128389950303602
26,D1 14:15,D1 14:30,2.3519952296185265,0.0,2.3519952296185265
27,D1 14:30,D1 14:45,0.0,0.0,0.0
28,D1 14:45,D1 15:00,4.5338967906283445,0.0,4.5338967906283445
29,D1 15:00,D1 15:15,4.856554765598935,0.0,4.856554765598935
30,D1 15:15,D1 15:30,7.058428353557018,0.0,7.058428353557018
31,D1 15:30,D1 15:45,4.2763497995813635,0.0,4.2763497995813635
32,D1 15:45,D1 16:00,0.0,0.0,0.0
33,D1 16:00,D1 16:15,2.3619368037677217,0.0,2.3619368037677217
34,D1 16:15,D1 16:30,0.0,0.0,0.0
35,D1 16:30,D1 16:45,3.966685618109947,3.553223959567704,7.519909577677651
36,D1 16:45,D1 17:00,4.983190470280855,0.0,4.983190470280855
37,D1 17:00,D1 17:15,0.0,0.0,0.0
38,D1 17:15,D1 17:30,0.0,0.0,0.0
39,D1 17:30,D1 17:45,0.0,0.0,0.0
40,D1 17:45,D1 18:00,0.0,0.0,0.0
41,D1 18:00,D1 18:15,0.0,0.0,0.0
42,D1 18:15,D1 18:30,0.0,0.0,0.0
43,D1 18:30,D1 18:45,0.0,0.0,0.0
44,D1 18:45,D1 19:00,0.0,0.0,0.0
45,D1 19:00,D1 19:15,0.0,0.0,0.0
46,D1 19:15,D1 19:30,0.0,0.0,0.0
47,D1 19:30,D1 19:45,0.0,0.0,0.0
48,D1 19:45,D1 20:00,0.0,0.0,0.0
49,D1 20:00,D1 20:15,0.0,0.0,0.0
50,D1 20:15,D1 20:30,0.0,0.0,0.0
51,D1 20:30,D1 20:45,0.0,0.0,0.0
52,D1 20:45,D1 21:00,0.0,0.0,0.0
53,D1 21:00,D1 21:15,0.0,0.0,0.0
54,D1 21:15,D1 21:30,0.0,0.0,0.0
55,D1 21:30,D1 21:45,0.0,0.0,0.0
56,D1 21:45,D1 22:00,0.0,0.0,0.0
57,D1 22:00,D1 22:15,0.0,0.0,0.0
58,D1 22:15,D1 22:30,0.0,0.0,0.0
59,D1 22:30,D1 22:45,0.0,0.0,0.0
