replan_at,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,00:00,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45
08:00,46.85,45.7,44.875,49.825,57.325,56.175,55.05,53.9,52.75,52.75,52.75,51.925,50.775,49.65,48.825,48.825,48.825,48.825,48.825,48.825,48.825,48.825,48.825,48.825,48.825,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
08:15,46.85,45.167,44.017,49.5,57.0,55.85,55.85,55.85,55.85,54.725,54.725,54.725,53.9,53.9,52.75,52.75,52.75,52.75,52.75,52.75,52.75,52.75,52.75,52.75,52.75,52.75,51.925,51.1,49.975,49.975,48.825,48.825,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
08:30,46.85,45.167,43.987,49.5,57.0,55.85,54.725,54.725,54.725,54.725,54.725,54.725,54.725,54.725,54.725,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.075,53.075,51.925,51.925,51.925,51.925,51.925,51.1,49.975,48.825,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
08:45,46.85,45.167,43.987,49.5,57.0,57.0,57.0,57.0,57.0,55.85,54.725,54.725,54.725,54.725,54.725,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.075,53.075,53.075,52.25,52.25,51.425,50.3,50.3,49.15,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
09:00,46.85,45.167,43.987,49.5,57.0,55.85,55.85,55.85,55.85,54.725,54.725,53.9,53.075,53.075,52.25,51.425,51.425,51.425,51.425,51.425,51.425,51.425,51.425,51.425,50.3,49.15,49.15,49.15,49.15,49.15,49.15,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
09:15,46.85,45.167,43.987,49.5,57.0,55.85,54.725,53.575,52.75,52.75,51.6,50.775,49.65,48.825,48.825,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
09:30,46.85,45.167,43.987,49.5,57.0,55.85,54.437,53.287,52.137,52.137,51.312,51.312,50.487,50.487,50.487,49.362,49.362,49.362,49.362,49.362,49.362,49.362,49.362,49.362,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537,48.537
09:45,46.85,45.167,43.987,49.5,57.0,55.85,54.437,53.564,52.414,52.414,51.589,51.589,50.764,49.639,49.639,49.639,49.639,49.639,49.639,49.639,49.639,49.639,49.639,49.639,49.639,49.639,49.639,49.639,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814,48.814
10:00,46.85,45.167,43.987,49.5,57.0,55.85,54.437,53.564,52.734,52.734,51.909,50.759,49.634,49.634,49.634,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809,48.809
10:15,46.85,45.167,43.987,49.5,57.0,55.85,54.437,53.564,52.734,52.708,52.708,51.883,50.733,49.608,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783,48.783
10:30,46.85,45.167,43.987,49.5,57.0,55.85,54.437,53.564,52.734,52.708,51.883,51.883,51.058,51.058,49.933,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108,49.108
10:45,46.85,45.167,43.987,49.5,57.0,55.85,54.437,53.564,52.734,52.708,51.883,51.322,51.322,51.322,50.497,50.497,50.497,50.497,50.497,50.497,50.497,50.497,50.497,50.497,50.497,50.497,50.497,50.497,50.497,49.372,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547
11:00,46.85,45.167,43.987,49.5,57.0,55.85,54.437,53.564,52.734,52.708,51.883,51.322,51.322,51.322,50.497,50.497,50.497,50.497,50.497,50.497,50.497,50.497,50.497,50.497,49.372,49.372,49.372,49.372,49.372,49.372,49.372,49.372,49.372,49.372,49.372,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547,48.547
