Time_Period,Time_Label,CEV_1_SOE_kWh,CEV_1_Max_SOE_kWh,CEV_1_Min_SOE_kWh,CEV_2_SOE_kWh,CEV_2_Max_SOE_kWh,CEV_2_Min_SOE_kWh
1,08:00,72.0,90.0,18.0,48.0,60.0,12.0
2,08:15,72.0,90.0,18.0,46.86128792401463,60.0,12.0
3,08:30,70.88422885460486,90.0,18.0,45.83005089446989,60.0,12.0
4,08:45,69.4942134642516,90.0,18.0,44.253646168877054,60.0,12.0
5,09:00,69.4942134642516,90.0,18.0,49.49999999999999,60.0,12.0
6,09:15,68.53398110298477,90.0,18.0,56.99999999999999,60.0,12.0
7,09:30,67.71867675362081,90.0,18.0,56.99999999999999,60.0,12.0
8,09:45,66.14363887582509,90.0,18.0,55.63415589739728,60.0,12.0
9,10:00,74.84999999999991,90.0,18.0,54.904134221865036,60.0,12.0
10,10:15,86.09999999999991,90.0,18.0,54.904134221865036,60.0,12.0
11,10:30,85.50403682563395,90.0,18.0,53.70291006478816,60.0,12.0
12,10:45,84.09203608138863,90.0,18.0,52.68259102896786,60.0,12.0
13,11:00,82.73308836161252,90.0,18.0,52.68259102896786,60.0,12.0
14,11:15,82.73308836161252,90.0,18.0,51.42639636798393,60.0,12.0
15,11:30,81.59961416395544,90.0,18.0,50.924424890524556,60.0,12.0
16,11:45,80.53896793259159,90.0,18.0,50.27459116402043,60.0,12.0
17,12:00,79.32482924119185,90.0,18.0,49.33362251438685,60.0,12.0
18,12:15,79.32482924119185,90.0,18.0,49.33362251438685,60.0,12.0
19,12:30,79.32482924119185,90.0,18.0,49.33362251438685,60.0,12.0
20,12:45,79.32482924119185,90.0,18.0,49.33362251438685,60.0,12.0
21,13:00,79.32482924119185,90.0,18.0,49.33362251438685,60.0,12.0
22,13:15,79.32482924119185,90.0,18.0,49.33362251438685,60.0,12.0
23,13:30,79.32482924119185,90.0,18.0,49.33362251438685,60.0,12.0
24,13:45,79.32482924119185,90.0,18.0,49.33362251438685,60.0,12.0
25,14:00,79.32482924119185,90.0,18.0,49.33362251438685,60.0,12.0
