Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,CEV_1_Working_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh,CEV_2_Working_kW,CEV_2_SOE_Start_kWh,CEV_2_SOE_End_kWh
1,1,08:00,08:15,-0.0,0.0,1.9999999999998863,250.0,249.50000000000003,0.0,72.0,72.0,4.554848303941474,48.0,46.86128792401463
2,2,08:15,08:30,-0.0,0.0,1.9999999999998863,249.50000000000003,249.00000000000006,0.0,72.0,72.0,4.124948118178964,46.86128792401463,45.83005089446989
3,3,08:30,08:45,2.0245304072596544e-12,0.0,1.9999999999999907,249.00000000000006,248.50000000000054,4.463084581580557,72.0,70.88422885460486,5.46337641041085,45.83005089446989,44.46420679186718
4,4,08:45,09:00,1.2020649293104195e-11,19.799999999995,-2.3576488946256415e-15,248.50000000000054,243.28947368421524,0.0,70.88422885460486,70.88422885460486,0.0,44.46420679186718,49.41420679186593
5,5,09:00,09:15,1.2020649293104195e-11,30.0,-1.870987601922517e-13,243.28947368421524,235.39473684211288,0.0,70.88422885460486,70.88422885460486,0.0,49.41420679186593,56.91420679186593
6,6,09:15,09:30,1.2020649293104195e-11,0.0,1.9999999999998235,235.39473684211288,234.89473684211578,5.560061561413022,70.88422885460486,69.4942134642516,6.305618902371345,56.91420679186593,55.33780206627309
7,7,09:30,09:45,1.2020649293104195e-11,0.0,2.000000000000051,234.89473684211578,234.39473684211862,3.840929445067345,69.4942134642516,68.53398110298477,2.920086702128982,55.33780206627309,54.60778039074085
8,8,09:45,10:00,1.2020649293104195e-11,45.0,3.672220157217987e-14,234.39473684211862,222.55263157896357,0.0,68.53398110298477,79.78398110298477,4.804896628307502,54.60778039074085,53.40655623366398
9,9,10:00,10:15,1.2020649293104195e-11,34.29999999999997,-1.977569012286532e-13,222.55263157896357,213.5263157894928,0.0,79.78398110298477,88.35898110298476,4.081276143281203,53.40655623366398,52.38623719784368
10,10,10:15,10:30,1.2022383089060895e-11,0.0,1.999999999999939,213.5263157894928,213.02631578949567,3.2612173974558285,88.35898110298476,87.5436767536208,0.0,52.38623719784368,52.38623719784368
