Time_Period,Time_Start_Label,Time_End_Label,Electricity_Price_USD_per_kWh,CO2_Emission_Factor_kg_CO2_per_kWh
1,D1 08:00,D1 08:15,0.387,0.184844771
2,D1 08:15,D1 08:30,0.387,0.18748346
3,D1 08:30,D1 08:45,0.387,0.187221003
4,D1 08:45,D1 09:00,0.387,0.174390042
5,D1 09:00,D1 09:15,0.387,0.169646374
6,D1 09:15,D1 09:30,0.387,0.179379949
7,D1 09:30,D1 09:45,0.387,0.173308146
8,D1 09:45,D1 10:00,0.387,0.169005444
9,D1 10:00,D1 10:15,0.261,0.166717776
10,D1 10:15,D1 10:30,0.261,0.171203448
11,D1 10:30,D1 10:45,0.261,0.169740242
12,D1 10:45,D1 11:00,0.261,0.157205795
13,D1 11:00,D1 11:15,0.261,0.156127377
14,D1 11:15,D1 11:30,0.261,0.158874986
15,D1 11:30,D1 11:45,0.261,0.155246426
16,D1 11:45,D1 12:00,0.261,0.147787556
17,D1 12:00,D1 12:15,0.261,0.142853662
18,D1 12:15,D1 12:30,0.261,0.150148781
19,D1 12:30,D1 12:45,0.261,0.142166138
20,D1 12:45,D1 13:00,0.261,0.134292064
21,D1 13:00,D1 13:15,0.261,0.126533506
22,D1 13:15,D1 13:30,0.261,0.136996378
23,D1 13:30,D1 13:45,0.261,0.130425591
24,D1 13:45,D1 14:00,0.261,0.124229477
25,D1 14:00,D1 14:15,0.387,0.120622693
26,D1 14:15,D1 14:30,0.387,0.126193867
27,D1 14:30,D1 14:45,0.387,0.126695016
28,D1 14:45,D1 15:00,0.387,0.123729362
29,D1 15:00,D1 15:15,0.387,0.125497949
30,D1 15:15,D1 15:30,0.387,0.132440012
31,D1 15:30,D1 15:45,0.387,0.128745287
32,D1 15:45,D1 16:00,0.387,0.12752758
33,D1 16:00,D1 16:15,0.627,0.130457634
34,D1 16:15,D1 16:30,0.627,0.129548016
35,D1 16:30,D1 16:45,0.627,0.132261205
36,D1 16:45,D1 17:00,0.627,0.134973404
37,D1 17:00,D1 17:15,0.627,0.14154539
38,D1 17:15,D1 17:30,0.627,0.160302751
39,D1 17:30,D1 17:45,0.627,0.166092752
40,D1 17:45,D1 18:00,0.627,0.162902898
41,D1 18:00,D1 18:15,0.627,0.164653432
42,D1 18:15,D1 18:30,0.627,0.161500774
43,D1 18:30,D1 18:45,0.627,0.16070126
44,D1 18:45,D1 19:00,0.627,0.166316509
45,D1 19:00,D1 19:15,0.627,0.170954975
46,D1 19:15,D1 19:30,0.627,0.182877191
47,D1 19:30,D1 19:45,0.627,0.191482601
48,D1 19:45,D1 20:00,0.627,0.20251508
49,D1 20:00,D1 20:15,0.387,0.210075598
50,D1 20:15,D1 20:30,0.387,0.205244566
51,D1 20:30,D1 20:45,0.387,0.205935973
52,D1 20:45,D1 21:00,0.387,0.208513631
53,D1 21:00,D1 21:15,0.387,0.218080938
54,D1 21:15,D1 21:30,0.387,0.21907319
55,D1 21:30,D1 21:45,0.387,0.223669117
56,D1 21:45,D1 22:00,0.387,0.237339
57,D1 22:00,D1 22:15,0.387,0.24652626
58,D1 22:15,D1 22:30,0.387,0.266755136
59,D1 22:30,D1 22:45,0.387,0.281316832
60,D1 22:45,D1 23:00,0.387,0.288058009
61,D1 23:00,D1 23:15,0.387,0.293576081
62,D1 23:15,D1 23:30,0.387,0.287515883
63,D1 23:30,D1 23:45,0.387,0.292663909
64,D1 23:45,D1 00:00,0.387,0.304429741
65,D1 00:00,D1 00:15,0.261,0.312407382
66,D1 00:15,D1 00:30,0.261,0.27458893
67,D1 00:30,D1 00:45,0.261,0.276681872
68,D1 00:45,D1 01:00,0.261,0.276716347
69,D1 01:00,D1 01:15,0.261,0.274507571
70,D1 01:15,D1 01:30,0.261,0.278281819
71,D1 01:30,D1 01:45,0.261,0.281500364
72,D1 01:45,D1 02:00,0.261,0.281866624
73,D1 02:00,D1 02:15,0.261,0.280588542
74,D1 02:15,D1 02:30,0.261,0.281072036
75,D1 02:30,D1 02:45,0.261,0.284023345
76,D1 02:45,D1 03:00,0.261,0.282971365
77,D1 03:00,D1 03:15,0.261,0.284195843
78,D1 03:15,D1 03:30,0.261,0.288293331
79,D1 03:30,D1 03:45,0.261,0.29093524
80,D1 03:45,D1 04:00,0.261,0.292181712
81,D1 04:00,D1 04:15,0.261,0.290687728
82,D1 04:15,D1 04:30,0.261,0.280336211
83,D1 04:30,D1 04:45,0.261,0.27995689
84,D1 04:45,D1 05:00,0.261,0.279516539
85,D1 05:00,D1 05:15,0.261,0.282027184
86,D1 05:15,D1 05:30,0.261,0.277843602
87,D1 05:30,D1 05:45,0.261,0.280894886
88,D1 05:45,D1 06:00,0.261,0.283205714
89,D1 06:00,D1 06:15,0.387,0.284037684
90,D1 06:15,D1 06:30,0.387,0.275596562
91,D1 06:30,D1 06:45,0.387,0.271416987
92,D1 06:45,D1 07:00,0.387,0.264663433
93,D1 07:00,D1 07:15,0.387,0.255885549
94,D1 07:15,D1 07:30,0.387,0.232169857
95,D1 07:30,D1 07:45,0.387,0.217048995
96,D1 07:45,D1 08:00,0.387,0.2000768
