Time_Interval,Time_Period,Start_Time_Label,End_Time_Label,MCS_1_Charging_kW,MCS_1_Discharging_kW,MCS_1_Traveling_kW,MCS_1_SOE_Start_kWh,MCS_1_SOE_End_kWh,CEV_1_Working_kW,CEV_1_SOE_Start_kWh,CEV_1_SOE_End_kWh
1,1,D1 08:00,D1 08:15,0.0,0.0,0.0,250.0,250.0,4.766428180016908,14.8,13.608392954995773
2,2,D1 08:15,D1 08:30,0.0,0.0,10.0,250.0,247.5,4.990540576996681,13.608392954995773,12.360757810746604
3,3,D1 08:30,D1 08:45,0.0,0.0,0.0,247.5,247.5,4.639321885627259,12.360757810746604,11.200927339339788
4,4,D1 08:45,D1 09:00,0.0,0.0,0.0,247.5,247.5,4.520886714300226,11.200927339339788,10.070705660764732
5,5,D1 09:00,D1 09:15,0.0,8.0,0.0,247.5,245.39473684210526,0.0,10.070705660764732,12.070705660764732
6,6,D1 09:15,D1 09:30,0.0,0.0,0.0,245.39473684210526,245.39473684210526,4.692885657098898,12.070705660764732,10.897484246490007
7,7,D1 09:30,D1 09:45,0.0,0.0,0.0,245.39473684210526,245.39473684210526,4.341641106091867,10.897484246490007,9.812073969967042
8,8,D1 09:45,D1 10:00,0.0,0.0,0.0,245.39473684210526,245.39473684210526,5.008507008197273,9.812073969967042,8.559947217917724
9,9,D1 10:00,D1 10:15,0.0,0.0,0.0,245.39473684210526,245.39473684210526,3.3744582015434395,8.559947217917724,7.716332667531864
10,10,D1 10:15,D1 10:30,0.0,7.999999999999691,3.8651547402780784e-13,245.39473684210526,243.28947368421052,0.0,7.716332667531864,9.716332667531788
11,11,D1 10:30,D1 10:45,0.0,0.0,-1.1368683772161603e-13,243.28947368421052,243.28947368421055,4.965152076601037,9.716332667531788,8.475044648381528
12,12,D1 10:45,D1 11:00,0.0,0.0,0.0,243.28947368421055,243.28947368421055,4.52612737504162,8.475044648381528,7.343512804621124
13,13,D1 11:00,D1 11:15,0.0,0.0,0.0,243.28947368421055,243.28947368421055,4.7808951143253715,7.343512804621124,6.148289026039781
14,14,D1 11:15,D1 11:30,0.0,0.0,0.0,243.28947368421055,243.28947368421055,4.846814138611863,6.148289026039781,4.936585491386816
15,15,D1 11:30,D1 11:45,0.0,0.0,0.0,243.28947368421055,243.28947368421055,0.0,4.936585491386816,4.936585491386816
16,16,D1 11:45,D1 12:00,0.0,0.0,0.0,243.28947368421055,243.28947368421055,4.665013871779863,4.936585491386816,3.77033202344185
17,17,D1 12:00,D1 12:15,0.0,8.0,0.0,243.28947368421055,241.1842105263158,0.0,3.77033202344185,5.77033202344185
18,18,D1 12:15,D1 12:30,0.0,0.0,0.0,241.1842105263158,241.1842105263158,0.0,5.77033202344185,5.77033202344185
19,19,D1 12:30,D1 12:45,0.0,0.0,0.0,241.1842105263158,241.1842105263158,0.0,5.77033202344185,5.77033202344185
20,20,D1 12:45,D1 13:00,0.0,8.0,0.0,241.1842105263158,239.07894736842107,0.0,5.77033202344185,7.77033202344185
21,21,D1 13:00,D1 13:15,0.0,4.11867190623261,0.0,239.07894736842107,237.99508634046512,0.0,7.77033202344185,8.800000000000002
22,22,D1 13:15,D1 13:30,0.0,8.0,0.0,237.99508634046512,235.88982318257038,0.0,8.800000000000002,10.800000000000002
23,23,D1 13:30,D1 13:45,0.0,8.0,0.0,235.88982318257038,233.78456002467564,0.0,10.800000000000002,12.800000000000002
24,24,D1 13:45,D1 14:00,0.0,7.999999999999993,0.0,233.78456002467564,231.6792968667809,0.0,12.800000000000002,14.8
25,25,D1 14:00,D1 14:15,0.0,0.0,-1.1368683772161603e-13,231.6792968667809,231.67929686678093,4.873880757628074,14.8,13.581529810592983
