Time_Period,Clock,A0_Discharge_kW,A0_Discharge_cum_kWh,A0_Work_kW,A0_CEV1_Activity,A0_MCS_Status,A2S_Discharge_kW,A2S_Discharge_cum_kWh,A2S_Work_kW,A2S_CEV1_Activity,A2S_MCS_Status,A2S_minus_A0_cum_kWh
1,08:00,0.0,0.0,4.764336498431121,Digging,Idle,0.0,0.0,4.764336498431121,Digging,Traveling,0.0
2,08:15,0.0,0.0,4.989984663182659,Digging,Idle,0.0,0.0,4.989984663182659,Digging,Idle,0.0
3,08:30,0.0,0.0,4.6363591868503535,Digging,Idle,0.0,0.0,4.6363591868503535,Digging,Idle,0.0
4,08:45,0.0,0.0,4.517112418656664,Digging,Idle,3.854095671205498e-13,9.635239178013745e-14,4.517112418656664,Digging,Idle,9.635239178013745e-14
5,09:00,0.0,0.0,0.0,Idle,Idle,8.0,2.0000000000000964,0.0,Charging,Serving CEV,2.0000000000000964
6,09:15,0.0,0.0,5.137897960482434,Traveling,Idle,0.0,2.0000000000000964,5.137897960482434,Traveling,Idle,2.0000000000000964
7,09:30,0.0,0.0,4.336638499868317,Digging,Idle,0.0,2.0000000000000964,4.336638499868317,Digging,Idle,2.0000000000000964
8,09:45,0.0,0.0,3.0489857920151766,Loading/Swinging,Idle,0.0,2.0000000000000964,5.008074212365046,Digging,Idle,2.0000000000000964
9,10:00,0.0,0.0,3.10878482887631,Loading/Swinging,Idle,0.0,2.0000000000000964,4.9644221838317835,Digging,Idle,2.0000000000000964
10,10:15,0.0,0.0,0.0,Idle,Idle,3.704218410422145,2.9260546026056327,0.0,Charging,Serving CEV,2.9260546026056327
11,10:30,0.0,0.0,3.091936889713172,Loading/Swinging,Idle,-2.4268160814244767e-10,2.926054602544962,4.778902569832251,Digging,Idle,2.926054602544962
12,10:45,0.0,0.0,4.4927734972254285,Traveling,Idle,0.0,2.926054602544962,4.4927734972254285,Traveling,Idle,2.926054602544962
13,11:00,0.0,0.0,0.0,Idle,Idle,0.0,2.926054602544962,4.845273315283702,Digging,Idle,2.926054602544962
14,11:15,0.0,0.0,3.178041707501309,Loading/Swinging,Traveling,0.0,2.926054602544962,4.6622272316452165,Digging,Idle,2.926054602544962
15,11:30,8.0,2.0,0.0,Charging,Serving CEV,3.1361174466321913,3.71008396420301,0.0,Charging,Serving CEV,1.71008396420301
16,11:45,0.0,2.0,5.008074212365046,Digging,Idle,0.0,3.71008396420301,3.0489857920151766,Loading/Swinging,Idle,1.71008396420301
17,12:00,8.000000000000002,4.0,0.0,Charging,Serving CEV,0.0,3.71008396420301,0.0,Idle,Idle,-0.2899160357969901
18,12:15,8.0,6.0,0.0,Charging,Serving CEV,8.0,5.71008396420301,0.0,Charging,Serving CEV,-0.2899160357969901
19,12:30,8.0,8.0,0.0,Charging,Serving CEV,8.0,7.71008396420301,0.0,Charging,Serving CEV,-0.2899160357969901
20,12:45,8.0,10.0,0.0,Charging,Serving CEV,0.0,7.71008396420301,0.0,Idle,Idle,-2.28991603579699
21,13:00,8.0,12.0,0.0,Charging,Serving CEV,8.0,9.71008396420301,0.0,Charging,Serving CEV,-2.28991603579699
22,13:15,2.8096000000000103,12.702400000000003,0.0,Charging,Serving CEV,3.1103720777967263,10.487676983652191,0.0,Charging,Serving CEV,-2.2147230163478113
23,13:30,0.0,12.702400000000003,0.0,Idle,Idle,8.0,12.487676983652191,0.0,Charging,Serving CEV,-0.21472301634781132
24,13:45,0.0,12.702400000000003,0.0,Idle,Idle,8.0,14.487676983652191,0.0,Charging,Serving CEV,1.7852769836521887
25,14:00,0.0,12.702400000000003,4.9644221838317835,Digging,Idle,0.0,14.487676983652191,4.872525412844321,Digging,Idle,1.7852769836521887
26,14:15,0.0,12.702400000000003,4.778902569832251,Digging,Idle,0.0,14.487676983652191,4.749989717804096,Traveling,Idle,1.7852769836521887
27,14:30,0.0,12.702400000000003,4.749989717804096,Traveling,Idle,0.0,14.487676983652191,5.2254933443060985,Digging,Idle,1.7852769836521887
28,14:45,0.0,12.702400000000003,4.845273315283702,Digging,Idle,0.0,14.487676983652191,3.10878482887631,Loading/Swinging,Idle,1.7852769836521887
29,15:00,8.0,14.702400000000003,0.0,Charging,Serving CEV,8.0,16.487676983652193,0.0,Charging,Serving CEV,1.7852769836521905
30,15:15,0.0,14.702400000000003,4.6622272316452165,Digging,Idle,0.0,16.487676983652193,3.091936889713172,Loading/Swinging,Idle,1.7852769836521905
31,15:30,0.0,14.702400000000003,4.872525412844321,Digging,Idle,0.0,16.487676983652193,3.178041707501309,Loading/Swinging,Idle,1.7852769836521905
32,15:45,0.0,14.702400000000003,5.2254933443060985,Digging,Idle,0.0,16.487676983652193,4.763406214464165,Traveling,Idle,1.7852769836521905
33,16:00,0.0,14.702400000000003,4.763406214464165,Traveling,Idle,0.0,16.487676983652193,3.5703346457907466,Loading/Swinging,Idle,1.7852769836521905
34,16:15,8.0,16.702400000000004,0.0,Charging,Serving CEV,8.0,18.487676983652193,0.0,Charging,Serving CEV,1.7852769836521887
35,16:30,0.0,16.702400000000004,3.5703346457907466,Loading/Swinging,Idle,8.0,20.487676983652193,0.0,Charging,Serving CEV,3.7852769836521887
36,16:45,0.0,16.702400000000004,3.293469348992297,Loading/Swinging,Idle,0.0,20.487676983652193,3.293469348992297,Loading/Swinging,Idle,3.7852769836521887
37,17:00,8.0,18.702400000000004,0.0,Charging,Serving CEV,8.0,22.487676983652193,0.0,Charging,Serving CEV,3.7852769836521887
38,17:15,8.0,20.702400000000004,0.0,Charging,Serving CEV,6.08626220535389,24.009242534990666,0.0,Charging,Serving CEV,3.306842534990661
39,17:30,8.0,22.702400000000004,0.0,Charging,Serving CEV,0.0,24.009242534990666,0.0,Idle,Traveling,1.3068425349906612
40,17:45,4.492400000000011,23.825500000000005,0.0,Charging,Serving CEV,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603
41,18:00,0.0,23.825500000000005,0.0,Idle,Traveling,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603
42,18:15,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603
43,18:30,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603
44,18:45,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603
45,19:00,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603
46,19:15,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603
47,19:30,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603
48,19:45,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603
49,20:00,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603
50,20:15,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603
51,20:30,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603
52,20:45,0.0,23.825500000000005,0.0,Idle,Idle,0.0,24.009242534990666,0.0,Idle,Idle,0.1837425349906603
53,21:00,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603
54,21:15,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603
55,21:30,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603
56,21:45,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603
57,22:00,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603
58,22:15,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603
59,22:30,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603
60,22:45,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603
61,23:00,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603
62,23:15,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603
63,23:30,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603
64,23:45,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603
65,00:00,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603
66,00:15,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603
67,00:30,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603
68,00:45,0.0,23.825500000000005,0.0,Idle,Charging (grid),0.0,24.009242534990666,0.0,Idle,Charging (grid),0.1837425349906603
