Time_Period,Clock,A1R_Charging_kW,A1R_Discharging_kW,A2R_Charging_kW,A2R_Discharging_kW
1,08:00,0.0,0.0,0.0,0.0
2,08:15,0.0,4.626822895562981,0.0,0.0
3,08:30,0.0,0.0,0.0,0.0
4,08:45,0.0,0.0,0.0,0.0
5,09:00,0.0,8.0,0.0,0.0
6,09:15,0.0,0.0,0.0,0.0
7,09:30,0.0,8.0,0.0,0.0
8,09:45,0.0,-1.8259586355899638e-14,0.0,0.0
9,10:00,0.0,0.0,0.0,0.0
10,10:15,0.0,0.0,0.0,0.0
11,10:30,0.0,0.0,0.0,7.776836950556695
12,10:45,0.0,8.0,0.0,0.0
13,11:00,0.0,0.0,0.0,0.0
14,11:15,0.0,0.0,0.0,8.0
15,11:30,0.0,0.0,0.0,0.0
16,11:45,0.0,0.0,0.0,0.0
17,12:00,0.0,5.319788463758937,0.0,8.0
18,12:15,0.0,8.000000000000036,0.0,8.0
19,12:30,0.0,8.0,0.0,3.91581237542932
20,12:45,0.0,0.0,0.0,8.0
21,13:00,2.0740901707489017,0.0,0.0,4.371450011487145
22,13:15,2.0740901707489017,0.0,0.0,3.7144050467217413
23,13:30,2.0740901707489017,0.0,0.0,0.0
24,13:45,2.0740901707489017,0.0,0.0,0.0
25,14:00,2.0740901707489017,0.0,0.0,0.0
26,14:15,2.0830575234599347,0.0,0.0,0.0
27,14:30,2.0924007292950364,0.0,0.0,0.0
28,14:45,2.111299060018608,0.0,0.0,0.0
29,15:00,2.1204578502638007,0.0,0.0,8.0
30,15:15,2.1204578502638007,0.0,0.0,0.0
31,15:30,2.134988231112711,0.0,0.0,0.0
32,15:45,2.134988231112711,0.0,0.0,0.0
33,16:00,0.0,0.0,0.0,0.0
34,16:15,0.0,6.305165177863349,0.0,1.3190513304687326
35,16:30,0.0,7.668149201165086,0.0,0.0
36,16:45,0.0,0.0,0.0,0.0
37,17:00,0.0,0.0715844698567474,0.0,8.0
38,17:15,0.0,7.996232396323326,0.0,0.3271283602143994
39,17:30,0.0,7.5791456633514045,0.0,8.0
40,17:45,0.0,7.601097596665719,0.0,8.0
41,18:00,0.0,8.0,0.0,8.0
42,18:15,0.0,7.17888960017549,0.0,8.0
43,18:30,0.0,0.0,0.0,6.298572191567668
44,18:45,0.0,0.0,0.0,0.0
45,19:00,0.0,0.0,-0.0,0.0
46,19:15,0.0,0.0,-0.0,0.0
47,19:30,0.0,0.0,-0.0,0.0
48,19:45,0.0,0.0,-0.0,0.0
49,20:00,-0.0,0.0,-0.0,0.0
50,20:15,-0.0,0.0,-0.0,0.0
51,20:30,-0.0,0.0,-0.0,0.0
52,20:45,0.0,0.0,0.0,0.0
53,21:00,2.134988231112711,0.0,2.7127488357201135,0.0
54,21:15,2.134988231112711,0.0,2.7127488357201135,0.0
55,21:30,2.134988231112711,0.0,2.7127488357201135,0.0
56,21:45,2.134988231112711,0.0,2.7127488357201135,0.0
57,22:00,2.134988231112711,0.0,2.7127488357201135,0.0
58,22:15,2.134988231112711,0.0,2.7127488357201135,0.0
59,22:30,2.134988231112711,0.0,2.7127488357201135,0.0
60,22:45,2.134988231112711,0.0,2.7127488357201135,0.0
61,23:00,0.0,0.0,2.7127488357201135,0.0
62,23:15,2.134988231112711,0.0,2.7127488357201135,0.0
63,23:30,0.7011223222251505,0.0,2.7127488357201135,0.0
64,23:45,0.0,0.0,2.7127488357195553,0.0
65,00:00,2.134988231112711,0.0,2.7127488357201135,0.0
66,00:15,2.134988231112711,0.0,2.7127488357201135,0.0
67,00:30,2.134988231112711,0.0,2.7127488357201135,0.0
68,00:45,2.134988231112711,0.0,2.7127488357201135,0.0
69,01:00,2.134988231112711,0.0,2.7127488357201135,0.0
70,01:15,2.134988231112711,0.0,2.7127488357201135,0.0
71,01:30,2.134988231112711,0.0,2.7127488357201135,0.0
72,01:45,2.134988231112711,0.0,2.7127488357201135,0.0
73,02:00,2.134988231112711,0.0,2.7127488357201135,0.0
74,02:15,2.134988231112711,0.0,2.7127488357201135,0.0
75,02:30,2.134988231112711,0.0,2.7127488357201135,0.0
76,02:45,2.134988231112711,0.0,2.7127488357201135,0.0
77,03:00,2.134988231112711,0.0,2.7127488357201135,0.0
78,03:15,2.134988231112711,0.0,2.7127488357201135,0.0
79,03:30,2.134988231112711,0.0,2.7127488357201135,0.0
80,03:45,2.134988231112711,0.0,2.7127488357201135,0.0
81,04:00,2.134988231112711,0.0,2.7127488357201135,0.0
82,04:15,2.134988231112711,0.0,2.7127488357201135,0.0
83,04:30,2.134988231112711,0.0,2.7127488357201135,0.0
84,04:45,2.134988231112711,0.0,2.7127488357201135,0.0
85,05:00,2.134988231112711,0.0,2.7127488357201135,0.0
86,05:15,2.134988231112711,0.0,2.7127488357201135,0.0
87,05:30,2.134988231112711,0.0,2.7127488357201135,0.0
88,05:45,2.134988231112711,0.0,2.7127488357201135,0.0
89,06:00,2.1349882311137844,0.0,2.712748835718766,0.0
90,06:15,2.1349882311063126,0.0,2.712748835720146,0.0
91,06:30,2.1349882311137733,0.0,2.7127488357199225,0.0
92,06:45,2.134988231113814,0.0,2.7127488357201393,0.0
93,07:00,2.134988231113646,0.0,2.712748835720117,0.0
94,07:15,2.1349882311138377,0.0,2.7127488357200944,0.0
95,07:30,2.1349882311137667,0.0,2.712748835720192,0.0
96,07:45,2.134988231113862,0.0,2.712748835720169,0.0
