Time_Period,CEV_1_A0_kWh,CEV_1_A1R_kWh,CEV_1_A2R_kWh
1,14.8,14.8,14.8
2,13.70824543769611,13.70824543769611,13.70824543769611
3,14.8,12.637656020593942,12.637656020593942
4,13.729410582897302,11.561898622237647,14.637656020593942
5,12.653653184541007,13.471110598829597,13.561898622237647
6,14.653653184541007,12.410259046497513,12.87775039823575
7,13.592801632208923,11.479708791557776,11.947200143296055
8,12.662251377269227,13.479708791557776,13.947200143296055
9,14.662251377269227,12.441416479074237,12.886348590963971
10,13.623959064785687,14.441416479074237,11.848056278480431
11,12.555630841331318,13.373088255619868,10.779728055026062
12,11.48184611431029,12.299303528598841,9.705943328005034
13,11.48184611431029,14.299303528598841,9.705943328005034
14,10.388270793081258,13.205728207369809,8.749084140851856
15,9.43141160592808,12.248869020216631,7.655508819622825
16,8.342733270338542,11.564720796214734,6.566830484033288
17,7.263742366382889,10.476042460625196,5.487839580077635
18,7.263742366382889,10.476042460625196,5.487839580077635
19,7.263742366382889,10.476042460625196,5.487839580077635
20,7.263742366382889,10.476042460625196,5.487839580077635
21,7.263742366382889,10.476042460625196,7.2135886891254115
22,7.263742366382889,10.476042460625196,7.701339801553253
23,7.263742366382889,10.476042460625196,9.701339801553253
24,9.263742366382889,10.476042460625196,9.701339801553253
25,11.263742366382889,10.476042460625196,11.701339801553253
26,10.178470542988428,9.784419357015658,10.616067978158792
27,9.13731971102669,9.094902245801512,9.637029192884304
28,8.158280925752202,8.115863460527024,8.945406089274766
29,10.158280925752202,7.036872556571371,8.25588897806062
30,9.474132701750305,9.036872556571371,10.25588897806062
31,8.782509598140766,7.951600733176911,9.560469191498283
32,8.09299248692662,7.256180946614575,8.519318359536545
33,7.397572700364284,7.360148371230812,7.541956636344565
34,9.397572700364284,6.318997539269074,6.895573467068409
35,8.420210977172305,5.341635816077095,8.89557346706841
36,7.773827807896148,4.695252646800938,10.89557346706841
37,7.092836476520185,4.014261315424975,10.214582135692446
38,9.092836476520185,5.367670457082898,12.214582135692446
39,11.092836476520185,7.296438396995638,12.936074624437241
40,13.092836476520185,9.194924294894967,14.8
41,13.092836476520185,11.095003984479213,14.8
42,14.8,13.095003984479213,14.8
43,14.8,14.8,14.8
44,14.8,14.8,14.8
45,14.8,14.8,14.8
46,14.8,14.8,14.8
47,14.8,14.8,14.8
48,14.8,14.8,14.8
49,14.8,14.8,14.8
50,14.8,14.8,14.8
51,14.8,14.8,14.8
52,14.8,14.8,14.8
53,14.8,14.8,14.8
54,14.8,14.8,14.8
55,14.8,14.8,14.8
56,14.8,14.8,14.8
57,14.8,14.8,14.8
58,14.8,14.8,14.8
59,14.8,14.8,14.8
60,14.8,14.8,14.8
61,14.8,14.8,14.8
62,14.8,14.8,14.8
63,14.8,14.8,14.8
64,14.8,14.8,14.8
65,14.8,14.8,14.8
66,14.8,14.8,14.8
67,14.8,14.8,14.8
68,14.8,14.8,14.8
69,14.8,14.8,14.8
70,14.8,14.8,14.8
71,14.8,14.8,14.8
72,14.8,14.8,14.8
73,14.8,14.8,14.8
74,14.8,14.8,14.8
75,14.8,14.8,14.8
76,14.8,14.8,14.8
77,14.8,14.8,14.8
78,14.8,14.8,14.8
79,14.8,14.8,14.8
80,14.8,14.8,14.8
81,14.8,14.8,14.8
82,14.8,14.8,14.8
83,14.8,14.8,14.8
84,14.8,14.8,14.8
85,14.8,14.8,14.8
86,14.8,14.8,14.8
87,14.8,14.8,14.8
88,14.8,14.8,14.8
89,14.8,14.8,14.8
90,14.8,14.8,14.8
91,14.8,14.8,14.8
92,14.8,14.8,14.8
93,14.8,14.8,14.8
94,14.8,14.8,14.8
95,14.8,14.8,14.8
96,14.8,14.8,14.8
97,14.8,14.8,14.8
