Time_Period,Clock,A0_Charging_kW,A0_Discharging_kW,A1R_Charging_kW,A1R_Discharging_kW,A2R_Charging_kW,A2R_Discharging_kW
1,08:00,0.0,0.0,0.0,0.0,0.0,0.0
2,08:15,0.0,5.04473684210517,0.0,0.0,0.0,0.0
3,08:30,0.0,-2.1227464230832993e-12,0.0,0.0,0.0,8.0
4,08:45,0.0,0.0,0.0,7.636847906367798,0.0,0.0
5,09:00,0.0,7.999999999999997,0.0,0.0,0.0,0.0
6,09:15,0.0,0.0,0.0,-1.6342482922482304e-13,0.0,0.0
7,09:30,0.0,0.0,0.0,8.0,0.0,8.0
8,09:45,0.0,8.0,0.0,0.0,0.0,0.0
9,10:00,-0.0,0.0,0.0,8.0,1.83548433856795,0.0
10,10:15,1.3589444525407663,0.0,0.0,0.0,1.8623532438672032,0.0
11,10:30,1.9963021378680286,0.0,0.0,0.0,1.4572328112349098,0.0
12,10:45,1.9963021378680217,0.0,0.0,8.0,1.8623532438672032,0.0
13,11:00,1.9963021378680215,0.0,0.0,0.0,1.8623532438672032,0.0
14,11:15,1.9963021378680215,0.0,1.783390414372834,0.0,0.0,0.0
15,11:30,1.9963021378680215,0.0,1.783390414372834,0.0,1.3993419990824432,0.0
16,11:45,1.9963021378680215,0.0,1.7881483622185967,0.0,1.862353243867205,0.0
17,12:00,1.9963021378680217,0.0,1.7881483622185967,0.0,1.7587470729703407,0.0
18,12:15,1.9963021378680217,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
19,12:30,1.9963021378680217,0.0,1.7881483622185967,0.0,0.0,0.0
20,12:45,1.9963021378680217,0.0,1.7881483622185967,0.0,0.0,6.902996436191107
21,13:00,1.9963021378680217,0.0,1.7881483622185967,0.0,0.0,1.9510044497113652
22,13:15,-0.0,0.0,1.7881483622185967,0.0,0.0,8.0
23,13:30,-0.0,8.0,1.7881483622185967,0.0,0.0,0.0
24,13:45,-0.0,8.0,1.7881483622185967,0.0,0.0,8.0
25,14:00,-0.0,0.0,1.7881483622185967,0.0,0.0,0.0
26,14:15,-0.0,0.0,1.7881483622185967,0.0,0.0,0.0
27,14:30,-0.0,0.0,1.7881483622185967,0.0,0.0,0.0
28,14:45,-0.0,8.0,0.0,0.0,0.0,0.0
29,15:00,-0.0,0.0,0.0,8.0,0.0,8.0
30,15:15,-0.0,0.0,0.0,0.0,0.0,0.0
31,15:30,-0.0,0.0,0.0,0.0,0.0,0.0
32,15:45,-0.0,0.0,0.0,0.41586969846495053,0.0,0.0
33,16:00,-0.0,8.0,0.0,0.0,0.0,0.0
34,16:15,-0.0,0.0,0.0,0.0,0.0,8.0
35,16:30,-0.0,0.0,0.0,0.0,0.0,8.0
36,16:45,-0.0,0.0,0.0,0.0,0.0,0.0
37,17:00,-0.0,8.0,0.0,5.4136365666316895,0.0,8.0
38,17:15,-0.0,8.0,0.0,7.71507175965096,0.0,2.8859699549791817
39,17:30,-0.0,8.0,0.0,7.593943591597316,0.0,7.848106844474778
40,17:45,-0.0,0.0,0.0,7.600318758336983,0.0,0.0
41,18:00,-0.0,8.0,0.0,8.0,0.0,0.0
42,18:15,-0.0,8.0,0.0,7.178930591666475,0.0,0.0
43,18:30,-0.0,0.0,0.0,0.0,0.0,0.0
44,18:45,-0.0,7.273157894739047,0.0,0.0,0.0,0.0
45,19:00,-0.0,0.0,0.0,0.0,0.0,0.0
46,19:15,-0.0,0.0,0.0,0.0,0.0,0.0
47,19:30,-0.0,0.0,0.0,0.0,0.0,0.0
48,19:45,-0.0,0.0,0.0,0.0,0.0,0.0
49,20:00,-0.0,0.0,-0.0,0.0,-0.0,0.0
50,20:15,-0.0,0.0,-0.0,0.0,-0.0,0.0
51,20:30,-0.0,0.0,-0.0,0.0,-0.0,0.0
52,20:45,-0.0,0.0,0.0,0.0,0.0,0.0
53,21:00,1.9963021378680217,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
54,21:15,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
55,21:30,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
56,21:45,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
57,22:00,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
58,22:15,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
59,22:30,1.9963021378680215,0.0,1.3952445723679068,0.0,1.8809355014525826,0.0
60,22:45,1.9963021378680215,0.0,0.0,0.0,1.5997938695534446,0.0
61,23:00,1.9963021378680215,0.0,0.0,0.0,0.0,0.0
62,23:15,1.9963021378680215,0.0,0.0,0.0,1.8809355014525437,0.0
63,23:30,1.9963021378680215,0.0,0.0,0.0,0.0,0.0
64,23:45,1.9963021378680215,0.0,0.0,0.0,0.0,0.0
65,00:00,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
66,00:15,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
67,00:30,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
68,00:45,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
69,01:00,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
70,01:15,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
71,01:30,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
72,01:45,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
73,02:00,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
74,02:15,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
75,02:30,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
76,02:45,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
77,03:00,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
78,03:15,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
79,03:30,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
80,03:45,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
81,04:00,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
82,04:15,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
83,04:30,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
84,04:45,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
85,05:00,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
86,05:15,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
87,05:30,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
88,05:45,1.9963021378680215,0.0,1.7881483622185967,0.0,1.8809355014525826,0.0
89,06:00,1.9963021378680215,0.0,0.0,0.0,1.8809355014521323,0.0
90,06:15,1.9963021378680215,0.0,1.7881483622199903,0.0,1.8809355014525924,0.0
91,06:30,1.9963021378680215,0.0,1.7881483622116436,0.0,1.8809355014525222,0.0
92,06:45,1.9963021378680215,0.0,1.7881483622200356,0.0,1.8809355014526343,0.0
93,07:00,1.9963021378680215,0.0,1.7881483622197958,0.0,1.8809355014524998,0.0
94,07:15,1.9963021378680215,0.0,1.7881483622200949,0.0,1.8809355014526532,0.0
95,07:30,1.9963021378680215,0.0,1.7881483622199759,0.0,1.8809355014526679,0.0
96,07:45,1.9963021378680423,0.0,1.7881483622200953,0.0,1.8809355014526008,0.0
